target_index,target,predicted,residual,absolute_error,percent_error
1,14.1347,118.36621384948657,104.23151384948657,104.23151384948657,737.4158195751347
2,21.022,756.1805828916877,735.1585828916876,735.1585828916876,3497.0915369217373
3,25.0108,759.6594302617298,734.6486302617297,734.6486302617297,2937.325596389279
4,30.4248,1076.1002523362508,1045.6754523362508,1045.6754523362508,3436.9180810925654
5,32.935,1167.7876782651745,1134.8526782651745,1134.8526782651745,3445.7345628212374
6,37.5861,1176.608484048494,1139.022384048494,1139.022384048494,3030.4351450363138
7,40.9187,1215.974617538021,1175.055917538021,1175.055917538021,2871.6843827834728
8,43.327,1222.2079926501124,1178.8809926501124,1178.8809926501124,2720.8922672931717
9,48.0051,1324.0709615545861,1276.065861554586,1276.065861554586,2658.188112418443
10,49.7738,1355.514599464585,1305.740799464585,1305.740799464585,2623.349632667357
11,52.9703,1364.9202356042663,1311.9499356042663,1311.9499356042663,2476.765160107204
12,56.4462,1376.9122615177646,1320.4660615177645,1320.4660615177645,2339.3356178409967
13,59.347,1397.2623849830488,1337.9153849830489,1337.9153849830489,2254.394299599051
14,60.8317,1397.4044636010526,1336.5727636010527,1336.5727636010527,2197.1649051416493
15,65.1125,1478.6851009687127,1413.5726009687128,1413.5726009687128,2170.969630975178
16,67.0798,1518.2348268018536,1451.1550268018536,1451.1550268018536,2163.3264064619357
17,69.5464,1531.1465472999123,1461.6001472999124,1461.6001472999124,2101.618699601866
18,72.0671,1534.963745772448,1462.896645772448,1462.896645772448,2029.9091343656787
19,75.7046,1549.6446703277659,1473.9400703277659,1473.9400703277659,1946.9623646750208
20,77.1448,1555.67202757012,1478.52722757012,1478.52722757012,1916.561100126152
21,79.3373,1570.6668513349944,1491.3295513349944,1491.3295513349944,1879.733178889368
22,82.9103,1579.0849044289162,1496.1746044289162,1496.1746044289162,1804.5702457100215
23,84.7354,1588.670831731707,1503.935431731707,1503.935431731707,1774.8608394268595
24,87.4252,1590.064001161673,1502.6388011616732,1502.6388011616732,1718.7707905291302
25,88.8091,1603.3914797947555,1514.5823797947555,1514.5823797947555,1705.4360192759025
26,92.4918,1605.5561226291202,1513.0643226291202,1513.0643226291202,1635.890233111606
27,94.6513,1612.9706030150933,1518.3193030150933,1518.3193030150933,1604.1188055685375
28,95.8706,1621.8387579048306,1525.9681579048306,1525.9681579048306,1591.6956375623295
29,98.8311,1622.5993061248244,1523.7682061248242,1523.7682061248242,1541.790191675317
30,101.3178,1622.6638725866962,1521.3460725866962,1521.3460725866962,1501.5585342227093
31,103.7255,1629.110883463449,1525.385383463449,1525.385383463449,1470.5982458155893
