role,grid_n,index,window,target,predicted,residual,percent_error
P,320,1,train,14.1347,14.1347,0.0,0.0
P,320,2,train,21.022,22.90613993551105,1.884139935511051,8.962705430078257
P,320,3,train,25.0108,25.45824044763419,0.44744044763418955,1.7889889473115197
P,320,4,train,30.4248,28.866607559270193,-1.5581924407298082,5.121454999637823
P,320,5,train,32.935,42.368614451861205,9.433614451861203,28.64312874407531
P,320,6,train,37.5861,51.45509513218624,13.868995132186235,36.89926630372993
P,320,7,train,40.9187,52.582726843889304,11.664026843889303,28.50537002370384
P,320,8,train,43.327,56.05074394080105,12.72374394080105,29.366778084799435
P,320,9,train,48.0051,60.64258410219766,12.63748410219766,26.325294817004156
P,320,10,train,49.7738,64.61249710057702,14.838697100577015,29.8122648875051
P,320,11,train,52.9703,73.25065422036107,20.28035422036107,38.286274044815805
P,320,12,train,56.4462,76.07431474087477,19.62811474087477,34.77313750239125
P,320,13,train,59.347,78.19425438186805,18.847254381868048,31.757720494495167
P,320,14,train,60.8317,78.62929588844706,17.797595888447063,29.25710754170451
P,320,15,train,65.1125,79.39133622340579,14.27883622340579,21.929485465011773
P,320,16,train,67.0798,81.58340813136842,14.50360813136841,21.621424231092533
P,320,17,train,69.5464,83.93316759680572,14.386767596805711,20.686574138712732
P,320,18,train,72.0671,88.6798535206068,16.6127535206068,23.051785794914466
P,320,19,train,75.7046,91.19083747133747,15.486237471337475,20.45613803036734
P,320,20,train,77.1448,94.33039667134534,17.185596671345337,22.27706426271808
P,320,21,train,79.3373,95.84038276473457,16.50308276473457,20.801165107376445
P,320,22,train,82.9103,97.0376296033605,14.127329603360494,17.039293795053805
P,320,23,train,84.7354,98.04035939167338,13.304959391673378,15.701772094866348
P,320,24,train,87.4252,98.73846477285568,11.313264772855675,12.94050774016608
P,320,25,train,88.8091,99.55441734084077,10.74531734084077,12.099342680919827
P,320,26,train,92.4918,101.58385596590666,9.092055965906667,9.830121119825398
P,320,27,train,94.6513,101.93152792533928,7.280227925339275,7.691630147012534
P,320,28,train,95.8706,102.98979365103457,7.119193651034578,7.425836128108699
P,320,29,train,98.8311,104.96560235953345,6.1345023595334425,6.207056644652788
P,320,30,train,101.3178,105.76800985708991,4.450209857089902,4.392327761844317
P,320,31,train,103.7255,106.28835547890158,2.5628554789015823,2.4708056156890854
P,320,32,train,105.4466,106.93013438198118,1.4835343819811726,1.4069058480606986
P,320,33,train,107.1686,108.54959781972761,1.380997819727611,1.2886216855754493
P,320,34,train,111.0295,109.27462605364802,-1.754873946351978,1.5805474638289627
P,320,35,train,111.8746,110.14748115766132,-1.7271188423386832,1.5437988983546607
P,320,36,train,114.3202,111.00064421599117,-3.319555784008827,2.9037351089386014
P,320,37,train,116.2266,112.37017758574952,-3.8564224142504884,3.3180204998257614
P,320,38,train,118.7907,113.28984545083557,-5.50085454916443,4.630711452297554
