comparison,readout,left,right,window,G_percent,G_below_2_percent,unscaled_energy_max_relative_percent,raw_lambda_max_absolute_difference,right_minus_left_M,right_minus_left_W
n52-n64,power_3_2,bridge-n52,fine-n64,1-100,1.6046211308359535e-05,True,1.634950304031946e-05,1.3275270238644055e-07,1.6256673609493788e-06,-3.065636633436952e-11
n52-n64,power_3_2,bridge-n52,fine-n64,101-300,0.3393491352553271,True,0.33585980120604253,0.004852875048945826,-0.02642185127151364,1.3564673503552171e-05
n52-n64,power_3_2,bridge-n52,fine-n64,301-320,0.6454457429875549,True,0.6352907817039021,0.009607887063804554,-0.3396827261296693,-0.3972890806723386
n52-n64,power_3_2,bridge-n52,fine-n64,1-320,0.6454457429875549,True,0.6352907817039021,0.009607887063804554,-0.03774331940675024,-3.065636633436952e-11
n52-n64,raw_J,bridge-n52,fine-n64,1-100,4.2639339473499775e-06,True,1.0899668996371543e-05,1.3275270238644055e-07,4.3933639659599066e-07,6.487643418040534e-07
n52-n64,raw_J,bridge-n52,fine-n64,101-300,0.06765480611449631,True,0.22403205693414832,0.004852875048945826,0.005881783477349245,0.04327023820005138
n52-n64,raw_J,bridge-n52,fine-n64,301-320,0.12587247419680497,True,0.42397689688363543,0.009607887063804554,0.06614089515078092,0.11121405774684945
n52-n64,raw_J,bridge-n52,fine-n64,1-320,0.12587247419680497,True,0.42397689688363543,0.009607887063804554,0.007810057912891466,0.11121405774684945
n64-n80,power_3_2,fine-n64,fine-n80,1-100,2.5329490971042134e-07,True,2.580892212209076e-07,2.0956010260420044e-09,1.5352097371135187e-08,2.3931079340400174e-11
n64-n80,power_3_2,fine-n64,fine-n80,101-300,0.0028334362231147016,True,0.00280010526762433,4.1218669607268055e-05,-0.00030027372606999947,1.3676331134249153e-07
n64-n80,power_3_2,fine-n64,fine-n80,301-320,0.00658447210418969,True,0.006490817441522744,9.928739279896348e-05,-0.003640493289608804,-0.005460276568793221
n64-n80,power_3_2,fine-n64,fine-n80,1-320,0.00658447210418969,True,0.006490817441522744,9.928739279896348e-05,-0.0004151971118637743,2.3931079340400174e-11
n64-n80,raw_J,fine-n64,fine-n80,1-100,6.730764122473444e-08,True,1.7205947307540538e-07,2.0956010260420044e-09,4.1458747546130326e-09,2.2466650761998608e-09
n64-n80,raw_J,fine-n64,fine-n80,101-300,0.0005591959613739744,True,0.0018667455569496088,4.1218669607268055e-05,6.766323834028753e-05,0.00026506263779424444
n64-n80,raw_J,fine-n64,fine-n80,301-320,0.0012747881083000172,True,0.004327258440932629,9.928739279896348e-05,0.0007094635582376441,0.000837195467283891
n64-n80,raw_J,fine-n64,fine-n80,1-320,0.0012747881083000172,True,0.004327258440932629,9.928739279896348e-05,8.663229195349231e-05,0.000837195467283891
n80-n96,power_3_2,fine-n80,fine-n96,1-100,9.006984480610212e-10,True,9.092627755490813e-10,7.382983113757291e-12,5.483768994452021e-11,-2.2106760866336117e-11
n80-n96,power_3_2,fine-n80,fine-n96,101-300,1.852998018184679e-05,True,1.831250814007273e-05,2.695611631686745e-07,-1.7136081291724281e-06,7.144040914397465e-10
n80-n96,power_3_2,fine-n80,fine-n96,301-320,4.945130773933585e-05,True,4.865855420395896e-05,7.461971627265029e-07,-2.0756706275992798e-05,-4.9451307739145633e-05
n80-n96,power_3_2,fine-n80,fine-n96,1-320,4.945130773933585e-05,True,4.865855420395896e-05,7.461971627265029e-07,-2.3682820862180876e-06,-2.2106760866336117e-11
n80-n96,raw_J,fine-n80,fine-n96,1-100,2.39349761724753e-10,True,6.061803609929734e-10,7.382983113757291e-12,1.5702994460298214e-11,7.609912699990673e-12
n80-n96,raw_J,fine-n80,fine-n96,101-300,3.6570220616959233e-06,True,1.2208339137195967e-05,2.695611631686745e-07,3.858174295601202e-07,1.2177160755300065e-06
n80-n96,raw_J,fine-n80,fine-n96,301-320,9.561763274945174e-06,True,3.2439038769109436e-05,7.461971627265029e-07,4.043928683472586e-06,5.473034448755243e-06
n80-n96,raw_J,fine-n80,fine-n96,1-320,9.561763274945174e-06,True,3.2439038769109436e-05,7.461971627265029e-07,4.938863327197396e-07,5.473034448755243e-06
width080,power_3_2,fine-n96,width080-n96,1-100,5.407736248018259e-11,True,7.315381369655336e-11,1.375566327510569e-13,-1.1404210908949608e-11,2.0161650127192843e-11
width080,power_3_2,fine-n96,width080-n96,101-300,2.0713229545464217e-07,True,2.0462788740656942e-07,3.0079685409134527e-09,-1.7087878223520647e-08,-1.5376144801848568e-11
width080,power_3_2,fine-n96,width080-n96,301-320,5.213879305217476e-07,True,5.158230058841789e-07,7.82755638084609e-09,-2.0124610666805154e-07,-4.6872561743072083e-07
width080,power_3_2,fine-n96,width080-n96,1-320,5.213879305217476e-07,True,5.158230058841789e-07,7.82755638084609e-09,-2.3261369275218158e-08,2.0161650127192843e-11
width080,raw_J,fine-n96,width080-n96,1-100,2.9872522536334117e-11,True,4.877020665341004e-11,1.375566327510569e-13,-4.874323167314287e-12,-4.789058039023075e-12
width080,raw_J,fine-n96,width080-n96,101-300,4.0907307946404125e-08,True,1.3641858453589217e-07,3.0079685409134527e-09,3.78021525193617e-09,1.569151208968833e-08
width080,raw_J,fine-n96,width080-n96,301-320,1.0134575048602752e-07,True,3.438820038395074e-07,7.82755638084609e-09,3.9213588820530276e-08,5.220493903834722e-08
width080,raw_J,fine-n96,width080-n96,1-320,1.0134575048602752e-07,True,3.438820038395074e-07,7.82755638084609e-09,4.811965936823981e-09,5.220493903834722e-08
width125,power_3_2,fine-n96,width125-n96,1-100,1.956289384990912e-09,True,1.9659945529205997e-09,1.596323073727035e-11,-1.1112932796208952e-10,6.503242389044317e-11
width125,power_3_2,fine-n96,width125-n96,101-300,2.898377340246278e-05,True,2.8643604484006717e-05,4.2163540525663734e-07,2.9765376212687045e-06,-1.1861382986921853e-09
width125,power_3_2,fine-n96,width125-n96,301-320,8.320972081509852e-05,True,8.187581321292283e-05,1.255595596827419e-06,3.760662411789184e-05,8.320972081499178e-05
width125,power_3_2,fine-n96,width125-n96,1-320,8.320972081509852e-05,True,8.187581321292283e-05,1.255595596827419e-06,4.21071529288497e-06,6.503242389044317e-11
width125,raw_J,fine-n96,width125-n96,1-100,5.198408880901643e-10,True,1.3106622109104062e-09,1.596323073727035e-11,-3.510791657390655e-11,-1.6697754290362354e-11
width125,raw_J,fine-n96,width125-n96,101-300,5.720151646962573e-06,True,1.9095735407631973e-05,4.2163540525663734e-07,-6.692111327311068e-07,-2.4202596762279427e-06
width125,raw_J,fine-n96,width125-n96,301-320,1.6089192473906995e-05,True,5.45838680322924e-05,1.255595596827419e-06,-7.32720914697893e-06,-8.991563817062342e-06
width125,raw_J,fine-n96,width125-n96,1-320,1.6089192473906995e-05,True,5.45838680322924e-05,1.255595596827419e-06,-8.76218500422965e-07,-8.991563817062342e-06
