orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-000001,12,2,12,True,2,1,1,1,3,5,7,1.9248473002384139,6.854101966249685,0.14589803375031546,6.854101966249685,1
MOD-000002,112,3,122,False,-3,-2,-1,-1,4,12,14,2.633915793849633,13.928203230275509,0.07179676972449082,13.928203230275509,2
MOD-000003,122,3,112,False,-3,-1,-2,-1,4,12,14,2.633915793849633,13.928203230275509,0.07179676972449082,13.928203230275509,2
MOD-000004,1112,4,1222,False,4,3,1,1,5,21,23,3.133598473944822,22.9564392373896,0.04356076261039998,22.9564392373896,2
MOD-000005,1122,4,1122,True,5,2,2,1,6,32,34,3.525494348078172,33.97056274847714,0.029437251522859413,33.97056274847714,3
MOD-000006,1222,4,1112,False,4,1,3,1,5,21,23,3.133598473944822,22.9564392373896,0.04356076261039998,22.9564392373896,2
MOD-000007,11112,5,12222,False,-5,-4,-1,-1,6,32,34,3.525494348078172,33.97056274847714,0.029437251522859413,33.97056274847714,3
MOD-000008,11122,5,11222,False,-7,-3,-2,-1,8,60,62,4.1268741377911216,61.983866769659336,0.01613323034066492,61.983866769659336,4
MOD-000009,11212,5,12122,False,-8,-5,-3,-2,10,96,98,4.584863339122355,97.98979485566356,0.010205144336438036,97.98979485566356,6
MOD-000010,11222,5,11122,False,-7,-2,-3,-1,8,60,62,4.1268741377911216,61.983866769659336,0.01613323034066492,61.983866769659336,4
MOD-000011,12122,5,11212,False,-8,-3,-5,-2,10,96,98,4.584863339122355,97.98979485566356,0.010205144336438036,97.98979485566356,6
MOD-000012,12222,5,11112,False,-5,-1,-4,-1,6,32,34,3.525494348078172,33.97056274847714,0.029437251522859413,33.97056274847714,3
MOD-000013,111112,6,122222,False,6,5,1,1,7,45,47,3.8496946004768278,46.97871376374779,0.02128623625220819,46.97871376374779,2
MOD-000014,111122,6,112222,False,9,4,2,1,10,96,98,4.584863339122355,97.98979485566356,0.010205144336438036,97.98979485566356,6
MOD-000015,111212,6,121222,False,11,7,3,2,13,165,167,5.117957954057225,166.99401176132335,0.005988238676661369,166.99401176132335,4
MOD-000016,111222,6,111222,True,10,3,3,1,11,117,119,4.779052869148437,118.99159604515583,0.008403954844176663,118.99159604515583,3
MOD-000017,112122,6,112122,True,13,5,5,2,15,221,223,5.407151661862804,222.9955156048888,0.00448439511120858,222.9955156048888,4
MOD-000018,112212,6,112212,True,12,7,5,3,15,221,223,5.407151661862804,222.9955156048888,0.00448439511120858,222.9955156048888,4
