trace,norm,adjoint_trace_q,q_mod_8,geodesic_length,log_q_minus_length,relative_period_error,represented_in_frozen_ledger,multiplicity_within_frozen_block_cutoff
3,6.854101966249685,7,7,1.9248473002384139,0.021062848816899515,0.010824163092589326,True,1
5,22.9564392373896,23,7,3.133598473944822,0.0018957419843275336,0.0006046070742840656,True,2
7,46.97871376374779,47,7,3.8496946004768278,0.00045300123323100685,0.00011765814719150106,True,2
9,78.98733974326456,79,7,4.369287583210218,0.00016026925680404078,3.6679521581554435e-05,True,2
13,166.99401176132335,167,7,5.117957954057225,3.585835953000436e-05,7.006331161051516e-06,True,4
15,222.9955156048888,223,7,5.407151661862804,2.0109597314123967e-05,3.7190601971007288e-06,True,4
19,358.99721446306626,359,7,5.883314629302372,7.759185906720792e-06,1.3188442506402436e-06,True,2
21,438.9977220838522,439,7,6.084494224186657,5.18888851428718e-06,8.52804505681538e-07,False,0
27,726.998624481579,727,7,6.588924585484383,1.8920491365234132e-06,2.8715590361719707e-07,True,3
29,838.9988081031936,839,7,6.732209285850218,1.4206169881672354e-06,2.1101790334674748e-07,True,6
33,1086.99908003602,1087,7,6.991176040787843,8.463333664820469e-07,1.21057352738581e-07,True,2
35,1222.999182337965,1223,7,7.1090614671161925,6.685709796740947e-07,9.404489184556404e-08,True,6
37,1366.999268470713,1367,7,7.220373301588995,5.351349543464653e-07,7.411457722932369e-08,True,6
43,1846.9994585813247,1847,7,7.521317687065101,2.9313413891483005e-07,3.897377290609709e-08,True,10
47,2206.999546896146,2207,7,7.6993892009536555,2.0530308123997843e-07,2.6664852289863853e-08,True,6
49,2398.9995831595775,2399,7,7.7828070890837715,1.7375592279642656e-07,2.2325610403594734e-08,False,0
55,3022.9996692027426,3023,7,8.014004885352639,1.0942681958335333e-07,1.3654448637683273e-08,True,8
61,3718.9997311104944,3719,7,8.221210021623506,7.23015637490664e-08,8.79451600470501e-09,True,6
63,3966.9997479203266,3967,7,8.28576535697017,6.354415961657483e-08,7.669075383096036e-09,True,6
69,4758.999789871812,4759,7,8.467792796967256,4.415385419324417e-08,5.2143285767248805e-09,True,8
71,5038.999801547918,5039,7,8.52496288929737,3.93832279316723e-08,4.619753570912902e-09,True,4
75,5622.999822158985,5623,7,8.634620576664775,3.162742638696744e-08,3.6628623099657953e-09,True,6
77,5926.999831280576,5927,7,8.687273433321595,2.846624376740491e-08,3.276775376372988e-09,True,8
89,7918.999873721428,7919,7,8.977020198264135,1.5946277755662506e-08,1.7763441960863496e-09,True,2
