source_size,source_topology,target,target_t0,map_values,image_size,constant,continuous,expected_continuity,expectation_match,scope
1,indiscrete,discrete_2,true,0,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
1,indiscrete,discrete_2,true,1,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
1,indiscrete,sierpinski_2,true,0,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
1,indiscrete,sierpinski_2,true,1,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
1,indiscrete,indiscrete_2_negative,false,0,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
1,indiscrete,indiscrete_2_negative,false,1,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,discrete_2,true,00,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,discrete_2,true,01,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,discrete_2,true,10,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,discrete_2,true,11,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,sierpinski_2,true,00,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,sierpinski_2,true,01,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,sierpinski_2,true,10,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,sierpinski_2,true,11,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,indiscrete_2_negative,false,00,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,indiscrete_2_negative,false,01,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,indiscrete_2_negative,false,10,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
2,indiscrete,indiscrete_2_negative,false,11,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,000,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,discrete_2,true,111,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,000,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,sierpinski_2,true,111,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,000,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,001,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,010,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,011,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,100,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,101,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,110,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
3,indiscrete,indiscrete_2_negative,false,111,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00000,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,00111,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01000,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
