unit_size,period,time_subset,arrow_open,open_cardinality,nonempty,hausdorff_subspace,expected_hausdorff,expectation_match,topology_open_count,arrow_t0,scope
2,3,{},{},0,false,true,true,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,{0},"{0@0,1@0}",2,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,{1},"{0@1,1@1}",2,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,{2},"{0@2,1@2}",2,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,"{0,1}","{0@0,1@0,0@1,1@1}",4,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,"{0,2}","{0@0,1@0,0@2,1@2}",4,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,"{1,2}","{0@1,1@1,0@2,1@2}",4,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,3,"{0,1,2}","{0@0,1@0,0@1,1@1,0@2,1@2}",6,true,false,false,true,8,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,{},{},0,false,true,true,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,{0},"{0@0,1@0}",2,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,{1},"{0@1,1@1}",2,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,{2},"{0@2,1@2}",2,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,{3},"{0@3,1@3}",2,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{0,1}","{0@0,1@0,0@1,1@1}",4,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{0,2}","{0@0,1@0,0@2,1@2}",4,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{0,3}","{0@0,1@0,0@3,1@3}",4,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{1,2}","{0@1,1@1,0@2,1@2}",4,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{1,3}","{0@1,1@1,0@3,1@3}",4,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{2,3}","{0@2,1@2,0@3,1@3}",4,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{0,1,2}","{0@0,1@0,0@1,1@1,0@2,1@2}",6,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{0,1,3}","{0@0,1@0,0@1,1@1,0@3,1@3}",6,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
2,4,"{0,2,3}","{0@0,1@0,0@2,1@2,0@3,1@3}",6,true,false,false,true,16,false,finite indiscrete-unit x discrete cyclic-time topology only
