action,unit_size,period,profile,time,group_involution,actual_values_by_unit,all_units_match_group,unit_coordinate_erased,scope
trivial,4,4,delta_shift,0,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
trivial,4,4,delta_shift,1,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
trivial,4,4,delta_shift,2,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
trivial,4,4,delta_shift,3,1+0i,1+0i|1+0i|1+0i|1+0i,true,true,finite right-action involution witness
trivial,4,4,dense_a,0,1+1i,1+1i|1+1i|1+1i|1+1i,true,true,finite right-action involution witness
trivial,4,4,dense_a,1,4+1i,4+1i|4+1i|4+1i|4+1i,true,true,finite right-action involution witness
trivial,4,4,dense_a,2,3-1i,3-1i|3-1i|3-1i|3-1i,true,true,finite right-action involution witness
trivial,4,4,dense_a,3,2+0i,2+0i|2+0i|2+0i|2+0i,true,true,finite right-action involution witness
trivial,4,4,sparse_signed,0,2-1i,2-1i|2-1i|2-1i|2-1i,true,true,finite right-action involution witness
trivial,4,4,sparse_signed,1,-1-2i,-1-2i|-1-2i|-1-2i|-1-2i,true,true,finite right-action involution witness
trivial,4,4,sparse_signed,2,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
trivial,4,4,sparse_signed,3,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
transitive,4,4,delta_shift,0,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
transitive,4,4,delta_shift,1,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
transitive,4,4,delta_shift,2,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
transitive,4,4,delta_shift,3,1+0i,1+0i|1+0i|1+0i|1+0i,true,true,finite right-action involution witness
transitive,4,4,dense_a,0,1+1i,1+1i|1+1i|1+1i|1+1i,true,true,finite right-action involution witness
transitive,4,4,dense_a,1,4+1i,4+1i|4+1i|4+1i|4+1i,true,true,finite right-action involution witness
transitive,4,4,dense_a,2,3-1i,3-1i|3-1i|3-1i|3-1i,true,true,finite right-action involution witness
transitive,4,4,dense_a,3,2+0i,2+0i|2+0i|2+0i|2+0i,true,true,finite right-action involution witness
transitive,4,4,sparse_signed,0,2-1i,2-1i|2-1i|2-1i|2-1i,true,true,finite right-action involution witness
transitive,4,4,sparse_signed,1,-1-2i,-1-2i|-1-2i|-1-2i|-1-2i,true,true,finite right-action involution witness
transitive,4,4,sparse_signed,2,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
transitive,4,4,sparse_signed,3,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
nontransitive,4,4,delta_shift,0,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
nontransitive,4,4,delta_shift,1,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
nontransitive,4,4,delta_shift,2,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
nontransitive,4,4,delta_shift,3,1+0i,1+0i|1+0i|1+0i|1+0i,true,true,finite right-action involution witness
nontransitive,4,4,dense_a,0,1+1i,1+1i|1+1i|1+1i|1+1i,true,true,finite right-action involution witness
nontransitive,4,4,dense_a,1,4+1i,4+1i|4+1i|4+1i|4+1i,true,true,finite right-action involution witness
nontransitive,4,4,dense_a,2,3-1i,3-1i|3-1i|3-1i|3-1i,true,true,finite right-action involution witness
nontransitive,4,4,dense_a,3,2+0i,2+0i|2+0i|2+0i|2+0i,true,true,finite right-action involution witness
nontransitive,4,4,sparse_signed,0,2-1i,2-1i|2-1i|2-1i|2-1i,true,true,finite right-action involution witness
nontransitive,4,4,sparse_signed,1,-1-2i,-1-2i|-1-2i|-1-2i|-1-2i,true,true,finite right-action involution witness
nontransitive,4,4,sparse_signed,2,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
nontransitive,4,4,sparse_signed,3,0+0i,0+0i|0+0i|0+0i|0+0i,true,true,finite right-action involution witness
