control_id,profile,linear_coefficient,quadratic_coefficient,constant_coefficient,cauchy_pairs_checked,max_abs_cauchy_defect,is_cocycle_on_probe,expected_linear_profile,classification_match,t0_degree0_cochains_constant,b1_probe_zero,h1_probe_class,scope
Z1-B1-H1-FINITE-WITNESS,-2*t+-2*t^2+-2,-2,-2,-2,25,18,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-2*t^2+-1,-2,-2,-1,25,17,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-2*t^2+0,-2,-2,0,25,16,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-2*t^2+1,-2,-2,1,25,17,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-2*t^2+2,-2,-2,2,25,18,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-1*t^2+-2,-2,-1,-2,25,10,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-1*t^2+-1,-2,-1,-1,25,9,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-1*t^2+0,-2,-1,0,25,8,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-1*t^2+1,-2,-1,1,25,9,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+-1*t^2+2,-2,-1,2,25,10,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+0*t^2+-2,-2,0,-2,25,2,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+0*t^2+-1,-2,0,-1,25,1,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+0*t^2+0,-2,0,0,25,0,true,true,true,true,true,-2*[c],finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+0*t^2+1,-2,0,1,25,1,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+0*t^2+2,-2,0,2,25,2,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+1*t^2+-2,-2,1,-2,25,10,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+1*t^2+-1,-2,1,-1,25,9,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+1*t^2+0,-2,1,0,25,8,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+1*t^2+1,-2,1,1,25,9,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+1*t^2+2,-2,1,2,25,10,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+2*t^2+-2,-2,2,-2,25,18,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+2*t^2+-1,-2,2,-1,25,17,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+2*t^2+0,-2,2,0,25,16,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+2*t^2+1,-2,2,1,25,17,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-2*t+2*t^2+2,-2,2,2,25,18,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-2*t^2+-2,-1,-2,-2,25,18,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-2*t^2+-1,-1,-2,-1,25,17,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-2*t^2+0,-1,-2,0,25,16,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-2*t^2+1,-1,-2,1,25,17,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-2*t^2+2,-1,-2,2,25,18,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-1*t^2+-2,-1,-1,-2,25,10,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
Z1-B1-H1-FINITE-WITNESS,-1*t+-1*t^2+-1,-1,-1,-1,25,9,false,false,true,true,true,not-a-class,finite exact polynomial-family witness; not Cauchy theorem
