control_id,owner,unit,period_kind,period_expression,period_float,least_positive_period_exists,rank_one_lattice,marked_period_equals_stabilizer,transitive,all_units_same_period,exact_or_symbolic_check
TRIV-2,two-point trivial action,0,all-real,R,,false,false,true,false,true,PASS
TRIV-2,two-point trivial action,1,all-real,R,,false,false,true,false,true,PASS
FREE-R,indiscrete real translation,generic,zero,{0},,false,false,true,true,true,PASS
PER-L,R/log(2)Z translation,[0],rank-one-lattice,log(2)*Z,0.693147180559945,true,true,true,true,true,PASS
PER-L,R/log(4)Z translation,[0],rank-one-lattice,log(4)*Z,1.38629436111989,true,true,true,true,true,PASS
PER-L,R/sqrt(2)Z translation,[0],rank-one-lattice,sqrt(2)*Z,1.4142135623731,true,true,true,true,true,PASS
PER-L,R/37/29Z translation,[0],rank-one-lattice,37/29*Z,1.27586206896552,true,true,true,true,true,PASS
DENSE-Q,indiscrete R/Q translation,[0],dense,Q,,false,false,true,true,true,PASS
NONTRANS-1-2,R/Z component,orbit-1,rank-one-lattice,Z,1,true,true,true,false,false,PASS
NONTRANS-1-2,R/2Z component,orbit-2,rank-one-lattice,2*Z,2,true,true,true,false,false,PASS
