schema_version,row_id,k_index,t,u,v,sigma_tu_exp,sigma_tplusu_v_exp,sigma_uv_exp,sigma_t_uplusv_exp,lhs_exp_mod24,rhs_exp_mod24,norm_t0,norm_0u,cocycle_holds,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,CM-0001,-6,-2,-2,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0002,-6,-2,-2,-1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0003,-6,-2,-2,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0004,-6,-2,-2,1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0005,-6,-2,-2,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0006,-6,-2,-1,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0007,-6,-2,-1,-1,0,12,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0008,-6,-2,-1,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0009,-6,-2,-1,1,0,12,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0010,-6,-2,-1,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0011,-6,-2,0,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0012,-6,-2,0,-1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0013,-6,-2,0,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0014,-6,-2,0,1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0015,-6,-2,0,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0016,-6,-2,1,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0017,-6,-2,1,-1,0,12,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0018,-6,-2,1,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0019,-6,-2,1,1,0,12,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0020,-6,-2,1,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0021,-6,-2,2,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0022,-6,-2,2,-1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0023,-6,-2,2,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0024,-6,-2,2,1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0025,-6,-2,2,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0026,-6,-1,-2,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0027,-6,-1,-2,-1,0,12,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0028,-6,-1,-2,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0029,-6,-1,-2,1,0,12,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0030,-6,-1,-2,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0031,-6,-1,-1,-2,12,0,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0032,-6,-1,-1,-1,12,0,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0033,-6,-1,-1,0,12,0,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0034,-6,-1,-1,1,12,0,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0035,-6,-1,-1,2,12,0,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0036,-6,-1,0,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0037,-6,-1,0,-1,0,12,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0038,-6,-1,0,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0039,-6,-1,0,1,0,12,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0040,-6,-1,0,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0041,-6,-1,1,-2,12,0,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0042,-6,-1,1,-1,12,0,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0043,-6,-1,1,0,12,0,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0044,-6,-1,1,1,12,0,12,0,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0045,-6,-1,1,2,12,0,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0046,-6,-1,2,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0047,-6,-1,2,-1,0,12,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0048,-6,-1,2,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0049,-6,-1,2,1,0,12,0,12,12,12,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0050,-6,-1,2,2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0051,-6,0,-2,-2,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0052,-6,0,-2,-1,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
paper13-circle-twists-controls/1,CM-0053,-6,0,-2,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,NORMALIZED_COCYCLE_MOD24,0,PASS
