schema_version,row_id,control_family,owner_case,q_class,q_model_size,epsilon,input_id,input_norm,coordinate_norm_class,multiplier_member,algebra_member,finite_c0_member,tail_window_size,quotient_distance,quotient_image_nonzero,quotient_map_injective,gauge_id,gauge_lhs_exp_mod24,gauge_rhs_exp_mod24,gauge_commutes,max_evidence_status,reduced_evidence_status,cardinality_credit_owner,topology_owner,fixed_prime_branch,evidence_scope,summary_artifact,summary_rows,summary_columns,summary_negative_rows,summary_test_methods,case_kind,negative_reason,fixture,violated_lock,expected_detector,observed_detector,oracle,tolerance,status
paper13-circle-twists-controls/2,V2-0001,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF1,FINITE,1,max,ZERO,0,CONSTANT_0,true,true,true,,0,false,false,,,,,FINITE_SCALAR_MAX_NORM_DIAGNOSTIC_ONLY,,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0002,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF1,FINITE,1,r,ZERO,0,CONSTANT_0,true,true,true,,0,false,false,,,,,,FINITE_SCALAR_REDUCED_NORM_DIAGNOSTIC_ONLY,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0003,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF1,FINITE,1,max,ONE,1,CONSTANT_1,true,true,true,,0,false,false,,,,,FINITE_SCALAR_MAX_NORM_DIAGNOSTIC_ONLY,,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0004,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF1,FINITE,1,r,ONE,1,CONSTANT_1,true,true,true,,0,false,false,,,,,,FINITE_SCALAR_REDUCED_NORM_DIAGNOSTIC_ONLY,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0005,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF1,FINITE,1,max,I,1,CONSTANT_1,true,true,true,,0,false,false,,,,,FINITE_SCALAR_MAX_NORM_DIAGNOSTIC_ONLY,,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0006,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF1,FINITE,1,r,I,1,CONSTANT_1,true,true,true,,0,false,false,,,,,,FINITE_SCALAR_REDUCED_NORM_DIAGNOSTIC_ONLY,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0007,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF2,FINITE,2,max,ZERO,0,CONSTANT_0,true,true,true,,0,false,false,,,,,FINITE_SCALAR_MAX_NORM_DIAGNOSTIC_ONLY,,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0008,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF2,FINITE,2,r,ZERO,0,CONSTANT_0,true,true,true,,0,false,false,,,,,,FINITE_SCALAR_REDUCED_NORM_DIAGNOSTIC_ONLY,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0009,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF2,FINITE,2,max,ONE,1,CONSTANT_1,true,true,true,,0,false,false,,,,,FINITE_SCALAR_MAX_NORM_DIAGNOSTIC_ONLY,,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
paper13-circle-twists-controls/2,V2-0010,FINITE_C0_MODEL,GENERIC_COMMON_LATTICE_QF2,FINITE,2,r,ONE,1,CONSTANT_1,true,true,true,,0,false,false,,,,,,FINITE_SCALAR_REDUCED_NORM_DIAGNOSTIC_ONLY,NOT_APPLICABLE,Q_BARE_INDEX_ONLY,GENERIC_FINITE_BRANCH,FINITE_SCALAR_C0_MODEL_ONLY,,,,,,DIAGNOSTIC,,,,,,FINITE_C0_CONSTANT_COORDINATE_MODEL,0,PASS
