schema_version,row_id,k_index,t,u,alpha_t_exp,alpha_u_exp,alpha_tplusu_exp,delta_alpha_exp,sigma_tu_exp,quotient_sigma_over_one_exp,gauge_direction,normalized_alpha,coboundary_match,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,GC-0001,-6,-3,-3,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0002,-6,-3,-2,6,0,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0003,-6,-3,-1,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0004,-6,-3,0,6,0,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0005,-6,-3,1,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0006,-6,-3,2,6,0,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0007,-6,-3,3,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0008,-6,-2,-3,0,6,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0009,-6,-2,-2,0,0,0,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0010,-6,-2,-1,0,6,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0011,-6,-2,0,0,0,0,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0012,-6,-2,1,0,6,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0013,-6,-2,2,0,0,0,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0014,-6,-2,3,0,6,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0015,-6,-1,-3,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0016,-6,-1,-2,6,0,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0017,-6,-1,-1,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0018,-6,-1,0,6,0,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0019,-6,-1,1,6,6,0,12,12,12,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
paper13-circle-twists-controls/1,GC-0020,-6,-1,2,6,0,6,0,0,0,A_SIGMA_TO_A_ONE,true,true,DIAGNOSTIC,,FROZEN_SIGN_COBOUNDARY_AND_DIRECTION,0,PASS
