schema_version,row_id,fixture_id,k_index,t,fg_re,fg_im,left_assoc_re,left_assoc_im,right_assoc_re,right_assoc_im,gauge_product_re,gauge_product_im,untwisted_of_gauged_re,untwisted_of_gauged_im,fg_support_within_minkowski,associativity_holds,gauge_product_holds,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,TC-0001,C1,-6,-6,0,0,0,0,0,0,0,0,0,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0002,C1,-6,-5,0,0,-2,0,-2,0,0,0,0,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0003,C1,-6,-4,0,0,-3,0,-3,0,0,0,0,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0004,C1,-6,-3,2,0,-4,0,-4,0,0,2,0,2,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0005,C1,-6,-2,3,0,8,0,8,0,3,0,3,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0006,C1,-6,-1,8,0,18,0,18,0,0,8,0,8,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0007,C1,-6,0,-4,0,-25,0,-25,0,-4,0,-4,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0008,C1,-6,1,-3,0,-27,0,-27,0,0,-3,0,-3,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0009,C1,-6,2,3,0,17,0,17,0,3,0,3,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0010,C1,-6,3,1,0,11,0,11,0,0,1,0,1,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0011,C1,-6,4,0,0,-7,0,-7,0,0,0,0,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
paper13-circle-twists-controls/1,TC-0012,C1,-6,5,0,0,-2,0,-2,0,0,0,0,0,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_PRODUCT_ASSOC_GAUGE,0,PASS
