schema_version,row_id,fixture_id,k_index,t,f_starstar_re,f_starstar_im,f_re,f_im,fg_star_re,fg_star_im,gstar_fstar_re,gstar_fstar_im,actual_star_re,actual_star_im,time_star_re,time_star_im,sigma_inverse_symmetry,star_involutive,anti_multiplicative,actual_time_star_match,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,TI-0001,C1,-6,-4,0,0,0,0,0,0,0,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0002,C1,-6,-3,0,0,0,0,-1,0,-1,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0003,C1,-6,-2,1,0,1,0,3,0,3,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0004,C1,-6,-1,-2,0,-2,0,3,0,3,0,-1,0,-1,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0005,C1,-6,0,3,0,3,0,-4,0,-4,0,3,0,3,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0006,C1,-6,1,1,0,1,0,-8,0,-8,0,2,0,2,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0007,C1,-6,2,0,0,0,0,3,0,3,0,1,0,1,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0008,C1,-6,3,0,0,0,0,-2,0,-2,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0009,C1,-6,4,0,0,0,0,0,0,0,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0010,C1,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0011,C1,0,-3,0,0,0,0,1,0,1,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0012,C1,0,-2,1,0,1,0,3,0,3,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0013,C1,0,-1,-2,0,-2,0,-3,0,-3,0,1,0,1,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0014,C1,0,0,3,0,3,0,0,0,0,0,3,0,3,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0015,C1,0,1,1,0,1,0,8,0,8,0,-2,0,-2,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0016,C1,0,2,0,0,0,0,-5,0,-5,0,1,0,1,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0017,C1,0,3,0,0,0,0,2,0,2,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0018,C1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
paper13-circle-twists-controls/1,TI-0019,C1,6,-4,0,0,0,0,0,0,0,0,0,0,0,0,true,true,true,true,DIAGNOSTIC,,FINITE_GAUSSIAN_STAR_LAWS,0,PASS
