schema_version,row_id,row_family,case_kind,action_case,comparison_case,subset_u,subset_v,arrow_open,subject_value,oracle_value,record_equal,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,AO-0001,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,EMPTY,,X4x[EMPTY],X4x[EMPTY],X4x[EMPTY],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0002,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0,,X4x[0],X4x[0],X4x[0],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0003,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,1,,X4x[1],X4x[1],X4x[1],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0004,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|1,,X4x[0|1],X4x[0|1],X4x[0|1],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0005,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,2,,X4x[2],X4x[2],X4x[2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0006,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|2,,X4x[0|2],X4x[0|2],X4x[0|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0007,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,1|2,,X4x[1|2],X4x[1|2],X4x[1|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0008,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|1|2,,X4x[0|1|2],X4x[0|1|2],X4x[0|1|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0009,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,3,,X4x[3],X4x[3],X4x[3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0010,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|3,,X4x[0|3],X4x[0|3],X4x[0|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0011,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,1|3,,X4x[1|3],X4x[1|3],X4x[1|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0012,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|1|3,,X4x[0|1|3],X4x[0|1|3],X4x[0|1|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0013,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,2|3,,X4x[2|3],X4x[2|3],X4x[2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0014,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|2|3,,X4x[0|2|3],X4x[0|2|3],X4x[0|2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0015,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,1|2|3,,X4x[1|2|3],X4x[1|2|3],X4x[1|2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0016,OPEN_DESCRIPTOR,DIAGNOSTIC,TRIVIAL,,0|1|2|3,,X4x[0|1|2|3],X4x[0|1|2|3],X4x[0|1|2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0017,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,EMPTY,,X4x[EMPTY],X4x[EMPTY],X4x[EMPTY],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0018,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0,,X4x[0],X4x[0],X4x[0],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0019,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,1,,X4x[1],X4x[1],X4x[1],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0020,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|1,,X4x[0|1],X4x[0|1],X4x[0|1],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0021,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,2,,X4x[2],X4x[2],X4x[2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0022,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|2,,X4x[0|2],X4x[0|2],X4x[0|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0023,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,1|2,,X4x[1|2],X4x[1|2],X4x[1|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0024,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|1|2,,X4x[0|1|2],X4x[0|1|2],X4x[0|1|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0025,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,3,,X4x[3],X4x[3],X4x[3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0026,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|3,,X4x[0|3],X4x[0|3],X4x[0|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0027,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,1|3,,X4x[1|3],X4x[1|3],X4x[1|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0028,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|1|3,,X4x[0|1|3],X4x[0|1|3],X4x[0|1|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0029,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,2|3,,X4x[2|3],X4x[2|3],X4x[2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0030,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|2|3,,X4x[0|2|3],X4x[0|2|3],X4x[0|2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0031,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,1|2|3,,X4x[1|2|3],X4x[1|2|3],X4x[1|2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0032,OPEN_DESCRIPTOR,DIAGNOSTIC,TRANSITIVE,,0|1|2|3,,X4x[0|1|2|3],X4x[0|1|2|3],X4x[0|1|2|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0033,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,EMPTY,,X4x[EMPTY],X4x[EMPTY],X4x[EMPTY],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0034,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,0,,X4x[0],X4x[0],X4x[0],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0035,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,1,,X4x[1],X4x[1],X4x[1],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0036,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,0|1,,X4x[0|1],X4x[0|1],X4x[0|1],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0037,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,2,,X4x[2],X4x[2],X4x[2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0038,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,0|2,,X4x[0|2],X4x[0|2],X4x[0|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0039,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,1|2,,X4x[1|2],X4x[1|2],X4x[1|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0040,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,0|1|2,,X4x[0|1|2],X4x[0|1|2],X4x[0|1|2],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0041,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,3,,X4x[3],X4x[3],X4x[3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0042,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,0|3,,X4x[0|3],X4x[0|3],X4x[0|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0043,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,1|3,,X4x[1|3],X4x[1|3],X4x[1|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0044,OPEN_DESCRIPTOR,DIAGNOSTIC,NONTRANSITIVE,,0|1|3,,X4x[0|1|3],X4x[0|1|3],X4x[0|1|3],,,,C4_BITSET_OPEN_QUANTALE,PASS
