schema_version,row_id,row_family,case_kind,owner_domain,input_n,input_sheet,claim_token,subject_value,oracle_value,scope_token,source_binding,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,CZ-0001,SYMBOLIC_RECEIPT,RECEIPT,ACTUAL_USUAL_R,,,CONNECTED_REAL_CONCLUSION,"CONNECTED_REAL_CONCLUSION=B(G(X,R))~=Set","CONNECTED_REAL_CONCLUSION=B(G(X,R))~=Set",SYMBOLIC_SOURCE_OWNED,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-3,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0002,SYMBOLIC_RECEIPT,RECEIPT,ACTUAL_USUAL_R,,,FINITE_CONTROL_LIMIT,FINITE_CONTROL_LIMIT=NO_FINITE_PROOF_OF_CONNECTED_R_OR_TOPOS_EQUIVALENCE,FINITE_CONTROL_LIMIT=NO_FINITE_PROOF_OF_CONNECTED_R_OR_TOPOS_EQUIVALENCE,SYMBOLIC_SOURCE_OWNED,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-3,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0003,SYMBOLIC_RECEIPT,RECEIPT,ACTUAL_USUAL_R,,,DISCONNECTED_FIREWALL,DISCONNECTED_FIREWALL=DO_NOT_INFER_SET_FOR_ARBITRARY_DISCONNECTED_TIME,DISCONNECTED_FIREWALL=DO_NOT_INFER_SET_FOR_ARBITRARY_DISCONNECTED_TIME,SYMBOLIC_SOURCE_OWNED,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-3,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0004,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,0,z0,,z0,z0,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0005,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,0,z1,,z1,z1,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0006,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,0,z2,,z2,z2,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0007,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,1,z0,,z1,z1,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0008,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,1,z1,,z2,z2,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0009,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,1,z2,,z0,z0,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
paper17-open-groupoid-controls/1,CZ-0010,Z3_ACTION,DIAGNOSTIC,DISCRETE_Z_VIA_C3_QUOTIENT,2,z0,,z2,z2,FINITE_Z3_FALSIFIER_ONLY,,,,SOURCE_RECEIPT_PLUS_Z3_PERMUTATION,PASS
