schema_version,row_id,row_family,case_kind,owner_domain,topology_token,claim_token,evidence_mode,subject_value,oracle_value,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,DG-0001,OWNER_RECEIPT,RECEIPT,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,,SYMBOLIC_SOURCE_RECEIPT_ONLY,owner=ACTUAL_USUAL_R;topology=USUAL_NONDISCRETE_R;evidence=SYMBOLIC_SOURCE_RECEIPT_ONLY,owner=ACTUAL_USUAL_R;topology=USUAL_NONDISCRETE_R;evidence=SYMBOLIC_SOURCE_RECEIPT_ONLY,SYMBOLIC_SOURCE_OWNED,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0002,OWNER_RECEIPT,RECEIPT,CONTROL_C3_DISCRETE,FINITE_DISCRETE_C3,,FINITE_DIAGNOSTIC_ONLY,owner=CONTROL_C3_DISCRETE;topology=FINITE_DISCRETE_C3;evidence=FINITE_DIAGNOSTIC_ONLY,owner=CONTROL_C3_DISCRETE;topology=FINITE_DISCRETE_C3;evidence=FINITE_DIAGNOSTIC_ONLY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0003,OWNER_RECEIPT,RECEIPT,CONTROL_C4_DISCRETE,FINITE_DISCRETE_C4,,FINITE_DIAGNOSTIC_ONLY,owner=CONTROL_C4_DISCRETE;topology=FINITE_DISCRETE_C4;evidence=FINITE_DIAGNOSTIC_ONLY,owner=CONTROL_C4_DISCRETE;topology=FINITE_DISCRETE_C4;evidence=FINITE_DIAGNOSTIC_ONLY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0004,CLAIM_SCOPE,RECEIPT,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,OPEN_GROUPOID,SYMBOLIC_SOURCE_RECEIPT_ONLY,OPEN_GROUPOID=true,SYMBOLIC_SOURCE_OWNED,SYMBOLIC_SOURCE_OWNED,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0005,CLAIM_SCOPE,RECEIPT,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONETALE,SYMBOLIC_SOURCE_RECEIPT_ONLY,NONETALE=true,SYMBOLIC_SOURCE_OWNED,SYMBOLIC_SOURCE_OWNED,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0006,CLAIM_SCOPE,RECEIPT,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONUNITAL,SYMBOLIC_SOURCE_RECEIPT_ONLY,NONUNITAL=true,SYMBOLIC_SOURCE_OWNED,SYMBOLIC_SOURCE_OWNED,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0007,CLAIM_SCOPE,RECEIPT,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,LOCALIC_RECONSTRUCTION,SYMBOLIC_SOURCE_RECEIPT_ONLY,LOCALIC_RECONSTRUCTION=true,SYMBOLIC_QH_GATE_ONLY,SYMBOLIC_SOURCE_OWNED,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0008,CLAIM_SCOPE,RECEIPT,CONTROL_C3_DISCRETE,FINITE_DISCRETE_C3,OPEN_GROUPOID,FINITE_DIAGNOSTIC_ONLY,OPEN_GROUPOID=true,FINITE_DIAGNOSTIC_ONLY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0009,CLAIM_SCOPE,RECEIPT,CONTROL_C3_DISCRETE,FINITE_DISCRETE_C3,NONETALE,FINITE_DIAGNOSTIC_ONLY,NONETALE=true,FALSE_IN_DISCRETE_PROXY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0010,CLAIM_SCOPE,RECEIPT,CONTROL_C3_DISCRETE,FINITE_DISCRETE_C3,NONUNITAL,FINITE_DIAGNOSTIC_ONLY,NONUNITAL=true,FALSE_IN_DISCRETE_PROXY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0011,CLAIM_SCOPE,RECEIPT,CONTROL_C3_DISCRETE,FINITE_DISCRETE_C3,LOCALIC_RECONSTRUCTION,FINITE_DIAGNOSTIC_ONLY,LOCALIC_RECONSTRUCTION=true,NOT_CERTIFIABLE_BY_FINITE_PROXY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0012,CLAIM_SCOPE,RECEIPT,CONTROL_C4_DISCRETE,FINITE_DISCRETE_C4,OPEN_GROUPOID,FINITE_DIAGNOSTIC_ONLY,OPEN_GROUPOID=true,FINITE_DIAGNOSTIC_ONLY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
