schema_version,row_id,row_family,case_kind,owner_domain,bare_quantale_receipt,q_h_receipt,local_compactness_receipt,promotion_attempt,licensed,subject_value,oracle_value,source_binding,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,QL-0001,SOURCE_RECEIPT,RECEIPT,GENERIC_H,true,,,,,BARE_QUANTALE=O(G)~=O(H)_DIRECT,BARE_QUANTALE=O(G)~=O(H)_DIRECT,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-5,SYMBOLIC_SOURCE_RECEIPT_ONLY,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0002,SOURCE_RECEIPT,RECEIPT,GENERIC_H,,true,,,,Q_H_COMPARISON=q_H_REQUIRED_SEPARATELY,Q_H_COMPARISON=q_H_REQUIRED_SEPARATELY,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-5,SYMBOLIC_SOURCE_RECEIPT_ONLY,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0003,SOURCE_RECEIPT,RECEIPT,GENERIC_H,,,true,,,LOCAL_COMPACTNESS=SOURCE_DOMAIN_REQUIRED_SEPARATELY,LOCAL_COMPACTNESS=SOURCE_DOMAIN_REQUIRED_SEPARATELY,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-5,SYMBOLIC_SOURCE_RECEIPT_ONLY,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0004,GATE_TRUTH_TABLE,DIAGNOSTIC,,false,false,false,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0005,GATE_TRUTH_TABLE,DIAGNOSTIC,,false,false,true,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0006,GATE_TRUTH_TABLE,DIAGNOSTIC,,false,true,false,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0007,GATE_TRUTH_TABLE,DIAGNOSTIC,,false,true,true,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0008,GATE_TRUTH_TABLE,DIAGNOSTIC,,true,false,false,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0009,GATE_TRUTH_TABLE,DIAGNOSTIC,,true,false,true,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0010,GATE_TRUTH_TABLE,DIAGNOSTIC,,true,true,false,false,false,false,false,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0011,GATE_TRUTH_TABLE,DIAGNOSTIC,,true,true,true,false,true,true,true,,NO_REAL_OR_LOCALIC_CERTIFICATION,,,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0012,PROMOTION_ATTACK,NEGATIVE,,false,false,false,true,false,CLAIM[LOCALIC_WITHOUT_BARE_QH_LC],REJECTED,,NO_REAL_OR_LOCALIC_CERTIFICATION,true,LOCALIC_WITHOUT_BARE_QH_LC,BARE_Q_QH_LC_CONJUNCTION,PASS
paper17-open-groupoid-controls/1,QL-0013,PROMOTION_ATTACK,NEGATIVE,,false,false,true,true,false,CLAIM[LOCALIC_WITH_ONLY_LC],REJECTED,,NO_REAL_OR_LOCALIC_CERTIFICATION,true,LOCALIC_WITH_ONLY_LC,BARE_Q_QH_LC_CONJUNCTION,PASS
