prime,sigma,copies,single_packet_log_term,additive_log_term
2,1.25,1,0.54550024595413638,0.54550024595413638
2,1.25,2,0.54550024595413638,1.0910004919082728
2,1.25,3,0.54550024595413638,1.6365007378624092
2,2.0,1,0.2876820724517809,0.2876820724517809
2,2.0,2,0.2876820724517809,0.5753641449035618
2,2.0,3,0.2876820724517809,0.8630462173553427
3,1.25,1,0.29206307087165501,0.29206307087165501
3,1.25,2,0.29206307087165501,0.58412614174331001
3,1.25,3,0.29206307087165501,0.87618921261496507
3,2.0,1,0.11778303565638344,0.11778303565638344
3,2.0,2,0.11778303565638344,0.23556607131276688
3,2.0,3,0.11778303565638344,0.35334910696915034
5,1.25,1,0.14357949009124718,0.14357949009124718
5,1.25,2,0.14357949009124718,0.28715898018249436
5,1.25,3,0.14357949009124718,0.43073847027374157
5,2.0,1,0.040821994520255131,0.040821994520255131
5,2.0,2,0.040821994520255131,0.081643989040510262
5,2.0,3,0.040821994520255131,0.12246598356076539
7,1.25,1,0.091925481256888819,0.091925481256888819
7,1.25,2,0.091925481256888819,0.18385096251377764
7,1.25,3,0.091925481256888819,0.27577644377066646
7,2.0,1,0.020619287202735679,0.020619287202735679
7,2.0,2,0.020619287202735679,0.041238574405471358
7,2.0,3,0.020619287202735679,0.06185786160820704
11,1.25,1,0.05120722027156583,0.05120722027156583
11,1.25,2,0.05120722027156583,0.10241444054313166
11,1.25,3,0.05120722027156583,0.1536216608146975
11,2.0,1,0.0082988028146950936,0.0082988028146950936
11,2.0,2,0.0082988028146950936,0.016597605629390187
11,2.0,3,0.0082988028146950936,0.024896408444085281
13,1.25,1,0.041354218485916285,0.041354218485916285
13,1.25,2,0.041354218485916285,0.082708436971832569
13,1.25,3,0.041354218485916285,0.12406265545774886
13,2.0,1,0.0059347355198145473,0.0059347355198145473
13,2.0,2,0.0059347355198145473,0.011869471039629095
13,2.0,3,0.0059347355198145473,0.01780420655944364
17,1.25,1,0.029397252486739113,0.029397252486739113
17,1.25,2,0.029397252486739113,0.058794504973478226
17,1.25,3,0.029397252486739113,0.088191757460217346
17,2.0,1,0.0034662079764862306,0.0034662079764862306
17,2.0,2,0.0034662079764862306,0.0069324159529724613
17,2.0,3,0.0034662079764862306,0.010398623929458692
19,1.25,1,0.025532331691563527,0.025532331691563527
19,1.25,2,0.025532331691563527,0.051064663383127054
19,1.25,3,0.025532331691563527,0.076596995074690588
19,2.0,1,0.0027739268827252344,0.0027739268827252344
19,2.0,2,0.0027739268827252344,0.0055478537654504688
19,2.0,3,0.0027739268827252344,0.0083217806481757032
23,1.25,1,0.020053374435253814,0.020053374435253814
23,1.25,2,0.020053374435253814,0.040106748870507629
23,1.25,3,0.020053374435253814,0.06016012330576144
23,2.0,1,0.0018921481520379085,0.0018921481520379085
23,2.0,2,0.0018921481520379085,0.003784296304075817
23,2.0,3,0.0018921481520379085,0.0056764444561137259
29,1.25,1,0.01497094956441594,0.01497094956441594
29,1.25,2,0.01497094956441594,0.02994189912883188
29,1.25,3,0.01497094956441594,0.044912848693247819
29,2.0,1,0.001189768135588755,0.001189768135588755
29,2.0,2,0.001189768135588755,0.0023795362711775099
29,2.0,3,0.001189768135588755,0.0035693044067662649
