prime,sigma,orbit_count,log_orbitwise_zeta
2,1.25,1,0.54550024595413638
2,1.25,2,1.0910004919082728
2,1.25,4,2.1820009838165455
2,1.25,8,4.364001967633091
2,1.25,16,8.728003935266182
2,1.25,32,17.456007870532364
2,1.25,64,34.912015741064728
2,1.25,128,69.824031482129456
2,2.0,1,0.2876820724517809
2,2.0,2,0.5753641449035618
2,2.0,4,1.1507282898071236
2,2.0,8,2.3014565796142472
2,2.0,16,4.6029131592284944
2,2.0,32,9.2058263184569888
2,2.0,64,18.411652636913978
2,2.0,128,36.823305273827955
3,1.25,1,0.29206307087165501
3,1.25,2,0.58412614174331001
3,1.25,4,1.16825228348662
3,1.25,8,2.33650456697324
3,1.25,16,4.6730091339464801
3,1.25,32,9.3460182678929602
3,1.25,64,18.69203653578592
3,1.25,128,37.384073071571841
3,2.0,1,0.11778303565638344
3,2.0,2,0.23556607131276688
3,2.0,4,0.47113214262553377
3,2.0,8,0.94226428525106753
3,2.0,16,1.8845285705021351
3,2.0,32,3.7690571410042701
3,2.0,64,7.5381142820085403
3,2.0,128,15.076228564017081
5,1.25,1,0.14357949009124718
5,1.25,2,0.28715898018249436
5,1.25,4,0.57431796036498872
5,1.25,8,1.1486359207299774
5,1.25,16,2.2972718414599549
5,1.25,32,4.5945436829199098
5,1.25,64,9.1890873658398196
5,1.25,128,18.378174731679639
5,2.0,1,0.040821994520255131
5,2.0,2,0.081643989040510262
5,2.0,4,0.16328797808102052
5,2.0,8,0.32657595616204105
5,2.0,16,0.6531519123240821
5,2.0,32,1.3063038246481642
5,2.0,64,2.6126076492963284
5,2.0,128,5.2252152985926568
