prime,repetition,mass_model,packet_mass,minus_log_derivative_term_at_s_1
2,1,unit,1,0.34657359027997264
2,1,decay_half,0.70710678118654757,0.24506453586713681
2,1,growth_linear,2,0.69314718055994529
2,2,unit,1,0.17328679513998632
2,2,decay_half,0.70710678118654757,0.1225322679335684
2,2,growth_linear,2,0.34657359027997264
2,3,unit,1,0.086643397569993161
2,3,decay_half,0.70710678118654757,0.061266133966784202
2,3,growth_linear,2,0.17328679513998632
2,4,unit,1,0.04332169878499658
2,4,decay_half,0.70710678118654757,0.030633066983392101
2,4,growth_linear,2,0.086643397569993161
2,5,unit,1,0.02166084939249829
2,5,decay_half,0.70710678118654757,0.01531653349169605
2,5,growth_linear,2,0.04332169878499658
3,1,unit,1,0.36620409622270322
3,1,decay_half,0.57735026918962573,0.21142803353252132
3,1,growth_linear,3,1.0986122886681096
3,2,unit,1,0.12206803207423442
3,2,decay_half,0.57735026918962573,0.070476011177507111
3,2,growth_linear,3,0.36620409622270322
3,3,unit,1,0.040689344024744806
3,3,decay_half,0.57735026918962573,0.023492003725835701
3,3,growth_linear,3,0.1220680320742344
3,4,unit,1,0.013563114674914934
3,4,decay_half,0.57735026918962573,0.0078306679086119005
3,4,growth_linear,3,0.040689344024744799
3,5,unit,1,0.0045210382249716453
3,5,decay_half,0.57735026918962573,0.0026102226362039673
3,5,growth_linear,3,0.013563114674914936
5,1,unit,1,0.32188758248682009
5,1,decay_half,0.44721359549995793,0.14395250311072008
5,1,growth_linear,5,1.6094379124341005
5,2,unit,1,0.064377516497364007
5,2,decay_half,0.44721359549995793,0.028790500622144017
5,2,growth_linear,5,0.32188758248682009
5,3,unit,1,0.012875503299472802
5,3,decay_half,0.44721359549995793,0.0057581001244288036
5,3,growth_linear,5,0.064377516497364021
5,4,unit,1,0.0025751006598945607
5,4,decay_half,0.44721359549995793,0.0011516200248857607
5,4,growth_linear,5,0.012875503299472802
5,5,unit,1,0.0005150201319789121
5,5,decay_half,0.44721359549995793,0.00023032400497715214
5,5,growth_linear,5,0.0025751006598945607
7,1,unit,1,0.27798716415075903
7,1,decay_half,0.37796447300922725,0.10506927200157118
7,1,growth_linear,7,1.945910149055313
7,2,unit,1,0.039712452021537004
7,2,decay_half,0.37796447300922725,0.015009896000224454
7,2,growth_linear,7,0.27798716415075903
7,3,unit,1,0.0056732074316481439
7,3,decay_half,0.37796447300922725,0.002144270857174922
7,3,growth_linear,7,0.039712452021537004
7,4,unit,1,0.00081045820452116336
7,4,decay_half,0.37796447300922725,0.00030632440816784606
7,4,growth_linear,7,0.0056732074316481439
7,5,unit,1,0.00011577974350302334
7,5,decay_half,0.37796447300922725,4.3760629738263714e-05
7,5,growth_linear,7,0.00081045820452116336
11,1,unit,1,0.21799047934530644
11,1,decay_half,0.30151134457776363,0.065726602532554551
11,1,growth_linear,11,2.3978952727983707
11,2,unit,1,0.019817316304118766
11,2,decay_half,0.30151134457776363,0.0059751456847776862
11,2,growth_linear,11,0.21799047934530641
11,3,unit,1,0.0018015742094653424
11,3,decay_half,0.30151134457776363,0.00054319506225251695
11,3,growth_linear,11,0.019817316304118766
11,4,unit,1,0.00016377947358775838
11,4,decay_half,0.30151134457776363,4.9381369295683355e-05
11,4,growth_linear,11,0.001801574209465342
