system_id,marked_owner_id,positive_generator_rank,normalized_canonical_word,local_canonical_word,marked_word_length,marked_orbit_multiplicity,symbolic_root_owner_id,symbolic_root_word,symbolic_repetition_exponent,symbolic_primitive,dynamical_class,complex_length_re,holonomy_angle,psl_trace_squared_re,psl_trace_squared_im,trace_reconstruction_residual,matrix_determinant_residual,candidate_level3_membership,matrix_representation,orientation_branch,owner_scope,completeness_boundary,evidence_status,target_data_used
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_688ac16511e08536,4,g1,U1,1,2,MW4_688ac16511e08536,g1,1,true,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_e2b5b68e0bca4037,4,g2,Ui,1,2,MW4_e2b5b68e0bca4037,g2,1,true,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_fa2ad36c061be935,4,g3,L1,1,2,MW4_fa2ad36c061be935,g3,1,true,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_ff7d1ad4388e111e,4,g4,Li,1,2,MW4_ff7d1ad4388e111e,g4,1,true,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_226356794daa15f7,4,g1.g1,U1.U1,2,2,MW4_688ac16511e08536,g1,2,false,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_cfce520a0009c021,4,g1.g2,U1.Ui,2,4,MW4_cfce520a0009c021,g1.g2,1,true,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_f176a35ac18a5ea6,4,g1.G2,U1.Uim,2,4,MW4_f176a35ac18a5ea6,g1.G2,1,true,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_8a76c30efc3f7f4d,4,g1.g3,U1.L1,2,4,MW4_8a76c30efc3f7f4d,g1.g3,1,true,LOXODROMIC,4.7790528691484369,0,121,0,1.7763568394002505e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_05c369690466b9c9,4,g1.G3,U1.L1m,2,4,MW4_05c369690466b9c9,g1.G3,1,true,LOXODROMIC,3.8496946004768273,0,49,0,8.8817841970012523e-16,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_3bb89491f1a683be,4,g1.g4,U1.Li,2,4,MW4_3bb89491f1a683be,g1.g4,1,true,LOXODROMIC,4.4637027055023939,2.7139117161345387,-77,36,3.5803616730494477e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_5df341fadfa7678f,4,g1.G4,U1.Lim,2,4,MW4_5df341fadfa7678f,g1.G4,1,true,LOXODROMIC,4.4637027055023939,-2.7139117161345387,-77,-36,3.5803616730494477e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_173415bdf33125a4,4,g2.g2,Ui.Ui,2,2,MW4_e2b5b68e0bca4037,g2,2,false,PARABOLIC,,,4,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_b2cba10a5b02fda7,4,g2.g3,Ui.L1,2,4,MW4_b2cba10a5b02fda7,g2.g3,1,true,LOXODROMIC,4.4637027055023939,2.7139117161345387,-77,36,3.5803616730494477e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
