system_id,marking_id,move_target,move_source,move_exponent,positive_generator_count,alphabet_size,marked_owner_rows,raw_cyclically_reduced_linear_words,symbolically_primitive_owner_rows,symbolic_repetition_owner_rows,identity_owner_rows,parabolic_owner_rows,loxodromic_owner_rows,primitive_loxodromic_phase_rows,q_real,q_imag,abs_q,null_mean_abs_q,null_sample_sd_abs_q,z_abs_q,maximum_matrix_determinant_residual,all_candidate_level3_membership,evaluation_digest,evidence_status
BIANCHI_LEVEL3_NIELSEN_PANEL,ID,,,0,4,8,2074,19624,2046,28,2,132,1940,1932,0.0032288682743868446,-3.3568862506515845e-18,0.0032288682743868446,0.026689967373554085,0.013045716398303861,-1.7983756800214923,0.00000000000000000e+00,true,71b2f57f9ec5bc0c4d729296c7c5e2f07a6dbcb2d73ce020faa15c1df42f8151,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,ID,,,0,4,8,2074,19624,2046,28,6,121,1947,1925,0.1097958528989449,0.023502539340602903,0.11228311836275004,0.026379766957563534,0.01575261997501733,5.4532739024634544,2.93430189172962376e-61,NOT_APPLICABLE_CONTROL,e2c08336e39858cabbafedf6034ba7591d970aaeb4684513d923806364ba37a8,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R1_2_P,1,2,1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580843469,0.0002735931701270614,0.00029798770937747581,0.030334304506268058,0.015859685303637572,-1.8938784863531601,0.00000000000000000e+00,true,09f2c62cdb76ed27c07477ac6fecb1be16c66ff5ebe8232b350780d0e2787b07,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R1_2_P,1,2,1,4,8,2074,19624,2046,28,6,121,1947,1925,0.15335880187949982,-0.066125659118211541,0.16700755943289991,0.02634031297067399,0.012609914515009341,11.155289458528239,3.64131033689789571e-61,NOT_APPLICABLE_CONTROL,f0d168399468dbf68f78df2b67794c9efd1d301398211b097a0844c3cf2c6d36,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R1_2_M,1,2,-1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580844487,-0.00027359317012710759,0.00029798770937752226,0.031600506623882474,0.016061896990873674,-1.9488681151604297,0.00000000000000000e+00,true,cc17e21627090f93491d29dbf85d74852fe14e5257fe662cba3d8a52cbe595b6,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R1_2_M,1,2,-1,4,8,2074,19624,2046,28,6,154,1914,1898,0.26372050440460421,-0.058921532404784954,0.27022259606544191,0.028128828927343426,0.014974061435404511,16.16754199803766,2.93430189172962376e-61,NOT_APPLICABLE_CONTROL,10d7982e25cee5149aa27f8e87758339bc5f2d9751b4f95116aa2d475110d3fa,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R1_3_P,1,3,1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0095152360785095598,-1.3156557629833342e-17,0.0095152360785095598,0.029328732638758327,0.015232797800022973,-1.300712897286596,0.00000000000000000e+00,true,eac198df0ff037d59371ba86c9dc6c5aad49faa43344bd0ddde419c2552f6df4,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R1_3_P,1,3,1,4,8,2074,19624,2046,28,3,65,2006,1983,-0.034341580790555035,-0.02840180113004492,0.044564632598337879,0.030323406079688961,0.014231488296806896,1.0006842729051892,6.32823398779997454e-58,NOT_APPLICABLE_CONTROL,ff2c0f526ec5b700c7fd4be8be895efbe2779b8c768398a9437c3cd5bd95e711,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R1_3_M,1,3,-1,4,8,2074,19624,2046,28,1,81,1992,1979,-0.0051691650716133627,4.6000469636621724e-19,0.0051691650716133627,0.024694079027994715,0.014517038571970621,-1.3449653563695765,0.00000000000000000e+00,true,729cada3f18b888dff13643cd474f05668cac70e7c987a9635e58ace4b308757,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R1_3_M,1,3,-1,4,8,2074,19624,2046,28,5,90,1979,1957,0.10932736663071137,0.1306231964445099,0.17033758406114313,0.026390129353614539,0.01340726220033351,10.736528648179034,7.01192966002342086e-61,NOT_APPLICABLE_CONTROL,afd43bf0e06dad89006330fb4b59c48d83e64f18c360bbea9b6c5450e71f1ab2,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
