d9_re,d9_im,matrix_rows,distinct_first_jets_up_to_sign,joint_descriptor_collisions_beyond_first,maximum_joint_descriptor_bucket,all_joint_descriptor_buckets_are_matrix_collisions,owner_interpretation
-4312,-880,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-4312,880,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-3876,-1218,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-3876,1218,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-3440,-1520,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-3440,1520,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-3244,-266,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-3244,266,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-2916,-72,160,4,156,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-2916,72,160,4,156,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-2588,-374,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-2588,374,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-2176,-1088,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-2176,1088,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1956,-750,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1956,750,80,4,76,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1736,-448,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1736,448,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1108,-1586,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1108,1586,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1045,-440,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-1045,440,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-752,-1680,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-752,1680,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-729,-36,64,4,60,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-729,36,64,4,60,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-413,-224,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-413,224,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-396,-1738,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-396,1738,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-356,-1400,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-356,1400,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-324,-24,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-324,24,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-260,-1170,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-260,1170,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-228,-896,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-228,896,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-196,-658,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-196,658,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-144,-16,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-144,16,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-116,-128,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-116,128,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-100,-160,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-100,160,56,4,52,14,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-81,-12,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-81,12,32,4,28,8,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-76,-42,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-76,42,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-68,-66,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-68,66,128,4,124,32,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-36,-1422,192,8,184,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-36,-8,192,4,188,84,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-36,8,192,4,188,84,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-36,1422,192,8,184,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-31,-28,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-31,28,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-23,-44,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-23,44,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-12,-150,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-12,150,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
