q,topological_length_n,closed_form_trace,direct_matrix_trace,trace_match,mobius_primitive_oriented_cycles,primitive_count_nonnegative_integer
2,1,0,0,true,0,true
2,2,2,2,true,1,true
2,3,0,0,true,0,true
2,4,2,2,true,0,true
2,5,0,0,true,0,true
2,6,2,2,true,0,true
2,7,0,0,true,0,true
2,8,2,2,true,0,true
2,9,0,0,true,0,true
2,10,2,2,true,0,true
2,11,0,0,true,0,true
2,12,2,2,true,0,true
3,1,0,0,true,0,true
3,2,6,6,true,3,true
3,3,6,6,true,2,true
3,4,18,18,true,3,true
3,5,30,30,true,6,true
3,6,66,66,true,9,true
3,7,126,126,true,18,true
3,8,258,258,true,30,true
3,9,510,510,true,56,true
3,10,1026,1026,true,99,true
3,11,2046,2046,true,186,true
3,12,4098,4098,true,335,true
4,1,0,0,true,0,true
4,2,12,12,true,6,true
4,3,24,24,true,8,true
4,4,84,84,true,18,true
4,5,240,240,true,48,true
4,6,732,732,true,116,true
4,7,2184,2184,true,312,true
4,8,6564,6564,true,810,true
4,9,19680,19680,true,2184,true
4,10,59052,59052,true,5880,true
4,11,177144,177144,true,16104,true
4,12,531444,531444,true,44220,true
5,1,0,0,true,0,true
5,2,20,20,true,10,true
5,3,60,60,true,20,true
5,4,260,260,true,60,true
5,5,1020,1020,true,204,true
5,6,4100,4100,true,670,true
5,7,16380,16380,true,2340,true
5,8,65540,65540,true,8160,true
5,9,262140,262140,true,29120,true
5,10,1048580,1048580,true,104754,true
5,11,4194300,4194300,true,381300,true
5,12,16777220,16777220,true,1397740,true
6,1,0,0,true,0,true
6,2,30,30,true,15,true
6,3,120,120,true,40,true
6,4,630,630,true,150,true
6,5,3120,3120,true,624,true
6,6,15630,15630,true,2580,true
6,7,78120,78120,true,11160,true
6,8,390630,390630,true,48750,true
6,9,1953120,1953120,true,217000,true
6,10,9765630,9765630,true,976248,true
6,11,48828120,48828120,true,4438920,true
6,12,244140630,244140630,true,20343700,true
7,1,0,0,true,0,true
7,2,42,42,true,21,true
7,3,210,210,true,70,true
7,4,1302,1302,true,315,true
7,5,7770,7770,true,1554,true
7,6,46662,46662,true,7735,true
7,7,279930,279930,true,39990,true
7,8,1679622,1679622,true,209790,true
7,9,10077690,10077690,true,1119720,true
7,10,60466182,60466182,true,6045837,true
7,11,362797050,362797050,true,32981550,true
7,12,2176782342,2176782342,true,181394535,true
8,1,0,0,true,0,true
8,2,56,56,true,28,true
8,3,336,336,true,112,true
8,4,2408,2408,true,588,true
8,5,16800,16800,true,3360,true
8,6,117656,117656,true,19544,true
8,7,823536,823536,true,117648,true
8,8,5764808,5764808,true,720300,true
8,9,40353600,40353600,true,4483696,true
8,10,282475256,282475256,true,28245840,true
8,11,1977326736,1977326736,true,179756976,true
8,12,13841287208,13841287208,true,1153430600,true
