q,step_weight_u,degree,primitive_count_euler_coefficient,trace_exponential_coefficient,reciprocal_determinant_coefficient,phase_substitution_coefficient,all_exactly_equal
2,1,0,1,1,1,1,true
2,1,1,0,0,0,0,true
2,1,2,1,1,1,1,true
2,1,3,0,0,0,0,true
2,1,4,1,1,1,1,true
2,1,5,0,0,0,0,true
2,1,6,1,1,1,1,true
2,1,7,0,0,0,0,true
2,1,8,1,1,1,1,true
2,1,9,0,0,0,0,true
2,1,10,1,1,1,1,true
2,1,11,0,0,0,0,true
2,1,12,1,1,1,1,true
2,-1,0,1,1,1,1,true
2,-1,1,0,0,0,0,true
2,-1,2,1,1,1,1,true
2,-1,3,0,0,0,0,true
2,-1,4,1,1,1,1,true
2,-1,5,0,0,0,0,true
2,-1,6,1,1,1,1,true
2,-1,7,0,0,0,0,true
2,-1,8,1,1,1,1,true
2,-1,9,0,0,0,0,true
2,-1,10,1,1,1,1,true
2,-1,11,0,0,0,0,true
2,-1,12,1,1,1,1,true
3,1,0,1,1,1,1,true
3,1,1,0,0,0,0,true
3,1,2,3,3,3,3,true
3,1,3,2,2,2,2,true
3,1,4,9,9,9,9,true
3,1,5,12,12,12,12,true
3,1,6,31,31,31,31,true
3,1,7,54,54,54,54,true
3,1,8,117,117,117,117,true
3,1,9,224,224,224,224,true
3,1,10,459,459,459,459,true
3,1,11,906,906,906,906,true
3,1,12,1825,1825,1825,1825,true
3,-1,0,1,1,1,1,true
3,-1,1,0,0,0,0,true
3,-1,2,3,3,3,3,true
3,-1,3,-2,-2,-2,-2,true
3,-1,4,9,9,9,9,true
3,-1,5,-12,-12,-12,-12,true
3,-1,6,31,31,31,31,true
3,-1,7,-54,-54,-54,-54,true
3,-1,8,117,117,117,117,true
3,-1,9,-224,-224,-224,-224,true
3,-1,10,459,459,459,459,true
3,-1,11,-906,-906,-906,-906,true
3,-1,12,1825,1825,1825,1825,true
4,1,0,1,1,1,1,true
4,1,1,0,0,0,0,true
4,1,2,6,6,6,6,true
4,1,3,8,8,8,8,true
4,1,4,39,39,39,39,true
4,1,5,96,96,96,96,true
4,1,6,316,316,316,316,true
4,1,7,912,912,912,912,true
4,1,8,2781,2781,2781,2781,true
4,1,9,8288,8288,8288,8288,true
4,1,10,24930,24930,24930,24930,true
4,1,11,74712,74712,74712,74712,true
4,1,12,224227,224227,224227,224227,true
4,-1,0,1,1,1,1,true
4,-1,1,0,0,0,0,true
4,-1,2,6,6,6,6,true
4,-1,3,-8,-8,-8,-8,true
4,-1,4,39,39,39,39,true
4,-1,5,-96,-96,-96,-96,true
4,-1,6,316,316,316,316,true
4,-1,7,-912,-912,-912,-912,true
4,-1,8,2781,2781,2781,2781,true
4,-1,9,-8288,-8288,-8288,-8288,true
4,-1,10,24930,24930,24930,24930,true
4,-1,11,-74712,-74712,-74712,-74712,true
4,-1,12,224227,224227,224227,224227,true
5,1,0,1,1,1,1,true
5,1,1,0,0,0,0,true
5,1,2,10,10,10,10,true
5,1,3,20,20,20,20,true
5,1,4,115,115,115,115,true
5,1,5,404,404,404,404,true
5,1,6,1700,1700,1700,1700,true
5,1,7,6680,6680,6680,6680,true
5,1,8,26885,26885,26885,26885,true
5,1,9,107320,107320,107320,107320,true
5,1,10,429566,429566,429566,429566,true
