word,translation_power,base_matrix,translated_conjugate_matrix,base_period_proxy,translated_period_proxy,absolute_residual,q_cutoff,quadrature_panels,evidence_token
LRRLRRR,-2,"[[15,4],[11,3]]","[[-7,-16],[11,25]]",-0.6346046521397763,-0.6346046521397771,7.771561172376096e-16,192,512,NUMERICAL_OBSERVATION
LRRLRRR,-1,"[[15,4],[11,3]]","[[4,5],[11,14]]",-0.6346046521397763,-0.6346046521397771,7.771561172376096e-16,192,512,NUMERICAL_OBSERVATION
LRRLRRR,1,"[[15,4],[11,3]]","[[26,-19],[11,-8]]",-0.6346046521397763,-0.6346046521397757,6.661338147750939e-16,192,512,NUMERICAL_OBSERVATION
LRRLRRR,2,"[[15,4],[11,3]]","[[37,-64],[11,-19]]",-0.6346046521397763,-0.6346046521397755,8.881784197001252e-16,192,512,NUMERICAL_OBSERVATION
LLRLLRLR,-2,"[[30,19],[11,7]]","[[8,21],[11,29]]",0.6346046521397758,0.6346046521397767,8.881784197001252e-16,192,512,NUMERICAL_OBSERVATION
LLRLLRLR,-1,"[[30,19],[11,7]]","[[19,31],[11,18]]",0.6346046521397758,0.6346046521397762,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRLLRLR,1,"[[30,19],[11,7]]","[[41,-15],[11,-4]]",0.6346046521397758,0.6346046521397753,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRLLRLR,2,"[[30,19],[11,7]]","[[52,-71],[11,-15]]",0.6346046521397758,0.634604652139775,7.771561172376096e-16,192,512,NUMERICAL_OBSERVATION
LLRRLRRR,-2,"[[26,7],[11,3]]","[[4,9],[11,25]]",-0.6346046521397756,-0.6346046521397767,1.1102230246251565e-15,192,512,NUMERICAL_OBSERVATION
LLRRLRRR,-1,"[[26,7],[11,3]]","[[15,19],[11,14]]",-0.6346046521397756,-0.634604652139776,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRRLRRR,1,"[[26,7],[11,3]]","[[37,-27],[11,-8]]",-0.6346046521397756,-0.6346046521397751,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRRLRRR,2,"[[26,7],[11,3]]","[[48,-83],[11,-19]]",-0.6346046521397756,-0.6346046521397742,1.3322676295501878e-15,192,512,NUMERICAL_OBSERVATION
LLRRRLRR,-2,"[[25,9],[11,4]]","[[3,7],[11,26]]",0.6346046521397769,0.6346046521397757,1.2212453270876722e-15,192,512,NUMERICAL_OBSERVATION
LLRRRLRR,-1,"[[25,9],[11,4]]","[[14,19],[11,15]]",0.6346046521397769,0.6346046521397761,7.771561172376096e-16,192,512,NUMERICAL_OBSERVATION
LLRRRLRR,1,"[[25,9],[11,4]]","[[36,-23],[11,-7]]",0.6346046521397769,0.6346046521397771,2.220446049250313e-16,192,512,NUMERICAL_OBSERVATION
LLRRRLRR,2,"[[25,9],[11,4]]","[[47,-77],[11,-18]]",0.6346046521397769,0.6346046521397778,8.881784197001252e-16,192,512,NUMERICAL_OBSERVATION
LRLRRRRR,-2,"[[17,3],[11,2]]","[[-5,-11],[11,24]]",-1.2692093042795538,-1.2692093042795538,0.0,192,512,NUMERICAL_OBSERVATION
LRLRRRRR,-1,"[[17,3],[11,2]]","[[6,7],[11,13]]",-1.2692093042795538,-1.2692093042795538,0.0,192,512,NUMERICAL_OBSERVATION
LRLRRRRR,1,"[[17,3],[11,2]]","[[28,-23],[11,-9]]",-1.2692093042795538,-1.2692093042795538,0.0,192,512,NUMERICAL_OBSERVATION
LRLRRRRR,2,"[[17,3],[11,2]]","[[39,-71],[11,-20]]",-1.2692093042795538,-1.2692093042795545,6.661338147750939e-16,192,512,NUMERICAL_OBSERVATION
LLLRLLRLR,-2,"[[41,26],[11,7]]","[[19,50],[11,29]]",0.6346046521397755,0.6346046521397767,1.2212453270876722e-15,192,512,NUMERICAL_OBSERVATION
LLLRLLRLR,-1,"[[41,26],[11,7]]","[[30,49],[11,18]]",0.6346046521397755,0.6346046521397758,3.3306690738754696e-16,192,512,NUMERICAL_OBSERVATION
LLLRLLRLR,1,"[[41,26],[11,7]]","[[52,-19],[11,-4]]",0.6346046521397755,0.6346046521397749,5.551115123125783e-16,192,512,NUMERICAL_OBSERVATION
LLLRLLRLR,2,"[[41,26],[11,7]]","[[63,-86],[11,-15]]",0.6346046521397755,0.6346046521397745,9.992007221626409e-16,192,512,NUMERICAL_OBSERVATION
LLLRLRLLR,-2,"[[40,29],[11,8]]","[[18,49],[11,30]]",-0.6346046521397771,-0.6346046521397762,8.881784197001252e-16,192,512,NUMERICAL_OBSERVATION
LLLRLRLLR,-1,"[[40,29],[11,8]]","[[29,50],[11,19]]",-0.6346046521397771,-0.6346046521397768,3.3306690738754696e-16,192,512,NUMERICAL_OBSERVATION
LLLRLRLLR,1,"[[40,29],[11,8]]","[[51,-14],[11,-3]]",-0.6346046521397771,-0.634604652139778,8.881784197001252e-16,192,512,NUMERICAL_OBSERVATION
LLLRLRLLR,2,"[[40,29],[11,8]]","[[62,-79],[11,-14]]",-0.6346046521397771,-0.6346046521397785,1.3322676295501878e-15,192,512,NUMERICAL_OBSERVATION
LLLRRLRRR,-2,"[[37,10],[11,3]]","[[15,34],[11,25]]",-0.6346046521397753,-0.6346046521397765,1.1102230246251565e-15,192,512,NUMERICAL_OBSERVATION
LLLRRLRRR,-1,"[[37,10],[11,3]]","[[26,33],[11,14]]",-0.6346046521397753,-0.6346046521397756,2.220446049250313e-16,192,512,NUMERICAL_OBSERVATION
LLLRRLRRR,1,"[[37,10],[11,3]]","[[48,-35],[11,-8]]",-0.6346046521397753,-0.6346046521397748,5.551115123125783e-16,192,512,NUMERICAL_OBSERVATION
