word,word_length,matrix_a,matrix_b,matrix_c,matrix_d,matrix_trace,base_length,in_gamma0_11_selected_ledger,control_owner
LR,2,2,1,1,1,3,1.92484730023841388e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLR,3,3,2,1,1,4,2.63391579384963315e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRR,3,3,1,2,1,4,2.63391579384963315e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLR,4,4,3,1,1,5,3.13359847394482216e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRR,4,5,2,2,1,6,3.52549434807817219e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRR,4,4,1,3,1,5,3.13359847394482216e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLR,5,5,4,1,1,6,3.52549434807817219e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRR,5,7,3,2,1,8,4.12687413779112156e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLR,5,8,5,3,2,10,4.58486333912235544e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRR,5,7,2,3,1,8,4.12687413779112156e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRR,5,8,3,5,2,10,4.58486333912235544e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRRR,5,5,1,4,1,6,3.52549434807817219e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLR,6,6,5,1,1,7,3.84969460047682777e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRR,6,9,4,2,1,10,4.58486333912235544e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLR,6,11,7,3,2,13,5.11795795405722487e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRR,6,10,3,3,1,11,4.77905286914843686e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRR,6,13,5,5,2,15,5.40715166186280438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLR,6,12,7,5,3,15,5.40715166186280438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRR,6,9,2,4,1,10,4.58486333912235544e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRR,6,11,3,7,2,13,5.11795795405722487e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRRRR,6,6,1,5,1,7,3.84969460047682777e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLLR,7,7,6,1,1,8,4.12687413779112156e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRR,7,11,5,2,1,12,4.95577746057695023e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLR,7,14,9,3,2,16,5.53731876662714750e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRR,7,13,4,3,1,14,5.26783158769926718e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLLR,7,15,11,4,3,18,5.77454190071524120e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRR,7,18,7,5,2,20,5.98644569225276157e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRLR,7,17,10,5,3,20,5.98644569225276157e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRR,7,13,3,4,1,14,5.26783158769926718e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRR,7,19,8,7,3,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRLR,7,21,13,8,5,26,6.51322790960010511e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRRR,7,18,5,7,2,20,5.98644569225276157e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLRR,7,19,7,8,3,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRLR,7,16,9,7,4,20,5.98644569225276157e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRRR,7,11,2,5,1,12,4.95577746057695023e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRLRR,7,21,8,13,5,26,6.51322790960010511e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRRR,7,14,3,9,2,16,5.53731876662714750e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRLRRR,7,15,4,11,3,18,5.77454190071524120e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRRRRR,7,7,1,6,1,8,4.12687413779112156e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLLLR,8,8,7,1,1,9,4.36928758321021693e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLLRR,8,13,6,2,1,14,5.26783158769926718e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRLR,8,17,11,3,2,19,5.88331462930237237e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLRRR,8,16,5,3,1,17,5.65947007504878030e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLLR,8,19,14,4,3,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRLRR,8,23,9,5,2,25,6.43454394231451587e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRLR,8,22,13,5,3,25,6.43454394231451587e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLRRRR,8,17,4,4,1,18,5.77454190071524120e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLLRR,8,26,11,7,3,29,6.73220928585021827e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRLR,8,29,18,8,5,34,7.05098869615634438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRLRRR,8,25,7,7,2,27,6.58892458548438320e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRLLR,8,24,17,7,5,29,6.73220928585021827e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRLRR,8,27,10,8,3,30,6.80016882822667945e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRLR,8,23,13,7,4,27,6.58892458548438320e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRRR,8,16,3,5,1,17,5.65947007504878030e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRLR,8,30,19,11,7,37,7.22037330158899504e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRRR,8,27,8,10,3,30,6.80016882822667945e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
