word,hecke_prime,a_p,scalar_law,scalar_lambda_p_exact,cycle_degree_profile,degree_one_owner_present,degree_support_forces_degree_one_failure,scalar_sign_forces_degree_one_failure,studied_functional,studied_k_exact_pass,studied_k_failure_mechanism,control_1_functional,control_1_source_coordinate,control_1_moments_by_degree_exact,control_1_signed_residuals_by_degree_exact,control_1_exact_pass,control_1_failure_mechanism,control_2_functional,control_2_source_coordinate,control_2_moments_by_degree_exact,control_2_signed_residuals_by_degree_exact,control_2_exact_pass,control_2_failure_mechanism,matched_control_overlap_class,newform_specific_residue_supported_in_two_control_panel,target_data_used,formal_a2_evaluation_run,route_b_invocation_allowed,formal_route_a_tuple
LLLRLLRLR,2,-2,a_p,-2,1|2,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:4|2:0,1:6|2:0,false,DEGREE_ONE_ONLY,1*y-2*z,2,1:9/4|2:1/4,1:17/4|2:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,2,-2,a_p_squared,4,1|2,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:4|2:0,1:0|2:0,true,PASS,1*y-2*z,2,1:9/4|2:1/4,1:-7/4|2:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_ONE_MATCHED_CONTROL,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,2,-2,a_p_squared_minus_p,2,1|2,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:4|2:0,1:2|2:0,false,DEGREE_ONE_ONLY,1*y-2*z,2,1:9/4|2:1/4,1:1/4|2:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,3,-1,a_p,-1,2|2,false,true,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:0|2:1,1:1|2:1,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:0|2:1/2,1:1|2:1/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,3,-1,a_p_squared,1,2|2,false,true,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:0|2:1,1:-1|2:1,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:0|2:1/2,1:-1|2:1/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,3,-1,a_p_squared_minus_p,-2,2|2,false,true,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:0|2:1,1:2|2:1,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:0|2:1/2,1:2|2:1/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,5,1,a_p,1,5|1,true,false,false,2*y+1*z,true,PASS,1*y-1*z,1,1:4|5:9,1:3|5:9,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:9/4|5:25/4,1:5/4|5:25/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_PASS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,5,1,a_p_squared,1,5|1,true,false,false,2*y+1*z,true,PASS,1*y-1*z,1,1:4|5:9,1:3|5:9,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:9/4|5:25/4,1:5/4|5:25/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_PASS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,5,1,a_p_squared_minus_p,-4,5|1,true,false,true,2*y+1*z,false,DEGREE_ONE_ONLY,1*y-1*z,1,1:4|5:9,1:8|5:9,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:9/4|5:25/4,1:25/4|5:25/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,7,-2,a_p,-2,3|3|1|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:2|3:10,1:4|3:10,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:13/4|3:17/4,1:21/4|3:17/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
