element_id,positive_word,level_n,modulus_q,base_geodesic_length,finite_quotient_order,previous_finite_quotient_order,previous_order_divides,order_non_decreasing,strict_growth_at_transition,closed_lift_period_from_frozen_base,period_to_base_ratio,normal_tower_conjugacy_independent,finite_prefix_escape_observed,asymptotic_escape_evidence,finite_statistic_owner,inverse_limit_periodic_orbit_credit,formal_route_a_tuple,route_b_invocation_allowed
G3-A,LLLRRR,1,3,4.77905286914844,1,,true,true,false,4.77905286914844,1,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,2,6,4.77905286914844,3,1,true,true,true,14.33715860744532,3,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,3,18,4.77905286914844,3,3,true,true,false,14.33715860744532,3,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,4,72,4.77905286914844,6,3,true,true,true,28.67431721489064,6,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,5,360,4.77905286914844,6,6,true,true,false,28.67431721489064,6,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,6,2160,4.77905286914844,36,6,true,true,true,172.04590328934384,36,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,7,15120,4.77905286914844,72,36,true,true,true,344.09180657868768,72,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-A,LLLRRR,8,120960,4.77905286914844,288,72,true,true,true,1376.36722631475072,288,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,1,3,7.27378583692827,1,,true,true,false,7.27378583692827,1,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,2,6,7.27378583692827,1,1,true,true,false,7.27378583692827,1,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,3,18,7.27378583692827,3,1,true,true,true,21.82135751078481,3,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,4,72,7.27378583692827,12,3,true,true,true,87.28543004313924,12,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,5,360,7.27378583692827,60,12,true,true,true,436.42715021569620,60,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,6,2160,7.27378583692827,360,60,true,true,true,2618.56290129417720,360,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,7,15120,7.27378583692827,360,360,true,true,false,2618.56290129417720,360,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-B,LLRLRRLR,8,120960,7.27378583692827,2880,360,true,true,true,20948.50321035341760,2880,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,1,3,5.98644569225276,1,,true,true,false,5.98644569225276,1,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,2,6,5.98644569225276,2,1,true,true,true,11.97289138450552,2,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,3,18,5.98644569225276,6,2,true,true,true,35.91867415351656,6,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,4,72,5.98644569225276,12,6,true,true,true,71.83734830703312,12,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,5,360,5.98644569225276,12,12,true,true,false,71.83734830703312,12,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,6,2160,5.98644569225276,72,12,true,true,true,431.02408984219872,72,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,7,15120,5.98644569225276,72,72,true,true,false,431.02408984219872,72,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
G3-C,LLLLLLRRR,8,120960,5.98644569225276,576,72,true,true,true,3448.19271873758976,576,true,true,PROVED_IN_GENERAL_THEOREM_NOT_FROM_FINITE_ROWS,FINITE_CONGRUENCE_TOWER_PLUS_FROZEN_ELEMENT,FORBIDDEN,UNASSIGNED,false
