tower_type,owner_id,owner_word,base_conjugacy_primitivity,factor_support_evidence,level_n,clock,base_length,quotient_order_symbol,order_evidence,exact_quotient_order,certified_order_lower_bound,first_possible_nonconstant_factor_degree,certified_zero_coefficient_prefix_through_degree,formal_factor,coefficient_prefix_statement,inverse_limit_periodic_orbit_credit,same_owner_a2_credit,formal_route_a_tuple,route_b_invocation_allowed
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,1,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_1(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,1,>=1,0,(1-x_G2-H1-A^o_n)^(-1);o_n>=1,E=1 mod x^1,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,2,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_2(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,2,>=2,1,(1-x_G2-H1-A^o_n)^(-1);o_n>=2,E=1 mod x^2,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,3,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_3(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,6,>=6,5,(1-x_G2-H1-A^o_n)^(-1);o_n>=6,E=1 mod x^6,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,4,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_4(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,24,>=24,23,(1-x_G2-H1-A^o_n)^(-1);o_n>=24,E=1 mod x^24,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,5,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_5(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,120,>=120,119,(1-x_G2-H1-A^o_n)^(-1);o_n>=120,E=1 mod x^120,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,6,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_6(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,720,>=720,719,(1-x_G2-H1-A^o_n)^(-1);o_n>=720,E=1 mod x^720,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,7,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_7(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,5040,>=5040,5039,(1-x_G2-H1-A^o_n)^(-1);o_n>=5040,E=1 mod x^5040,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,a1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,8,HYPERBOLIC_ARCLENGTH,ell(G2-H1-A),o_8(G2-H1-A),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,40320,>=40320,40319,(1-x_G2-H1-A^o_n)^(-1);o_n>=40320,E=1 mod x^40320,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,a1*b1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,1,HYPERBOLIC_ARCLENGTH,ell(G2-H1-AB),o_1(G2-H1-AB),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,1,>=1,0,(1-x_G2-H1-AB^o_n)^(-1);o_n>=1,E=1 mod x^1,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,a1*b1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,2,HYPERBOLIC_ARCLENGTH,ell(G2-H1-AB),o_2(G2-H1-AB),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,2,>=2,1,(1-x_G2-H1-AB^o_n)^(-1);o_n>=2,E=1 mod x^2,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,a1*b1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,3,HYPERBOLIC_ARCLENGTH,ell(G2-H1-AB),o_3(G2-H1-AB),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,6,>=6,5,(1-x_G2-H1-AB^o_n)^(-1);o_n>=6,E=1 mod x^6,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,a1*b1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,4,HYPERBOLIC_ARCLENGTH,ell(G2-H1-AB),o_4(G2-H1-AB),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,24,>=24,23,(1-x_G2-H1-AB^o_n)^(-1);o_n>=24,E=1 mod x^24,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,a1*b1,PROVED_BY_PRIMITIVE_HOMOLOGY,CERTIFIED_PRIMITIVE_OWNER_FACTOR_SUPPORT,5,HYPERBOLIC_ARCLENGTH,ell(G2-H1-AB),o_5(G2-H1-AB),CERTIFIED_HOMOLOGY_LOWER_BOUND_ONLY,NOT_ENUMERATED,120,>=120,119,(1-x_G2-H1-AB^o_n)^(-1);o_n>=120,E=1 mod x^120,FORBIDDEN,FORBIDDEN,"(A0_WEAK_ARITHMETIC_RELATION,A1_FAIL,A2_FAIL,A3_FAIL,A4_FAIL)",false
