owner_id,level_n,modulus_N,quadrant_id,degree,coefficient,support_divisibility_condition,exact_arithmetic
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,0,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,1,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,2,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,3,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,4,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,5,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,6,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,7,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,8,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,9,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,10,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,11,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q00_RAW_CLOCK_RAW_MULTIPLICITY,12,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,0,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,1,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,2,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,3,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,4,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,5,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,6,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,7,1,1_DIVIDES_DEGREE,true
G2-H1-A,1,1,Q01_RAW_CLOCK_GEOMETRIC_MEAN,8,1,1_DIVIDES_DEGREE,true
