metric_control_id,field_b,base_bundle,base_bundle_degree,tensor_power_N,operator_bundle_degree,semiclassical_parameter_h,rescaled_operator_owner,scaling_evidence_token,hilbert_owner,operator_owner,operator_domain,connection_owner,antiunitary_partner_field,classical_time_reversal_partner_field,holonomy_tensor_rule,operator_identity_at_N1,trace_regime,energy_window,magnetic_orbit_trace_ownership,fixed_operator_credit_transfer_allowed,owner_evidence_token,trace_binding_evidence_token
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,0,1,0,1/1,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,trivial)",Delta_trivial,H2_sections_of_named_bundle,trivial_connection,0,0,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,1,1,1,1/1,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,L^1)",Delta^(L^1),H2_sections_of_named_bundle,tensor_connection_on_L^N,-1/2,-1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),true,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,-1,1,-1,1/1,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,(L_dual)^1)",Delta^((L_dual)^1),H2_sections_of_named_bundle,tensor_connection_on_(L_dual)^N,+1/2,+1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,0,2,0,1/2,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,trivial)",Delta_trivial,H2_sections_of_named_bundle,trivial_connection,0,0,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,1,2,2,1/2,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,L^2)",Delta^(L^2),H2_sections_of_named_bundle,tensor_connection_on_L^N,-1/2,-1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,-1,2,-2,1/2,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,(L_dual)^2)",Delta^((L_dual)^2),H2_sections_of_named_bundle,tensor_connection_on_(L_dual)^N,+1/2,+1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,0,4,0,1/4,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,trivial)",Delta_trivial,H2_sections_of_named_bundle,trivial_connection,0,0,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,1,4,4,1/4,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,L^4)",Delta^(L^4),H2_sections_of_named_bundle,tensor_connection_on_L^N,-1/2,-1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,-1,4,-4,1/4,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,(L_dual)^4)",Delta^((L_dual)^4),H2_sections_of_named_bundle,tensor_connection_on_(L_dual)^N,+1/2,+1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,0,8,0,1/8,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,trivial)",Delta_trivial,H2_sections_of_named_bundle,trivial_connection,0,0,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,1,8,8,1/8,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,L^8)",Delta^(L^8),H2_sections_of_named_bundle,tensor_connection_on_L^N,-1/2,-1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,-1,8,-8,1/8,UNASSIGNED,MODELING_CHOICE,"L2(Sigma_B,(L_dual)^8)",Delta^((L_dual)^8),H2_sections_of_named_bundle,tensor_connection_on_(L_dual)^N,+1/2,+1/2,Hol_tensor(gamma^r)=Hol_base(gamma)^(N*r),false,UNASSIGNED,OPEN,NOT_ESTABLISHED,false,PROVED,OPEN
