metric_control_id,field_b,base_bundle,tensor_power_N,even_subsequence,source_tensor_m,source_compatible_square_root,semiclassical_parameter_h,unscaled_operator_P_N,scaled_operator_hP_N,trace_distribution,test_function_class,spectral_center_lambda,lambda_window,laplacian_center_nu,laplacian_window,classical_hamiltonian,classical_shell,physical_unit_speed,trace_clock_speed,clock_conversion,source_field_B,source_energy_E,source_energy_E0,mane_status,primitive_period_trace_clock,primitive_period_physical_clock,action_frequency_per_N,trace_owner_status,trace_binding_evidence_token,fixed_operator_credit_transfer_allowed,formal_route_a_tuple,route_b_invocation_allowed
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,2,true,1,not_applicable,1/2,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,not_applicable,sqrt(5),4,zero_field_control,OPEN,OPEN,OPEN,CONTROL_CONTRACT_FROZEN_OWNER_OPEN,OPEN,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,2,true,1,true,1/2,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,+1_after_L_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),-sqrt(3)/2*k*log_Norm(h),PROVED_SOURCE_COMPATIBLE_EVEN_SUBSEQUENCE,PROVED,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,2,true,1,true_via_duality,1/2,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,-1_after_(L_dual)_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),+sqrt(3)/2*k*log_Norm(h),PROVED_BY_ANTIUNITARY_DUALITY,PROVED,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,4,true,2,not_applicable,1/4,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,not_applicable,sqrt(5),4,zero_field_control,OPEN,OPEN,OPEN,CONTROL_CONTRACT_FROZEN_OWNER_OPEN,OPEN,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,4,true,2,true,1/4,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,+1_after_L_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),-sqrt(3)/2*k*log_Norm(h),PROVED_SOURCE_COMPATIBLE_EVEN_SUBSEQUENCE,PROVED,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,4,true,2,true_via_duality,1/4,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,-1_after_(L_dual)_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),+sqrt(3)/2*k*log_Norm(h),PROVED_BY_ANTIUNITARY_DUALITY,PROVED,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,8,true,4,not_applicable,1/8,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,not_applicable,sqrt(5),4,zero_field_control,OPEN,OPEN,OPEN,CONTROL_CONTRACT_FROZEN_OWNER_OPEN,OPEN,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,8,true,4,true,1/8,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,+1_after_L_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),-sqrt(3)/2*k*log_Norm(h),PROVED_SOURCE_COMPATIBLE_EVEN_SUBSEQUENCE,PROVED,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,-1/2,L_dual,8,true,4,true_via_duality,1/8,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,-1_after_(L_dual)_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),+sqrt(3)/2*k*log_Norm(h),PROVED_BY_ANTIUNITARY_DUALITY,PROVED,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,0,trivial,16,true,8,not_applicable,1/16,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,not_applicable,sqrt(5),4,zero_field_control,OPEN,OPEN,OPEN,CONTROL_CONTRACT_FROZEN_OWNER_OPEN,OPEN,false,UNASSIGNED,false
BOLZA_ARITHMETIC_CURVATURE_MINUS_1,+1/2,L,16,true,8,true,1/16,sqrt(Delta^(bundle^N)+N^2/4),N^(-1)*sqrt(Delta^(bundle^N)+N^2/4),Y_N(phi)=Tr phi(P_N-(sqrt(5)/2)*N),phi_in_S(R)_real_even;_Fourier_support_compact_and_disjoint_from_0,(sqrt(5)/2)*N,O(1)_in_lambda,N^2,O(N)_in_nu_exactly_sqrt(5)*N*s+s^2_for_lambda_shift_s,sqrt(|p|^2+1/4),|p|^2=1,1_for_H0=|p|^2/2,2/sqrt(5)_for_H=sqrt(|p|^2+1/4),T_trace=(sqrt(5)/2)*T_physical,+1_after_L_squared,sqrt(5),4,ABOVE_CRITICAL_1_GREATER_THAN_(1/2)^2,sqrt(5/3)*log_Norm(h),2/sqrt(3)*log_Norm(h),-sqrt(3)/2*k*log_Norm(h),PROVED_SOURCE_COMPATIBLE_EVEN_SUBSEQUENCE,PROVED,false,UNASSIGNED,false
