row_id,branch_schema,census_id,metric_control_id,group_source_lock,trace_source_lock,field_b,base_bundle,tensor_regime,primitive_axis_owner_id,canonical_primitive_word,inverse_pair_definition,branch_primitive_word,branch_group_element_word,gamma_primitivity_status,owner_credit_status,owner_counting_convention,source_k,absolute_repetition_index,source_k_class,signed_k_partner_row_id,field_sign_partner_row_id,primitive_geodesic_length_decimal,primitive_period_trace_clock_decimal,absolute_total_trace_clock_period_decimal,signed_trace_time_decimal,primitive_period_physical_clock_decimal,absolute_total_physical_period_decimal,project_action_per_N_decimal,poincare_multiplier_N_to_k_decimal,poincare_multiplier_N_to_minus_k_decimal,stability_determinant_sqrt_abs_decimal,signed_trace_stability_denominator_decimal,maslov_index,connection_holonomy_status,trace_owner_status,enumeration_completeness,full_gamma_conjugacy_completeness,arithmetic_label,target_data_used,zero_field_status,odd_N_status,full_all_N_status,fixed_operator_status,formal_route_a_tuple,route_b_invocation_allowed
B28R5-P-C0001-KP1,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0,(f0)^(1),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,1,1,SIGNED_K_PRIMITIVE_BRANCH,B28R5-P-C0001-KN1,B28R5-M-C0001-KN1,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,3.946753143097909507306132869665978198233662763942504324089568613334572,3.946753143097909507306132869665978198233662763942504324089568613334572,3.530083327351152232048778959838927103300403486744214578939022102808601,3.530083327351152232048778959838927103300403486744214578939022102808601,2.647562495513364174036584219879195327475302615058160934204266577106451,21.26668659948376928874259549005409362111459398285765461301504986066913,0.04702189950099110167091430362349100744278102015792997239838804325672867,4.394736453871239864159204780962713514177572483708630974977646315371500,4.394736453871239864159204780962713514177572483708630974977646315371500,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KP2,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0,(f0)^(2),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,2,2,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0001-KN2,B28R5-M-C0001-KN2,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,7.893506286195819014612265739331956396467325527885008648179137226669144,7.893506286195819014612265739331956396467325527885008648179137226669144,3.530083327351152232048778959838927103300403486744214578939022102808601,7.060166654702304464097557919677854206600806973488429157878044205617201,5.295124991026728348073168439758390654950605230116321868408533154212901,452.2719589206625265010538668623529779220406465641224154195055059189422,0.002211059032681307216329011198714649106853496189276288763252159574974218,21.21966469998277818707168118643060261367181296269972464061666181741240,21.21966469998277818707168118643060261367181296269972464061666181741240,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KP3,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0,(f0)^(3),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,3,3,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0001-KN3,B28R5-M-C0001-KN3,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,11.84025942929372852191839860899793459470098829182751297226870584000372,11.84025942929372852191839860899793459470098829182751297226870584000372,3.530083327351152232048778959838927103300403486744214578939022102808601,10.59024998205345669614633687951678130990121046023264373681706630842580,7.942687486540092522109752659637585982425907845174482802612799731319352,9618.326008100327540426713905684842501582349593816589398356103026712985,0.0001039681956254990277566281309655545347824650340504446080824555052986977,98.06286816154483234076433908861055099721996930192479148739958621576411,98.06286816154483234076433908861055099721996930192479148739958621576411,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KP4,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0,(f0)^(4),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,4,4,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0001-KN4,B28R5-M-C0001-KN4,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,15.78701257239163802922453147866391279293465105577001729635827445333829,15.78701257239163802922453147866391279293465105577001729635827445333829,3.530083327351152232048778959838927103300403486744214578939022102808601,14.12033330940460892819511583935570841320161394697685831575608841123440,10.59024998205345669614633687951678130990121046023264373681706630842580,204549.9248259334518833365305619191093300423405666561238602895046853656,0.000004888782046001597972926255712116329460604760791847973966124189877081830,452.2697478616298451938375378511542632729337930679331391307422537593672,452.2697478616298451938375378511542632729337930679331391307422537593672,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KN1,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0^-1,(f0)^(-1),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,-1,1,SIGNED_K_PRIMITIVE_BRANCH,B28R5-P-C0001-KP1,B28R5-M-C0001-KP1,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,3.946753143097909507306132869665978198233662763942504324089568613334572,-3.946753143097909507306132869665978198233662763942504324089568613334572,3.530083327351152232048778959838927103300403486744214578939022102808601,3.530083327351152232048778959838927103300403486744214578939022102808601,-2.647562495513364174036584219879195327475302615058160934204266577106451,0.04702189950099110167091430362349100744278102015792997239838804325672867,21.26668659948376928874259549005409362111459398285765461301504986066913,4.394736453871239864159204780962713514177572483708630974977646315371500,-4.394736453871239864159204780962713514177572483708630974977646315371500,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KN2,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0^-1,(f0)^(-2),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,-2,2,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0001-KP2,B28R5-M-C0001-KP2,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,7.893506286195819014612265739331956396467325527885008648179137226669144,-7.893506286195819014612265739331956396467325527885008648179137226669144,3.530083327351152232048778959838927103300403486744214578939022102808601,7.060166654702304464097557919677854206600806973488429157878044205617201,-5.295124991026728348073168439758390654950605230116321868408533154212901,0.002211059032681307216329011198714649106853496189276288763252159574974218,452.2719589206625265010538668623529779220406465641224154195055059189422,21.21966469998277818707168118643060261367181296269972464061666181741240,-21.21966469998277818707168118643060261367181296269972464061666181741240,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KN3,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0^-1,(f0)^(-3),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,-3,3,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0001-KP3,B28R5-M-C0001-KP3,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,11.84025942929372852191839860899793459470098829182751297226870584000372,-11.84025942929372852191839860899793459470098829182751297226870584000372,3.530083327351152232048778959838927103300403486744214578939022102808601,10.59024998205345669614633687951678130990121046023264373681706630842580,-7.942687486540092522109752659637585982425907845174482802612799731319352,0.0001039681956254990277566281309655545347824650340504446080824555052986977,9618.326008100327540426713905684842501582349593816589398356103026712985,98.06286816154483234076433908861055099721996930192479148739958621576411,-98.06286816154483234076433908861055099721996930192479148739958621576411,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0001-KN4,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0001,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_0,f0,{f0;f0^-1},f0^-1,(f0)^(-4),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,-4,4,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0001-KP4,B28R5-M-C0001-KP4,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,15.78701257239163802922453147866391279293465105577001729635827445333829,-15.78701257239163802922453147866391279293465105577001729635827445333829,3.530083327351152232048778959838927103300403486744214578939022102808601,14.12033330940460892819511583935570841320161394697685831575608841123440,-10.59024998205345669614633687951678130990121046023264373681706630842580,0.000004888782046001597972926255712116329460604760791847973966124189877081830,204549.9248259334518833365305619191093300423405666561238602895046853656,452.2697478616298451938375378511542632729337930679331391307422537593672,-452.2697478616298451938375378511542632729337930679331391307422537593672,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0002-KP1,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0002,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_1,f1,{f1;f1^-1},f1,(f1)^(1),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,1,1,SIGNED_K_PRIMITIVE_BRANCH,B28R5-P-C0002-KN1,B28R5-M-C0002-KN1,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,3.946753143097909507306132869665978198233662763942504324089568613334572,3.946753143097909507306132869665978198233662763942504324089568613334572,3.530083327351152232048778959838927103300403486744214578939022102808601,3.530083327351152232048778959838927103300403486744214578939022102808601,2.647562495513364174036584219879195327475302615058160934204266577106451,21.26668659948376928874259549005409362111459398285765461301504986066913,0.04702189950099110167091430362349100744278102015792997239838804325672867,4.394736453871239864159204780962713514177572483708630974977646315371500,4.394736453871239864159204780962713514177572483708630974977646315371500,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
B28R5-P-C0002-KP2,p28_round5_proved_owner_signed_k_ledger/1.0,B28R5-C0002,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,Kordyukov-Taimanov_arXiv:2202.06055v3_Theorem_3_equations_19_and_22-23,+1/2,L,SOURCE_COMPATIBLE_EVEN_N_EQUALS_2m,BOLZA_AXIS_INVERSE_PAIR_1,f1,{f1;f1^-1},f1,(f1)^(2),PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,MINTED_ONCE_PER_INVERSE_PAIRED_AXIS_PER_FIELD,INVERSE_PAIRED_AXIS_OWNER;EQ19_SIGNED_K_BRANCHES;NO_ORIENTATION_OWNER_CREDIT,2,2,SIGNED_K_REPETITION_BRANCH,B28R5-P-C0002-KN2,B28R5-M-C0002-KN2,3.057141838961996322544912369587346786577366592471708249545997925604912,3.946753143097909507306132869665978198233662763942504324089568613334572,7.893506286195819014612265739331956396467325527885008648179137226669144,7.893506286195819014612265739331956396467325527885008648179137226669144,3.530083327351152232048778959838927103300403486744214578939022102808601,7.060166654702304464097557919677854206600806973488429157878044205617201,5.295124991026728348073168439758390654950605230116321868408533154212901,452.2719589206625265010538668623529779220406465641224154195055059189422,0.002211059032681307216329011198714649106853496189276288763252159574974218,21.21966469998277818707168118643060261367181296269972464061666181741240,21.21966469998277818707168118643060261367181296269972464061666181741240,0,NOT_SEPARATELY_LIFTED;EVEN_N_TOTAL_ACTION_SOURCE_BOUND,PROVED_SOURCE_COMPATIBLE_INVERSE_PAIRED_AXIS_SIGNED_K_EVEN_SUBTYPE,ALL_EXACTLY_PRIMITIVITY_CERTIFIED_OWNERS_INSIDE_MARKED_LENGTH_LE_4_CENSUS,NOT_ESTABLISHED,NONE,false,OPEN_NOT_IN_LEDGER,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED,OPEN_NOT_ESTABLISHED_NO_CREDIT_TRANSFER,UNASSIGNED,false
