source_id	inventory_data_row	inventory_file_line	inventory_row_sha256	inventory_title	inventory_stable_url	matrix_data_row	matrix_file_line	matrix_row_sha256	matrix_theme	matrix_support_class	matrix_claim_fitness_grade	status
P29-S01	1	2	2e4afa1d2c288d5cf7e4b2ec7326fe1c8839225ee419cd00932e5a86515d05bf	Prime geodesic theorem for the Picard manifold	https://doi.org/10.1016/j.aim.2020.107377	1	2	a3c19bff1e0da4cdf3827878721793b9c157715864bb8328d49e47388c6bae67	Picard object and primitive geodesics	DIRECT_PREREQUISITE	A	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S02	2	3	702617a6cd415407a433ae0d8a39f60fa97db2dc41344c70f203bf98ed3e429b	The prime geodesic theorem for PSL_2(Z[i]) and spectral exponential sums	https://doi.org/10.2140/ant.2022.16.1845	2	3	ea9d8f4701203e3972dd07896a7dd95d36ee24840222b4d0dc71810e9c25c42f	Picard object and Gaussian arithmetic	DIRECT_PREREQUISITE	A	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S03	3	4	89f13e87a43e4188d976d3ad0eeed60464718daf25f3190f65ef9e42f8265691	Bykovskii-type theorem for the Picard manifold	https://doi.org/10.1093/imrn/rnaa128	3	4	ff4a8c56277017508f414a03f375463134d35b03565db202df866901ab9523d1	Gaussian arithmetic in Picard geodesics	BACKGROUND_ONLY	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S04	4	5	560b56d1efd6c9ca634fac7b8972406bca214b8045b148d91031a59413eb4ae8	Prime geodesic theorem for the Picard manifold under the mean-Lindelöf hypothesis	https://doi.org/10.1515/form.2001.034	4	5	de8034b1b57c1b2e0c4f7554d796e6a1ccadc5d806c25bebbcef09e06e223738	Historical Picard geodesic context	BACKGROUND_ONLY	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S05	5	6	e7868ec2049311b598616d5e3d90c37736a22f32c92b64dfca24491f2b2bbd4b	Prime geodesic theorem via the explicit formula of Psi for hyperbolic 3-manifolds	https://doi.org/10.3792/pjaa.77.130	5	6	a6939a0e532399b359c50f19459eb73d90a1d4be13b60761dc63332b57fe2c04	Bianchi hyperbolic-three geodesics	BACKGROUND_ONLY	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S06	6	7	b5374540f9a6dd33c0ac72940fee0ea0565dd0d679519fce292bdda62d7c3e41	On the prime geodesic theorem for hyperbolic 3-manifolds	https://doi.org/10.1002/mana.201700190	6	7	dd1c0b3d8d65f4f0e870bd5c181561f6f3f47857dce4e782f2efd47d8555df7f	Corrected hyperbolic-three geodesic context	BACKGROUND_ONLY	C	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S07	7	8	34716d29f5ee5ba4687a713fb911976e9c117cd196da6ad4e8ff4586c8537e1d	Errata and addendum to On the prime geodesic theorem for hyperbolic 3-manifolds	https://doi.org/10.1002/mana.201800467	7	8	60d88642f6d5ec158bf8e18936675a9f01c3e39ac6a302120f61b310f58a2c62	Correction companion	BACKGROUND_ONLY	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S08	8	9	b32b0ebb9da91ce749dd305b0ace0e220b9e2d7fab4f9adc0bd3116ca4b5dab6	Ambient prime geodesic theorems on hyperbolic 3-manifolds	https://doi.org/10.1093/imrn/rnab048	8	9	6b71113749dbe5b3e869838040ce3c1328bbbd5655113b15003d9712015feb4b	Primitive conjugacy and inversion	DIRECT_PREREQUISITE	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S09	9	10	84431a7ab22d9c337332a9ff3ce5f6ce1f3812a9abbcd10d1366e5a292e099f6	On the symmetric square large sieve for PSL_2(Z[i]) ∖ PSL_2(C) and prime geodesic theorem for PSL_2(Z[i]) ∖ H^3	https://arxiv.org/abs/2407.17959	9	10	4e48ed528128e8d92fcf45bdbec737a8e7552cf6e9e514371c4a02f43be42a4f	Current Picard preprint context	BACKGROUND_ONLY	C	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S10	10	11	4ffaff2b9450a6a6a38c985386f06107bce20f1ec17047622c0d6c46e79d6c84	Computing arithmetic Kleinian groups	https://doi.org/10.1090/S0025-5718-2015-02939-1	10	11	b5f1d21800ce937e5ae614e6a2e2e7ab43046ad2ccb705ca8c6c10d897ca3e27	Arithmetic Kleinian computation	ADJACENT_METHOD	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S11	11	12	21d86057a8ab4cfc222fb6309d5010ae7fb6ce0bb88d649bb0c8dc6c364d7eab	Some general algorithms. I: Arithmetic groups	https://doi.org/10.2307/1971091	11	12	c478f69843270a0d446c391e782ec597c16529404082aabcc2880ab6adca5259	Arithmetic-group decision procedures	ADJACENT_METHOD	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S12	12	13	3ff987e6255e234dce38db10670fe5d4aff92d16265941fa6ab4fc69daa67139	Conjugacy problem in groups of oriented geometrizable 3-manifolds	https://doi.org/10.1016/j.top.2005.06.002	12	13	65e1f0a1b75b6f481f39048a2f8bb2d4b11a253ac419ab754c3db5a2b08e0c35	Three-manifold conjugacy algorithm	ADJACENT_METHOD	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S13	13	14	a5cde339261b24bbbf4aa786e1580ddc4f2eae105aab0419317ec5e98380f1b4	The linearity of the conjugacy problem in word-hyperbolic groups	https://doi.org/10.1142/S0218196706002986	13	14	bef7a1634c12d84e2c1e33150542b5a6325208df4581d95623f5e2a6c80cdbc8	Word-hyperbolic conjugacy complexity	ADJACENT_METHOD	C	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S14	14	15	e2bbb46e212b792ed6235d021851541d2ee13ad43ca8d1691fd8a2037bf9e414	The conjugacy problem in GL(n,Z)	https://doi.org/10.1112/jlms.12246	14	15	fdb2ce576cf2aa96bfde106c8fc4e0cab5cc349b4085a2e74366a61a159a5dc9	Integral-matrix conjugacy	ADJACENT_METHOD	C	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S15	15	16	2db5327a679f5b67f27fa00bbeed192e13c78e0647942a8632a3ffd96cc7cc06	Solution of the conjugacy problem in certain arithmetic groups	https://doi.org/10.1016/S0049-237X(08)71335-1	15	16	8de82fdfec9ca46dcbb382b5e21a11f1c978804866405dd2b1f05af6d63666c1	Arithmetic-group conjugacy methodology	ADJACENT_METHOD	C	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S16	16	17	b17635b7d26a33a25f9c5b8095e8e5c37fd2b879a520be04a35d20349fd6f0a0	Generators and relations for certain special linear groups	https://doi.org/10.1016/0001-8708(71)90027-2	16	17	2f5c465e2157fe4a2f8986437b8087c30727bee2d56519bcb26c9977fd30ca37	Bianchi-group presentation interface	DIRECT_PREREQUISITE	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S17	17	18	a38289166d797fc8fe362217b5487729e626acf4a3c691c6cb9bd5bc28cf34d1	The arithmetic of hyperbolic 3-manifolds	https://doi.org/10.1007/978-1-4757-6720-9	17	18	5d609c67c33f08ec5a601412c7891dfe24912f2a65836a32a283f6477d0e9310	Arithmetic Kleinian background	BACKGROUND_ONLY	A	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S18	18	19	801dbe4737f38cb270c87ebdad887ddfbbcf7efd905ab629f0cc144e15954ac7	Groups acting on hyperbolic space: Harmonic analysis and number theory	https://doi.org/10.1007/978-3-662-03626-6	18	19	e18814c739e70eecf3a8c0e78ac42ff2973f037aed1e32c0e1fb351255436067	Bianchi and imaginary-quadratic background	BACKGROUND_ONLY	A	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S19	19	20	bbadc973b9d6a92ef254fed79cef789db94394b662ab82e60ed50a7ace8dbdd6	A course in computational algebraic number theory	https://doi.org/10.1007/978-3-662-02945-9	19	20	83bdb68e073a64ca87d5348c819d3e5ec565a7242020835ace68e9cdfad5df05	Gaussian ideal algorithms	DIRECT_PREREQUISITE	A	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S20	20	21	2f2a0189690a7a44d60c804bb411771bcef01d00810b541dcdfb02049610ed65	Algorithms in algebraic number theory	https://doi.org/10.1090/S0273-0979-1992-00284-7	20	21	3ddf4cc462553e7fa1ec97158e465c5d1a0bb50fdf090efab79290d90f4559da	Algebraic-number-theory certificate context	ADJACENT_METHOD	B	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
P29-S21	21	22	84bee31999ce6d623e9ff2e88ad08b8d68dc9d3acf737bea5e8fe1ecbfae1587	Topics in computational algebraic number theory	https://doi.org/10.5802/jtnb.433	21	22	e435292eea635da833d82889d2562a57fe736ebdfbeec87a122f53b4f865c9a9	Practical ideal arithmetic	DIRECT_PREREQUISITE	A	MATCHED_BY_EXACT_SOURCE_ID_AND_ORDINAL
