source_id	authors	year	title	venue	doi	stable_url	document_type	peer_reviewed	theme	metadata_basis	full_text_status
P31-S01	Millington, M. H.	1969	Subgroups of the Classical Modular Group	Journal of the London Mathematical Society s2-1(1):351-357	10.1112/jlms/s2-1.1.351	https://doi.org/10.1112/jlms/s2-1.1.351	journal_article	yes	modular_subgroup_classification	Crossref DOI record; LMS/Oxford journal metadata	metadata_and_abstract_only
P31-S02	Kulkarni, Ravi S.	1991	An Arithmetic-Geometric Method in the Study of the Subgroups of the Modular Group	American Journal of Mathematics 113(6):1053-1133	10.2307/2374900	https://doi.org/10.2307/2374900	journal_article	yes	modular_subgroup_special_polygons	Crossref DOI record; journal/JSTOR metadata	metadata_and_abstract_only
P31-S03	Chan, Shih-Ping; Lang, Mong-Lung; Lim, Chong-Hai; Tan, Ser-Peow	1993	Special Polygons for Subgroups of the Modular Group and Applications	International Journal of Mathematics 4(1):11-34	10.1142/S0129167X93000030	https://doi.org/10.1142/S0129167X93000030	journal_article	yes	modular_subgroup_special_polygons	Crossref DOI record; World Scientific metadata	metadata_and_abstract_only
P31-S04	Lang, Mong-Lung; Lim, Chong-Hai; Tan, Ser-Peow	1995	An Algorithm for Determining if a Subgroup of the Modular Group is Congruence	Journal of the London Mathematical Society 51(3):491-502	10.1112/jlms/51.3.491	https://doi.org/10.1112/jlms/51.3.491	journal_article	yes	congruence_subgroup_algorithm	Crossref DOI record; LMS/Oxford journal metadata	metadata_and_abstract_only
P31-S05	Hsu, Tim	1996	Identifying Congruence Subgroups of the Modular Group	Proceedings of the American Mathematical Society 124(5):1351-1359	10.1090/S0002-9939-96-03496-X	https://doi.org/10.1090/S0002-9939-96-03496-X	journal_article	yes	congruence_subgroup_algorithm	AMS DOI record and journal metadata	publisher_full_text_available_not_verified
P31-S06	Voight, John	2009	Computing Fundamental Domains for Fuchsian Groups	Journal de Théorie des Nombres de Bordeaux 21(2):467-489	10.5802/jtnb.683	https://doi.org/10.5802/jtnb.683	journal_article	yes	fuchsian_fundamental_domain	Centre Mersenne DOI record and journal metadata	publisher_full_text_available_not_verified
P31-S07	Latimer, C. G.; MacDuffee, C. C.	1933	A Correspondence Between Classes of Ideals and Classes of Matrices	Annals of Mathematics 34(2):313-316	10.2307/1968204	https://doi.org/10.2307/1968204	journal_article	yes	integral_matrix_conjugacy	Crossref DOI record; Annals/JSTOR metadata	metadata_only
P31-S08	Taussky, Olga	1949	On a Theorem of Latimer and MacDuffee	Canadian Journal of Mathematics 1(3):300-302	10.4153/CJM-1949-026-1	https://doi.org/10.4153/CJM-1949-026-1	journal_article	yes	integral_matrix_conjugacy	Cambridge DOI record and journal metadata	publisher_full_text_available_not_verified
P31-S09	Wallace, D. I.	1984	Conjugacy Classes of Hyperbolic Matrices in SL(n,Z) and Ideal Classes in an Order	Transactions of the American Mathematical Society 283(1):177-184	10.1090/S0002-9947-1984-0735415-0	https://doi.org/10.1090/S0002-9947-1984-0735415-0	journal_article	yes	integral_hyperbolic_conjugacy	AMS DOI record and journal metadata	publisher_full_text_available_not_verified
P31-S10	Appelgate, Harry; Onishi, Hironori	1981	Continued Fractions and the Conjugacy Problem in SL_2(Z)	Communications in Algebra 9(11):1121-1130	10.1080/00927878108822637	https://doi.org/10.1080/00927878108822637	journal_article	yes	continued_fraction_conjugacy	Crossref DOI record; Taylor and Francis metadata	metadata_and_abstract_only
P31-S11	Grunewald, Fritz J.	1980	Solution of the Conjugacy Problem in Certain Arithmetic Groups	Word Problems II; Studies in Logic and the Foundations of Mathematics 95:101-139	10.1016/S0049-237X(08)71335-1	https://doi.org/10.1016/S0049-237X(08)71335-1	book_chapter	no	arithmetic_group_conjugacy	Crossref DOI record; Elsevier chapter metadata	metadata_and_abstract_only
P31-S12	Grunewald, Fritz; Segal, Daniel	1980	Some General Algorithms. I: Arithmetic Groups	Annals of Mathematics 112(3):531-583	10.2307/1971091	https://doi.org/10.2307/1971091	journal_article	yes	arithmetic_group_algorithms	Crossref DOI record; Annals/JSTOR metadata	metadata_and_abstract_only
P31-S13	Eick, Bettina; Hofmann, Tommy; O'Brien, E. A.	2019	The Conjugacy Problem in GL(n,Z)	Journal of the London Mathematical Society 100(3):731-756	10.1112/jlms.12246	https://doi.org/10.1112/jlms.12246	journal_article	yes	integral_matrix_conjugacy	Crossref DOI record; LMS/Wiley journal metadata	metadata_and_abstract_only
P31-S14	Sarnak, Peter	1982	Class Numbers of Indefinite Binary Quadratic Forms	Journal of Number Theory 15(2):229-247	10.1016/0022-314X(82)90028-2	https://doi.org/10.1016/0022-314X(82)90028-2	journal_article	yes	quadratic_forms_class_numbers	Crossref DOI record; Elsevier metadata	metadata_and_abstract_only
P31-S15	Series, Caroline	1985	The Modular Surface and Continued Fractions	Journal of the London Mathematical Society s2-31(1):69-80	10.1112/jlms/s2-31.1.69	https://doi.org/10.1112/jlms/s2-31.1.69	journal_article	yes	modular_geodesic_reduction	Crossref DOI record; LMS/Oxford journal metadata	metadata_and_abstract_only
P31-S16	Epstein, David B. A.; Holt, Derek F.	2006	The Linearity of the Conjugacy Problem in Word-Hyperbolic Groups	International Journal of Algebra and Computation 16(2):287-305	10.1142/S0218196706002986	https://doi.org/10.1142/S0218196706002986	journal_article	yes	hyperbolic_group_conjugacy	World Scientific DOI page and journal abstract	metadata_and_abstract_only
P31-S17	Buckley, David J.; Holt, Derek F.	2013	The Conjugacy Problem in Hyperbolic Groups for Finite Lists of Group Elements	International Journal of Algebra and Computation 23(5):1127-1150	10.1142/S0218196713500203	https://doi.org/10.1142/S0218196713500203	journal_article	yes	hyperbolic_group_list_conjugacy	Crossref DOI record; World Scientific metadata	metadata_and_abstract_only
P31-S18	Baake, Michael; Roberts, John A. G.	2001	Symmetries and Reversing Symmetries of Toral Automorphisms	Nonlinearity 14(4):R1-R24	10.1088/0951-7715/14/4/201	https://doi.org/10.1088/0951-7715/14/4/201	journal_article	yes	inversion_reversibility_centralizers	Crossref DOI record; IOP journal metadata	metadata_and_abstract_only
P31-S19	Lenstra, H. W., Jr.	2002	Solving the Pell Equation	Notices of the American Mathematical Society 49(2):182-192		https://www.ams.org/notices/200202/fea-lenstra.pdf	institutional_expository_article	no	pell_equation_and_units	AMS institutional issue and PDF	publisher_full_text_available_not_verified
P31-S20	Cohen, Henri	1993	A Course in Computational Algebraic Number Theory	Springer Graduate Texts in Mathematics 138	10.1007/978-3-662-02945-9	https://doi.org/10.1007/978-3-662-02945-9	scholarly_book	no	computational_algebraic_number_theory	Springer DOI and book metadata	publisher_preview_only
P31-S21	Golovchanskii, V. V.; Smotrov, M. N.	2008	An Explicit Formula for the Number of Classes of Primitive Hyperbolic Elements in the Group Gamma_0(N)	Sbornik: Mathematics 199(7):1009-1031	10.1070/SM2008v199n07ABEH003951	https://www.mathnet.ru/eng/sm3853	journal_article	yes	gamma0n_primitive_class_counting	MathNet authoritative journal record; DOI metadata	publisher_full_text_available_not_verified
P31-S22	Traina, Charles	1985	The Conjugacy Problem of the Modular Group and the Class Number of Real Quadratic Number Fields	Journal of Number Theory 21(2):176-184	10.1016/0022-314X(85)90049-6	https://doi.org/10.1016/0022-314X(85)90049-6	journal_article	yes	modular_conjugacy_class_numbers	Crossref DOI record; Elsevier journal metadata	metadata_and_abstract_only
