power,primitive_degree,repetition,primitive_orbit_count,log_zeta_contribution,single_orbit_length_log2_units,minus_log_derivative_contribution_log2_units
1,1,1,3,3,1,3
2,1,2,3,3/2,1,3
3,1,3,3,1,1,3
4,1,4,3,3/4,1,3
5,1,5,3,3/5,1,3
6,1,6,3,1/2,1,3
7,1,7,3,3/7,1,3
8,1,8,3,3/8,1,3
9,1,9,3,1/3,1,3
10,1,10,3,3/10,1,3
11,1,11,3,3/11,1,3
12,1,12,3,1/4,1,3
2,2,1,1,1,2,2
4,2,2,1,1/2,2,2
6,2,3,1,1/3,2,2
8,2,4,1,1/4,2,2
10,2,5,1,1/5,2,2
12,2,6,1,1/6,2,2
3,3,1,2,2,3,6
6,3,2,2,1,3,6
9,3,3,2,2/3,3,6
12,3,4,2,1/2,3,6
4,4,1,3,3,4,12
8,4,2,3,3/2,4,12
12,4,3,3,1,4,12
5,5,1,6,6,5,30
10,5,2,6,3,5,30
6,6,1,9,9,6,54
12,6,2,9,9/2,6,54
7,7,1,18,18,7,126
8,8,1,30,30,8,240
9,9,1,56,56,9,504
10,10,1,99,99,10,990
11,11,1,186,186,11,2046
12,12,1,335,335,12,4020
