power,orbit_product_coefficient,rational_function_coefficient,coefficient_match,log_derivative_log2_units,fixed_point_count,log_derivative_match
0,1,1,True,0,0,True
1,3,3,True,3,3,True
2,7,7,True,5,5,True
3,15,15,True,9,9,True
4,31,31,True,17,17,True
5,63,63,True,33,33,True
6,127,127,True,65,65,True
7,255,255,True,129,129,True
8,511,511,True,257,257,True
9,1023,1023,True,513,513,True
10,2047,2047,True,1025,1025,True
11,4095,4095,True,2049,2049,True
12,8191,8191,True,4097,4097,True
