degree,affine_irreducible_count,projective_closed_point_count,positive,positivity_lower_bound_numerator,recovered_fixed_points,expected_fixed_points,fixed_point_match
1,2,3,True,,3,3,True
2,1,1,True,2,5,5,True
3,2,2,True,6,9,9,True
4,3,3,True,10,17,17,True
5,6,6,True,26,33,33,True
6,9,9,True,50,65,65,True
7,18,18,True,114,129,129,True
8,30,30,True,226,257,257,True
9,56,56,True,482,513,513,True
10,99,99,True,962,1025,1025,True
11,186,186,True,1986,2049,2049,True
12,335,335,True,3970,4097,4097,True
13,630,630,True,8066,8193,8193,True
14,1161,1161,True,16130,16385,16385,True
15,2182,2182,True,32514,32769,32769,True
16,4080,4080,True,65026,65537,65537,True
17,7710,7710,True,130562,131073,131073,True
18,14532,14532,True,261122,262145,262145,True
19,27594,27594,True,523266,524289,524289,True
20,52377,52377,True,1046530,1048577,1048577,True
21,99858,99858,True,2095106,2097153,2097153,True
22,190557,190557,True,4190210,4194305,4194305,True
23,364722,364722,True,8384514,8388609,8388609,True
24,698870,698870,True,16769026,16777217,16777217,True
