power,trace_h0,trace_h1,trace_h2,graded_trace,point_count,log_zeta_coefficient,trace_equals_point_count
1,1,0,2,3,3,3,true
2,1,0,4,5,5,5/2,true
3,1,0,8,9,9,3,true
4,1,0,16,17,17,17/4,true
5,1,0,32,33,33,33/5,true
6,1,0,64,65,65,65/6,true
7,1,0,128,129,129,129/7,true
8,1,0,256,257,257,257/8,true
9,1,0,512,513,513,57,true
10,1,0,1024,1025,1025,205/2,true
11,1,0,2048,2049,2049,2049/11,true
12,1,0,4096,4097,4097,4097/12,true
13,1,0,8192,8193,8193,8193/13,true
14,1,0,16384,16385,16385,16385/14,true
15,1,0,32768,32769,32769,10923/5,true
16,1,0,65536,65537,65537,65537/16,true
17,1,0,131072,131073,131073,131073/17,true
18,1,0,262144,262145,262145,262145/18,true
19,1,0,524288,524289,524289,524289/19,true
20,1,0,1048576,1048577,1048577,1048577/20,true
21,1,0,2097152,2097153,2097153,699051/7,true
22,1,0,4194304,4194305,4194305,4194305/22,true
23,1,0,8388608,8388609,8388609,8388609/23,true
24,1,0,16777216,16777217,16777217,16777217/24,true
