degree,affine_irreducibles,projective_closed_points,closed_point_count_positive,fixed_points_from_cycles,p1_f2n_point_count,cohomological_supertrace,all_three_match
1,2,3,true,3,3,3,true
2,1,1,true,5,5,5,true
3,2,2,true,9,9,9,true
4,3,3,true,17,17,17,true
5,6,6,true,33,33,33,true
6,9,9,true,65,65,65,true
7,18,18,true,129,129,129,true
8,30,30,true,257,257,257,true
9,56,56,true,513,513,513,true
10,99,99,true,1025,1025,1025,true
11,186,186,true,2049,2049,2049,true
12,335,335,true,4097,4097,4097,true
13,630,630,true,8193,8193,8193,true
14,1161,1161,true,16385,16385,16385,true
15,2182,2182,true,32769,32769,32769,true
16,4080,4080,true,65537,65537,65537,true
17,7710,7710,true,131073,131073,131073,true
18,14532,14532,true,262145,262145,262145,true
19,27594,27594,true,524289,524289,524289,true
20,52377,52377,true,1048577,1048577,1048577,true
21,99858,99858,true,2097153,2097153,2097153,true
22,190557,190557,true,4194305,4194305,4194305,true
23,364722,364722,true,8388609,8388609,8388609,true
24,698870,698870,true,16777217,16777217,16777217,true
