frobenius_eigenvalue,s_real_part,imaginary_lattice_index,imaginary_unit,divisor_type
1,0,-4,2*pi/log(2),pole
1,0,-3,2*pi/log(2),pole
1,0,-2,2*pi/log(2),pole
1,0,-1,2*pi/log(2),pole
1,0,0,2*pi/log(2),pole
1,0,1,2*pi/log(2),pole
1,0,2,2*pi/log(2),pole
1,0,3,2*pi/log(2),pole
1,0,4,2*pi/log(2),pole
2,1,-4,2*pi/log(2),pole
2,1,-3,2*pi/log(2),pole
2,1,-2,2*pi/log(2),pole
2,1,-1,2*pi/log(2),pole
2,1,0,2*pi/log(2),pole
2,1,1,2*pi/log(2),pole
2,1,2,2*pi/log(2),pole
2,1,3,2*pi/log(2),pole
2,1,4,2*pi/log(2),pole
