frequency_units_2pi_over_log2,reduced_denominator,max_degree,multiplicity,nondecreasing
0,1,4,9,true
0,1,8,72,true
0,1,12,748,true
0,1,16,8801,true
0,1,20,111014,true
0,1,24,1465021,true
1/2,2,4,4,true
1/2,2,8,43,true
1/2,2,12,477,true
1/2,2,16,5718,true
1/2,2,20,72627,true
1/2,2,24,962054,true
2/3,3,4,2,true
2/3,3,8,11,true
2/3,3,12,402,true
2/3,3,16,2584,true
2/3,3,20,17116,true
2/3,3,24,815844,true
-3/4,4,4,3,true
-3/4,4,8,33,true
-3/4,4,12,368,true
-3/4,4,16,4448,true
-3/4,4,20,56825,true
-3/4,4,24,755695,true
5/7,7,4,0,true
5/7,7,8,18,true
5/7,7,12,18,true
5/7,7,16,1179,true
5/7,7,20,1179,true
5/7,7,24,101037,true
