grid_size,repetition,exact_average,survives_exactly,numeric_real,numeric_imag,numeric_residual,exact_rule,phase_sign
5,-12,0,false,-9.9920072216264091e-17,-2.6645352591003756e-16,2.8457249041605284e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-11,0,false,-3.5527136788005011e-16,-2.8865798640254071e-16,4.5775667985222375e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-10,1,true,1,9.7971743931788257e-16,9.7971743931788257e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-9,0,false,3.1086244689504381e-16,-1.9984014443252818e-16,3.6955587428207341e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-8,0,false,6.661338147750939e-17,-1.7763568394002506e-16,1.897149936107019e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-7,0,false,-5.5511151231257827e-17,-1.7763568394002506e-16,1.8610729195778454e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-6,0,false,-1.9984014443252818e-16,-1.3322676295501878e-16,2.4017796254920329e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-5,1,true,1,4.8985871965894128e-16,4.8985871965894128e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-4,0,false,1.2212453270876723e-16,-8.8817841970012528e-17,1.5100665727558132e-16,1 iff grid_size divides repetition; otherwise 0,+
5,-3,0,false,1.1102230246251566e-17,-6.661338147750939e-17,6.7532230144642592e-17,1 iff grid_size divides repetition; otherwise 0,+
5,-2,0,false,-1.1102230246251566e-17,-6.661338147750939e-17,6.7532230144642592e-17,1 iff grid_size divides repetition; otherwise 0,+
5,-1,0,false,-4.4408920985006264e-17,-2.2204460492503132e-17,4.9650683064945465e-17,1 iff grid_size divides repetition; otherwise 0,+
5,0,1,true,1,0,0,1 iff grid_size divides repetition; otherwise 0,+
5,1,0,false,-4.4408920985006264e-17,2.2204460492503132e-17,4.9650683064945465e-17,1 iff grid_size divides repetition; otherwise 0,+
5,2,0,false,-1.1102230246251566e-17,6.661338147750939e-17,6.7532230144642592e-17,1 iff grid_size divides repetition; otherwise 0,+
5,3,0,false,1.1102230246251566e-17,6.661338147750939e-17,6.7532230144642592e-17,1 iff grid_size divides repetition; otherwise 0,+
5,4,0,false,1.2212453270876723e-16,8.8817841970012528e-17,1.5100665727558132e-16,1 iff grid_size divides repetition; otherwise 0,+
5,5,1,true,1,-4.8985871965894128e-16,4.8985871965894128e-16,1 iff grid_size divides repetition; otherwise 0,+
5,6,0,false,-1.9984014443252818e-16,1.3322676295501878e-16,2.4017796254920329e-16,1 iff grid_size divides repetition; otherwise 0,+
5,7,0,false,-5.5511151231257827e-17,1.7763568394002506e-16,1.8610729195778454e-16,1 iff grid_size divides repetition; otherwise 0,+
5,8,0,false,6.661338147750939e-17,1.7763568394002506e-16,1.897149936107019e-16,1 iff grid_size divides repetition; otherwise 0,+
5,9,0,false,3.1086244689504381e-16,1.9984014443252818e-16,3.6955587428207341e-16,1 iff grid_size divides repetition; otherwise 0,+
5,10,1,true,1,-9.7971743931788257e-16,9.7971743931788257e-16,1 iff grid_size divides repetition; otherwise 0,+
5,11,0,false,-3.5527136788005011e-16,2.8865798640254071e-16,4.5775667985222375e-16,1 iff grid_size divides repetition; otherwise 0,+
5,12,0,false,-9.9920072216264091e-17,2.6645352591003756e-16,2.8457249041605284e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-12,0,false,1.6256837146296934e-16,-2.2204460492503131e-16,2.7519498901040188e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-11,0,false,5.1546069000453698e-17,-1.8239378261699e-16,1.8953756663715332e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-10,0,false,-3.9650822308041306e-17,-1.7446361815538174e-16,1.7891266520168636e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-9,0,false,-1.2688263138573217e-16,-1.7446361815538174e-16,2.1572379610797328e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-8,0,false,-2.9738116731030977e-16,-1.4274296030894871e-16,3.2986529279177666e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-7,1,true,1,7.3478807948841188e-16,7.3478807948841188e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-6,0,false,2.1014935823261891e-16,-1.1102230246251565e-16,2.376735248395578e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-5,0,false,6.7406397923670213e-17,-7.9301644616082612e-17,1.0407868811557742e-16,1 iff grid_size divides repetition; otherwise 0,+
7,-4,0,false,0,-6.3441315692866085e-17,6.3441315692866085e-17,1 iff grid_size divides repetition; otherwise 0,+
7,-3,0,false,0,-6.3441315692866085e-17,6.3441315692866085e-17,1 iff grid_size divides repetition; otherwise 0,+
7,-2,0,false,-1.9825411154020653e-17,-3.1720657846433042e-17,3.7406510952459071e-17,1 iff grid_size divides repetition; otherwise 0,+
7,-1,0,false,-1.9825411154020653e-17,-1.5860328923216521e-17,2.5388914135476237e-17,1 iff grid_size divides repetition; otherwise 0,+
7,0,1,true,1,0,0,1 iff grid_size divides repetition; otherwise 0,+
7,1,0,false,-1.9825411154020653e-17,1.5860328923216521e-17,2.5388914135476237e-17,1 iff grid_size divides repetition; otherwise 0,+
7,2,0,false,-1.9825411154020653e-17,3.1720657846433042e-17,3.7406510952459071e-17,1 iff grid_size divides repetition; otherwise 0,+
7,3,0,false,0,6.3441315692866085e-17,6.3441315692866085e-17,1 iff grid_size divides repetition; otherwise 0,+
7,4,0,false,0,6.3441315692866085e-17,6.3441315692866085e-17,1 iff grid_size divides repetition; otherwise 0,+
