theta_name,theta,repetition,phase_real,phase_imag,active_formula,positive_sign_witness,multiplicity_is_nonnegative
pi/2,1.5707963267948966,-3,-1.8369701987210297e-16,1,exp(+i*r*theta),not_designated,false
pi/2,1.5707963267948966,-2,-1,-1.2246467991473532e-16,exp(+i*r*theta),not_designated,false
pi/2,1.5707963267948966,-1,6.123233995736766e-17,-1,exp(+i*r*theta),not_designated,false
pi/2,1.5707963267948966,0,1,0,exp(+i*r*theta),not_designated,true
pi/2,1.5707963267948966,1,6.123233995736766e-17,1,exp(+i*r*theta),true,false
pi/2,1.5707963267948966,2,-1,1.2246467991473532e-16,exp(+i*r*theta),not_designated,false
pi/2,1.5707963267948966,3,-1.8369701987210297e-16,-1,exp(+i*r*theta),not_designated,false
pi/3,1.0471975511965976,-3,-1,-1.2246467991473532e-16,exp(+i*r*theta),not_designated,false
pi/3,1.0471975511965976,-2,-0.49999999999999978,-0.86602540378443871,exp(+i*r*theta),not_designated,false
pi/3,1.0471975511965976,-1,0.50000000000000011,-0.8660254037844386,exp(+i*r*theta),not_designated,false
pi/3,1.0471975511965976,0,1,0,exp(+i*r*theta),not_designated,true
pi/3,1.0471975511965976,1,0.50000000000000011,0.8660254037844386,exp(+i*r*theta),not_designated,false
pi/3,1.0471975511965976,2,-0.49999999999999978,0.86602540378443871,exp(+i*r*theta),not_designated,false
pi/3,1.0471975511965976,3,-1,1.2246467991473532e-16,exp(+i*r*theta),not_designated,false
