length,theta,time_radius,frequency_radius,spectral_real,spectral_imag,return_real_plus_phase,return_imag_plus_phase,absolute_error,relative_error,wrong_minus_phase_error,frequency_lattice,return_phase,scope
0.69314718055994529,0,16,4,2.005302619689874,0,2.0053026196898744,0,4.4408920985006262e-16,2.2145745260071631e-16,4.4408920985006262e-16,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
0.69314718055994529,1.0471975511965976,16,4,0.81896074310220646,0.5122967522777766,0.81896074310220679,0.5122967522777766,3.3306690738754696e-16,3.3306690738754696e-16,1.0245935045555532,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
0.69314718055994529,1.5707963267948966,16,4,0.25919457616457253,0.28828709873311331,0.2591945761645727,0.28828709873311326,1.7554167342883506e-16,1.7554167342883506e-16,0.57657419746622662,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
0.69314718055994529,2.5132741228718345,16,5,0.0067180850769887057,0.028937704285646234,0.0067180850769887742,0.028937704285646283,8.3990896754962545e-17,8.3990896754962545e-17,0.057875408571292516,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1,0,11,5,2.0052936633683198,0,2.0052936633683203,0,4.4408920985006262e-16,2.2145844170480231e-16,4.4408920985006262e-16,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1,1.0471975511965976,11,5,1.3070461106577524,0.53315119014873702,1.3070461106577529,0.53315119014873713,4.5775667985222375e-16,3.2428172737401388e-16,1.0663023802974743,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1,1.5707963267948966,11,5,0.76071073561252334,0.49825927307043144,0.76071073561252345,0.49825927307043139,1.2412670766236366e-16,1.2412670766236366e-16,0.99651854614086277,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1,2.5132741228718345,11,5,0.16256203304913688,0.19204544725385694,0.16256203304913711,0.19204544725385694,2.2204460492503131e-16,2.2204460492503131e-16,0.38409089450771389,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1.6094379124341003,0,8,6,2.0091526499061665,0,2.0091526499061665,0,0,0,0,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1.6094379124341003,1.0471975511965976,8,7,1.7247642306362398,0.35685643163448788,1.7247642306362403,0.35685643163448777,4.5775667985222375e-16,2.5989787116291491e-16,0.71371286326897565,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1.6094379124341003,1.5707963267948966,8,7,1.4432828785942442,0.40929311085890879,1.4432828785942442,0.40929311085890868,1.1102230246251565e-16,7.4005226577719397e-17,0.81858622171781747,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
1.6094379124341003,2.5132741228718345,8,7,0.99399151874035252,0.23794350585133428,0.99399151874035296,0.23794350585133411,4.7428748402675471e-16,4.6404395310407568e-16,0.47588701170266839,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
2,0,6,7,2.0729863051822335,0,2.0729863051822339,0,4.4408920985006262e-16,2.1422679384802942e-16,4.4408920985006262e-16,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
2,1.0471975511965976,6,7,1.934992641439806,0.19585793839974264,1.9349926414398064,0.19585793839974283,4.8473028914566782e-16,2.4923407936890922e-16,0.3917158767994855,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
2,1.5707963267948966,6,8,1.7970672812699287,0.22609028965921743,1.7970672812699287,0.22609028965921768,2.4980018054066022e-16,1.3791714239095864e-16,0.45218057931843514,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
2,2.5132741228718345,6,8,1.5740440296227272,0.13282883887923561,1.5740440296227272,0.13282883887923577,1.6653345369377348e-16,1.0542503434631789e-16,0.26565767775847138,(2*pi*n-theta)/L,exp(+i*r*theta),"shifted Gaussian is a Schwartz convention control, not a numerical proof for the compact-support theorem target"
