prime,witness_type,modulus,a_residue,b_residue,p_power_exponent,p_power_subgroup,time_ratio,equivalent_under_locked_relation,distinct_exact,reason
2,time_distinct,,,,,,137/100,false,true,same P but u/v is not in exact stabilizer p^Z
2,transverse_distinct,7,1,3,,1;2;4,1/1,false,true,b/a lies outside the finite image of p^Zhat
2,galois_equivalent_control,7,1,2,1,1;2;4,1/1,true,false,b/a is the displayed p-power in the finite quotient
3,time_distinct,,,,,,11/7,false,true,same P but u/v is not in exact stabilizer p^Z
3,transverse_distinct,8,1,5,,1;3,1/1,false,true,b/a lies outside the finite image of p^Zhat
3,galois_equivalent_control,8,1,3,1,1;3,1/1,true,false,b/a is the displayed p-power in the finite quotient
5,time_distinct,,,,,,17/11,false,true,same P but u/v is not in exact stabilizer p^Z
5,transverse_distinct,4,1,3,,1,1/1,false,true,b/a lies outside the finite image of p^Zhat
5,galois_equivalent_control,4,1,1,1,1,1/1,true,false,b/a is the displayed p-power in the finite quotient
7,time_distinct,,,,,,23/13,false,true,same P but u/v is not in exact stabilizer p^Z
7,transverse_distinct,3,1,2,,1,1/1,false,true,b/a lies outside the finite image of p^Zhat
7,galois_equivalent_control,3,1,1,1,1,1/1,true,false,b/a is the displayed p-power in the finite quotient
11,time_distinct,,,,,,29/17,false,true,same P but u/v is not in exact stabilizer p^Z
11,transverse_distinct,5,1,2,,1,1/1,false,true,b/a lies outside the finite image of p^Zhat
11,galois_equivalent_control,5,1,1,1,1,1/1,true,false,b/a is the displayed p-power in the finite quotient
