prime,level,cyclic_component_prime,cyclic_order,base_unit_exponent,q_exponent_mod_order,target_exponent_mod_order,observed_character_exponent,target_character_exponent,character_match_exact,character_value_error,kernel_on_cyclic_group,global_kernel_order_prime_to_p,global_kernel_finite,source_stage,scope
2,1,3,3,1,1,1,1,1,true,0,1,359137,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,2,3,9,7,4,4,1,1,true,0,1,183878393,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,2,5,25,11,6,6,16,16,true,0,1,183878393,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,3,3,27,7,4,4,1,1,true,0,1,12050647152623,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,3,5,125,11,6,6,66,66,true,0,1,12050647152623,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,3,7,343,15,8,8,120,120,true,0,1,12050647152623,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,4,3,81,7,4,4,28,28,true,0,1,50544078930099547517,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,4,5,625,11,6,6,66,66,true,0,1,50544078930099547517,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,4,7,2401,15,8,8,120,120,true,0,1,50544078930099547517,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,4,11,14641,23,12,12,276,276,true,0,1,50544078930099547517,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,5,3,243,7,4,4,28,28,true,0,1,434170330426496482205706117439,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,5,5,3125,11,6,6,66,66,true,0,1,434170330426496482205706117439,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,5,7,16807,15,8,8,120,120,true,0,1,434170330426496482205706117439,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,5,11,161051,23,12,12,276,276,true,0,1,434170330426496482205706117439,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
2,5,13,371293,27,14,14,378,378,true,0,1,434170330426496482205706117439,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,1,2,2,1,1,1,1,1,true,0,1,92791,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,2,2,4,1,3,3,3,3,true,0,1,67644851,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,2,5,25,11,6,6,16,16,true,0,1,67644851,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,3,2,8,5,3,3,7,7,true,0,1,443817839011,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,3,5,125,11,6,6,66,66,true,0,1,443817839011,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,3,7,343,15,8,8,120,120,true,0,1,443817839011,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,4,2,16,5,3,3,15,15,true,0,1,19104902900774400931,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,4,5,625,11,6,6,66,66,true,0,1,19104902900774400931,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,4,7,2401,15,8,8,120,120,true,0,1,19104902900774400931,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,4,11,14641,23,12,12,276,276,true,0,1,19104902900774400931,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,5,2,32,5,3,3,15,15,true,0,1,22204892426194548724836625777,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,5,5,3125,11,6,6,66,66,true,0,1,22204892426194548724836625777,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,5,7,16807,15,8,8,120,120,true,0,1,22204892426194548724836625777,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,5,11,161051,23,12,12,276,276,true,0,1,22204892426194548724836625777,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
3,5,13,371293,27,14,14,378,378,true,0,1,22204892426194548724836625777,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,1,2,2,1,1,1,1,1,true,0,1,603693,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,2,2,4,1,3,3,3,3,true,0,1,75461651,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,2,3,9,7,4,4,1,1,true,0,1,75461651,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,3,2,8,5,3,3,7,7,true,0,1,1179088253927,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,3,3,27,7,4,4,1,1,true,0,1,1179088253927,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,3,7,343,15,8,8,120,120,true,0,1,1179088253927,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,4,2,16,5,3,3,15,15,true,0,1,11514533647937739719,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,4,3,81,7,4,4,28,28,true,0,1,11514533647937739719,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,4,7,2401,15,8,8,120,120,true,0,1,11514533647937739719,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,4,11,14641,23,12,12,276,276,true,0,1,11514533647937739719,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,5,2,32,5,3,3,15,15,true,0,1,14055827206611443889112308547,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
