prime,level,target_real_exact,target_components,modulus,target_rational_residue,denominator_exponent_k,denominator_p_power,numerator_m,numerator_residue,rational_q_residue,profinite_match_exact,real_error_exact,real_error_decimal,nearest_class_bound_decimal,error_goal_decimal,numerator_convergence_assumed,scope
2,1,137/100,3:1(mod 3),3,1,18,262144,359137,1,1,true,7/6553600,1.0681152343750001e-06,5.7220458984375e-06,1.0000000000000001e-05,false,finite-cylinder witness; not a density proof
2,2,137/100,3:4(mod 9);5:6(mod 25),225,31,27,134217728,183878393,68,31,true,2641/3355443200,7.8707933425903321e-07,8.3819031715393066e-07,9.9999999999999995e-07,false,finite-cylinder witness; not a density proof
2,3,137/100,3:4(mod 27);5:6(mod 125);7:8(mod 343),1157625,801256,43,8796093022208,12050647152623,112373,801256,true,7195049/219902325555200,3.271929472248303e-08,6.5803362758742878e-08,9.9999999999999995e-08,false,finite-cylinder witness; not a density proof
2,4,137/100,3:4(mod 81);5:6(mod 625);7:8(mod 2401);11:12(mod 14641),1779622700625,157443589381,67,147573952589676412928,202176315720398190068,898838265068,157443589381,true,4203384402229/922337203685477580800,4.5573185006883653e-09,6.0295962444442046e-09,1e-08,false,finite-cylinder witness; not a density proof
2,5,137/100,3:4(mod 243);5:6(mod 3125);7:8(mod 16807);11:12(mod 161051);13:14(mod 371293),763179476347547634375,207520801349744387506,99,633825300114114700748351602688,868340660852992964411412234878,357298427170850888003,207520801349744387506,true,3791802195172868260057/7922816251426433759354395033600,4.7859272193649415e-10,6.0204245255762423e-10,1.0000000000000001e-09,false,finite-cylinder witness; not a density proof
3,1,11/7,2:1(mod 2),2,1,11,177147,278373,1,1,true,2/413343,4.8385965166943673e-06,5.6450292694767622e-06,1.0000000000000001e-05,false,finite-cylinder witness; not a density proof
3,2,11/7,2:3(mod 4);5:6(mod 25),100,31,17,129140163,202934553,53,31,true,26/301327047,8.6284985894412589e-08,3.8717621875697958e-07,9.9999999999999995e-07,false,finite-cylinder witness; not a density proof
3,3,11/7,2:3(mod 8);5:6(mod 125);7:8(mod 343),343000,158131,26,2541865828329,3994360551099,13099,158131,true,28214/1977006755367,1.4271069091396463e-08,6.7470122965830404e-08,9.9999999999999995e-08,false,finite-cylinder witness; not a density proof
3,4,11/7,2:3(mod 16);5:6(mod 625);7:8(mod 2401);11:12(mod 14641),351530410000,113502288131,41,36472996377170786403,57314708702323202793,22424532793,113502288131,true,255794589706/85103658213398501607,3.00568265895917e-09,4.8190503237626817e-09,1e-08,false,finite-cylinder witness; not a density proof
3,5,11/7,2:3(mod 32);5:6(mod 3125);7:8(mod 16807);11:12(mod 161051);13:14(mod 371293),100501001000500100000,22222080755072328131,61,127173474825648610542883299603,199844031835750938523529631993,56755477664227331993,22222080755072328131,true,25764238478556541298/98912702642171141533353677469,2.6047451733031542e-10,3.9513350224283896e-10,1.0000000000000001e-09,false,finite-cylinder witness; not a density proof
