prime,modulus,unit_exponent_a,unit_gcd_with_modulus,finite_kernel_factor_nu,finite_kernel_order_prime_to_p,source_time_nu_u,action_q,time_after_action,target_time_u,exponent_after_action,target_finite_exponent,time_match_exact,exponent_match_exact,identity,scope
2,1157625,801256,1,2,1,8/3,2,4/3,4/3,444887,444887,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
2,1157625,801256,1,3,3,4/1,3,4/3,4/3,88518,88518,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
2,1157625,801256,1,6,3,8/1,6,4/3,4/3,177036,177036,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
2,1157625,801256,1,10,5,40/3,10,4/3,4/3,1066810,1066810,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
3,343000,158131,1,2,2,5/2,2,5/4,5/4,316262,316262,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
3,343000,158131,1,3,1,15/4,3,5/4,5/4,131393,131393,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
3,343000,158131,1,6,2,15/2,6,5/4,5/4,262786,262786,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
3,343000,158131,1,10,10,25/2,10,5/4,5/4,209310,209310,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
5,74088,51115,1,2,2,7/3,2,7/6,7/6,28142,28142,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
5,74088,51115,1,3,3,7/2,3,7/6,7/6,5169,5169,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
5,74088,51115,1,6,6,7/1,6,7/6,7/6,10338,10338,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
5,74088,51115,1,10,2,35/3,10,7/6,7/6,66622,66622,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
7,27000,8131,1,2,2,9/4,2,9/8,9/8,16262,16262,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
7,27000,8131,1,3,3,27/8,3,9/8,9/8,24393,24393,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
7,27000,8131,1,6,6,27/4,6,9/8,9/8,21786,21786,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
7,27000,8131,1,10,10,45/4,10,9/8,9/8,310,310,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
11,27000,8131,1,2,2,13/6,2,13/12,13/12,16262,16262,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
11,27000,8131,1,3,3,13/4,3,13/12,13/12,24393,24393,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
11,27000,8131,1,6,6,13/2,6,13/12,13/12,21786,21786,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
11,27000,8131,1,10,10,65/6,10,13/12,13/12,310,310,true,true,"[(F_nu P_a,u)]=[(P_a,nu*u)]",finite set-normalization witness; not universal exhaustiveness proof
