k,q_k,degree_d_k,section,section_value_d,return_clock,return_time,simultaneous_gcd_degree_mod_p,prime
1,2,2,discriminant_zero,0,renormalization_m_equals_k,1,0,1000003
1,2,2,discriminant_zero,0,physical_m_equals_qk,2,0,1000003
1,2,2,positive_band_edge,2,renormalization_m_equals_k,1,0,1000003
1,2,2,positive_band_edge,2,physical_m_equals_qk,2,0,1000003
1,2,2,negative_band_edge,-2,renormalization_m_equals_k,1,0,1000003
1,2,2,negative_band_edge,-2,physical_m_equals_qk,2,0,1000003
2,3,3,discriminant_zero,0,renormalization_m_equals_k,2,0,1000003
2,3,3,discriminant_zero,0,physical_m_equals_qk,3,0,1000003
2,3,3,positive_band_edge,2,renormalization_m_equals_k,2,0,1000003
2,3,3,positive_band_edge,2,physical_m_equals_qk,3,0,1000003
2,3,3,negative_band_edge,-2,renormalization_m_equals_k,2,0,1000003
2,3,3,negative_band_edge,-2,physical_m_equals_qk,3,0,1000003
3,5,5,discriminant_zero,0,renormalization_m_equals_k,3,0,1000003
3,5,5,discriminant_zero,0,physical_m_equals_qk,5,0,1000003
3,5,5,positive_band_edge,2,renormalization_m_equals_k,3,0,1000003
3,5,5,positive_band_edge,2,physical_m_equals_qk,5,0,1000003
3,5,5,negative_band_edge,-2,renormalization_m_equals_k,3,0,1000003
3,5,5,negative_band_edge,-2,physical_m_equals_qk,5,0,1000003
4,8,8,discriminant_zero,0,renormalization_m_equals_k,4,0,1000003
4,8,8,discriminant_zero,0,physical_m_equals_qk,8,0,1000003
4,8,8,positive_band_edge,2,renormalization_m_equals_k,4,0,1000003
4,8,8,positive_band_edge,2,physical_m_equals_qk,8,0,1000003
4,8,8,negative_band_edge,-2,renormalization_m_equals_k,4,0,1000003
4,8,8,negative_band_edge,-2,physical_m_equals_qk,8,0,1000003
5,13,13,discriminant_zero,0,renormalization_m_equals_k,5,0,1000003
5,13,13,discriminant_zero,0,physical_m_equals_qk,13,0,1000003
5,13,13,positive_band_edge,2,renormalization_m_equals_k,5,0,1000003
5,13,13,positive_band_edge,2,physical_m_equals_qk,13,0,1000003
5,13,13,negative_band_edge,-2,renormalization_m_equals_k,5,0,1000003
5,13,13,negative_band_edge,-2,physical_m_equals_qk,13,0,1000003
6,21,21,discriminant_zero,0,renormalization_m_equals_k,6,0,1000003
6,21,21,discriminant_zero,0,physical_m_equals_qk,21,0,1000003
6,21,21,positive_band_edge,2,renormalization_m_equals_k,6,0,1000003
6,21,21,positive_band_edge,2,physical_m_equals_qk,21,0,1000003
6,21,21,negative_band_edge,-2,renormalization_m_equals_k,6,0,1000003
6,21,21,negative_band_edge,-2,physical_m_equals_qk,21,0,1000003
7,34,34,discriminant_zero,0,renormalization_m_equals_k,7,0,1000003
7,34,34,discriminant_zero,0,physical_m_equals_qk,34,0,1000003
7,34,34,positive_band_edge,2,renormalization_m_equals_k,7,0,1000003
7,34,34,positive_band_edge,2,physical_m_equals_qk,34,0,1000003
7,34,34,negative_band_edge,-2,renormalization_m_equals_k,7,0,1000003
7,34,34,negative_band_edge,-2,physical_m_equals_qk,34,0,1000003
8,55,55,discriminant_zero,0,renormalization_m_equals_k,8,0,1000003
8,55,55,discriminant_zero,0,physical_m_equals_qk,55,0,1000003
8,55,55,positive_band_edge,2,renormalization_m_equals_k,8,0,1000003
8,55,55,positive_band_edge,2,physical_m_equals_qk,55,0,1000003
8,55,55,negative_band_edge,-2,renormalization_m_equals_k,8,0,1000003
8,55,55,negative_band_edge,-2,physical_m_equals_qk,55,0,1000003
