a,p,r,n,prime_status,support_count,multiplicity_weighted_count,fiber_scheme_length,uniform_quadratic_length,rational_singular_support_count
6,5,1,1,ETALE_GOOD,0,0,2,2,0
6,5,1,2,ETALE_GOOD,0,0,4,4,0
6,5,2,1,ETALE_GOOD,2,2,2,2,0
6,5,2,2,ETALE_GOOD,4,4,4,4,0
6,5,3,1,ETALE_GOOD,0,0,2,2,0
6,5,3,2,ETALE_GOOD,0,0,4,4,0
6,5,4,1,ETALE_GOOD,2,2,2,2,0
6,5,4,2,ETALE_GOOD,4,4,4,4,0
6,11,1,1,ETALE_GOOD,0,0,2,2,0
6,11,1,2,ETALE_GOOD,2,2,4,4,0
6,11,2,1,ETALE_GOOD,2,2,2,2,0
6,11,2,2,ETALE_GOOD,4,4,4,4,0
6,11,3,1,ETALE_GOOD,0,0,2,2,0
6,11,3,2,ETALE_GOOD,2,2,4,4,0
6,11,4,1,ETALE_GOOD,2,2,2,2,0
6,11,4,2,ETALE_GOOD,4,4,4,4,0
6,7,1,1,DEGREE_GOOD_NONREDUCED,1,2,2,2,1
6,7,1,2,DEGREE_GOOD_NONREDUCED,1,2,4,4,1
6,7,2,1,DEGREE_GOOD_NONREDUCED,1,2,2,2,1
6,7,2,2,DEGREE_GOOD_NONREDUCED,3,4,4,4,1
6,7,3,1,DEGREE_GOOD_NONREDUCED,1,2,2,2,1
6,7,3,2,DEGREE_GOOD_NONREDUCED,1,2,4,4,1
6,7,4,1,DEGREE_GOOD_NONREDUCED,1,2,2,2,1
6,7,4,2,DEGREE_GOOD_NONREDUCED,3,4,4,4,1
6,3,1,1,DEGREE_DROP,1,1,1,,0
6,3,1,2,DEGREE_DROP,1,1,1,,0
6,3,1,4,DEGREE_DROP_POSITIVE_DIMENSIONAL,9,,,,
6,3,2,1,DEGREE_DROP,1,1,1,,0
6,3,2,2,DEGREE_DROP,1,1,1,,0
6,3,2,4,DEGREE_DROP_POSITIVE_DIMENSIONAL,81,,,,
6,3,3,1,DEGREE_DROP,1,1,1,,0
6,3,3,2,DEGREE_DROP,1,1,1,,0
6,3,3,4,DEGREE_DROP_POSITIVE_DIMENSIONAL,729,,,,
6,3,4,1,DEGREE_DROP,1,1,1,,0
6,3,4,2,DEGREE_DROP,1,1,1,,0
6,3,4,4,DEGREE_DROP_POSITIVE_DIMENSIONAL,6561,,,,
