word,length,matrix,trace,cyclic_trace_invariant,cyclic_c_values,cyclic_c_invariant,c_square,c_squared,literal_denominator_power_additive
1 2,2,"[[1,2],[1,3]]",4,True,1,True,4,1,False
1 3,2,"[[1,3],[1,4]]",5,True,1,True,5,1,False
2 1,2,"[[1,1],[2,3]]",4,True,2,True,8,4,False
2 3,2,"[[1,3],[2,7]]",8,True,2,True,16,4,False
3 1,2,"[[1,1],[3,4]]",5,True,3,True,15,9,False
3 2,2,"[[1,2],[3,7]]",8,True,3,True,24,9,False
1 1 1 2,4,"[[2,5],[3,8]]",10,True,3 4,False,30,9,False
1 1 1 3,4,"[[2,7],[3,11]]",13,True,3 5,False,39,9,False
1 1 2 1,4,"[[3,4],[5,7]]",10,True,5 5,True,50,25,False
1 1 2 2,4,"[[3,7],[5,12]]",15,True,5 7,False,75,25,False
1 1 2 3,4,"[[3,10],[5,17]]",20,True,5 9,False,100,25,False
1 1 3 1,4,"[[4,5],[7,9]]",13,True,7 7,True,91,49,False
1 1 3 2,4,"[[4,9],[7,16]]",20,True,7 10,False,140,49,False
1 1 3 3,4,"[[4,13],[7,23]]",27,True,7 13,False,189,49,False
1 2 1 3,4,"[[3,11],[4,15]]",18,True,4 5,False,72,16,False
1 2 2 1,4,"[[5,7],[7,10]]",15,True,7 5,False,105,49,False
1 2 2 2,4,"[[5,12],[7,17]]",22,True,7 7,True,154,49,False
1 2 2 3,4,"[[5,17],[7,24]]",29,True,7 9,False,203,49,False
1 2 3 1,4,"[[7,9],[10,13]]",20,True,10 7,False,200,100,False
1 2 3 2,4,"[[7,16],[10,23]]",30,True,10 10,True,300,100,False
1 2 3 3,4,"[[7,23],[10,33]]",40,True,10 13,False,400,100,False
1 3 2 1,4,"[[7,10],[9,13]]",20,True,9 5,False,180,81,False
1 3 2 2,4,"[[7,17],[9,22]]",29,True,9 7,False,261,81,False
1 3 2 3,4,"[[7,24],[9,31]]",38,True,9 9,True,342,81,False
1 3 3 1,4,"[[10,13],[13,17]]",27,True,13 7,False,351,169,False
1 3 3 2,4,"[[10,23],[13,30]]",40,True,13 10,False,520,169,False
1 3 3 3,4,"[[10,33],[13,43]]",53,True,13 13,True,689,169,False
2 1 2 2,4,"[[3,7],[8,19]]",22,True,8 12,False,176,64,False
2 1 2 3,4,"[[3,10],[8,27]]",30,True,8 16,False,240,64,False
