period,state_word,sign_word,fixed_point_iterations,fixed_point_step_residual,recurrence_residual,projective_monodromy_matrix_error,unstable_multiplier,unstable_slope,slope_fixed_point_residual,projective_derivative_multiplier_error,expected_slope_disk_center,slope_disk_clearance
1,--,-,26,7.771561172376096e-16,2.220446049250313e-15,0.0,7.151675243800318,0.1398273783288584,3.3306690738754696e-16,0.0,0.19166666666666668,0.04627412261518869
3,-- +- -+,-+-,25,1.6653345369377348e-15,2.275957200481571e-15,0.0,-131.9072739719325,0.2163925393655783,2.7755575615628914e-17,2.0328790734103208e-20,0.19166666666666668,0.07338753825408535
4,-- -- +- -+,--+-,3,0.0,2.220446049250313e-16,0.0,-1044.301073036114,0.19818676783898717,2.7755575615628914e-17,0.0,0.19166666666666668,0.0915933097806765
4,-- +- ++ -+,-++-,2,0.0,1.1102230246251565e-16,0.0,577.9982698910148,0.19563368738967218,1.6653345369377348e-16,0.0,0.19166666666666668,0.09414639022999148
5,-- -- -- +- -+,---+-,21,1.9984014443252818e-15,3.774758283725532e-15,0.0,-7606.534371840103,0.1959262526673667,2.7755575615628914e-17,0.0,0.19166666666666668,0.09385382495229695
5,-- -- +- ++ -+,--++-,24,9.43689570931383e-16,1.3877787807814457e-15,0.0,4445.524000773376,0.18335698450587215,0.0,0.0,0.19166666666666668,0.08980372879220246
6,-- -- -- -- +- -+,----+-,23,8.881784197001252e-16,1.9984014443252818e-15,0.0,-54574.52706035535,0.19561595222628506,0.0,1.550963648536927e-25,0.19166666666666668,0.09416412539337861
6,-- -- -- +- ++ -+,---++-,23,6.661338147750939e-16,8.881784197001252e-16,0.0,32222.060985783006,0.18178223286293962,0.0,0.0,0.19166666666666668,0.08822897714926993
7,-- -- -- -- -- +- -+,-----+-,24,6.661338147750939e-16,1.887379141862766e-15,0.0,-390511.45385998103,0.19557269128670618,0.0,3.2311742677852644e-27,0.19166666666666668,0.09420738633295749
7,-- -- -- -- +- ++ -+,----++-,24,6.661338147750939e-16,1.1102230246251565e-15,0.0,230985.61774066472,0.1815650120019812,0.0,0.0,0.19166666666666668,0.0880117562883115
7,-- -- +- -+ -- +- -+,--+--+-,23,6.661338147750939e-16,1.3322676295501878e-15,0.0,137464.15594717924,0.19759394887797663,0.0,0.0,0.19166666666666668,0.09218612874168704
7,-- +- -+ -- +- ++ -+,-+--++-,25,9.992007221626409e-16,1.609823385706477e-15,0.0,-76493.0869241497,0.1983316382810206,1.6653345369377348e-16,0.0,0.19166666666666668,0.09144843933864306
8,-- -- -- -- -- -- +- -+,------+-,24,1.7763568394002505e-15,3.9968028886505635e-15,0.0,-2793060.3782516667,0.1955666450368029,2.7755575615628914e-17,0.0,0.19166666666666668,0.09421343258286076
8,-- -- -- -- -- +- ++ -+,-----++-,24,1.6653345369377348e-15,2.9976021664879227e-15,0.0,1652592.5303536905,0.1815347043950273,2.7755575615628914e-17,0.0,0.19166666666666668,0.08798144868135761
8,-- -- -- +- -+ -- +- -+,---+--+-,24,7.771561172376096e-16,1.6653345369377348e-15,0.0,1000641.4990945796,0.19529282862749694,0.0,2.0194839173657902e-28,0.19166666666666668,0.09448724899216672
8,-- -- +- -+ -- +- ++ -+,--+--++-,22,3.3306690738754696e-16,5.551115123125783e-16,0.0,-595714.3141654949,0.18379597201555525,2.7755575615628914e-17,8.077935669463161e-28,0.19166666666666668,0.09024271630188556
8,-- -- +- ++ -+ -- +- -+,--++--+-,22,3.3306690738754696e-16,6.106226635438361e-16,0.0,-595714.3141654946,0.19731833667802676,2.7755575615628914e-17,8.077935669463161e-28,0.19166666666666668,0.09246174094163691
