case_id,length,extended_signs,iterations,fixed_point_increment,recurrence_residual,minimum_disk_margin,crossed_residual,float64_forward_crossed_residual,left_bound_ratio,right_bound_ratio,endpoint_formula_error,endpoint_reciprocity_error,theta_monodromy_error,projective_initial_ratio,projective_left_ratio,projective_right_ratio
N1:---,1,---,2,0.0,3.3306690738754696e-16,0.05369544996657963,7.143671195514219e-102,3.3306690738754696e-16,0.3096867840298521,0.3096867840298521,0.0,0.0,0.0,0.25337577683999124,0.0784671294806424,0.0784671294806424
N1:--+,1,--+,2,0.0,1.1102230246251565e-16,0.07491495713052967,0.0,1.1102230246251565e-16,0.4333771210663102,0.4333771210663102,0.0,0.0,0.0,0.496194229644983,0.2150392267332584,0.2150392267332584
N1:-+-,1,-+-,2,0.0,3.3306690738754696e-16,0.05369544996657963,7.143671195514219e-102,3.3306690738754696e-16,0.3096867840298521,0.3096867840298521,0.0,0.0,0.0,0.25337577683999124,0.0784671294806424,0.0784671294806424
N1:-++,1,-++,2,0.0,1.1102230246251565e-16,0.07491495713052967,0.0,1.1102230246251565e-16,0.4333771210663102,0.4333771210663102,0.0,0.0,0.0,0.496194229644983,0.2150392267332584,0.2150392267332584
N1:+--,1,+--,2,0.0,1.1102230246251565e-16,0.07491495713052967,0.0,1.1102230246251565e-16,0.4333771210663102,0.4333771210663102,0.0,0.0,0.0,0.496194229644983,0.2150392267332584,0.2150392267332584
N1:++-,1,++-,2,0.0,1.1102230246251565e-16,0.07491495713052967,0.0,1.1102230246251565e-16,0.4333771210663102,0.4333771210663102,0.0,0.0,0.0,0.496194229644983,0.2150392267332584,0.2150392267332584
N2:----,2,----,16,1.8096635301390052e-14,1.8096635301390052e-14,0.038206417766895845,1.2832605715363776e-85,1.4549472737712676e-13,0.30771839777833004,0.30771839777833004,3.469446951953614e-18,3.469446951953614e-18,0.0,0.06008366588860411,0.021940149815889605,0.07417935955812675
N2:---+,2,---+,17,4.696243394164412e-14,4.701794509287538e-14,0.06163898720420105,7.150537142965041e-86,1.315059172668498e-13,0.3234324446468315,0.4286397351819637,2.7755575615628914e-17,3.469446951953614e-18,0.0,0.12648280460827577,0.0601226064598408,0.20056781641977559
N2:--+-,2,--+-,17,9.325873406851315e-14,9.35918009759007e-14,0.05840642712465785,1.1140725280381446e-85,5.549449788588845e-13,0.437743689898831,0.3070910360146787,2.7755575615628914e-17,0.0,0.0,0.1342638759715757,0.019928991586317044,0.07422371434619675
N2:--++,2,--++,19,2.4924506902834764e-14,2.4924506902834764e-14,0.06364020779131577,1.331714466295689e-85,1.4277468096679513e-13,0.4001136004764251,0.42805395378197364,2.7755575615628914e-17,0.0,0.0,0.22195437671884252,0.05834650355505638,0.2006064118983654
N2:-+--,2,-+--,17,9.325873406851315e-14,9.320322291728189e-14,0.058406427124657795,9.923961843461896e-86,4.3348657996489237e-13,0.3070910360146787,0.43774368989883106,2.7755575615628914e-17,0.0,0.0,0.13426387597157577,0.06420125721037627,0.21222397425664632
N2:-++-,2,-++-,18,8.149037000748649e-14,8.132383655379272e-14,0.08679358223312064,1.4252653441282223e-85,3.285705041378151e-13,0.4383710516624769,0.43837105166247686,2.7755575615628914e-17,6.938893903907228e-18,0.0,0.23787178489764074,0.06219009898080731,0.21217961946857442
N2:+---,2,+---,17,4.696243394164412e-14,4.696243394164412e-14,0.06163898720420105,1.522988791740425e-85,2.823297151621773e-13,0.4286397351819637,0.3234324446468315,2.7755575615628914e-17,3.469446951953614e-18,0.0,0.1264828046082757,0.03879443466392873,0.08653484290752791
N2:+--+,2,+--+,19,6.0285110237146e-14,6.017408793468348e-14,0.05618621784791364,1.605238805653462e-85,3.4139358007223564e-13,0.4760010769191811,0.4760010769191811,6.938893903907228e-18,6.938893903907228e-18,0.0,0.326270310603176,0.1300421606006469,0.2764625285921127
N2:++--,2,++--,19,2.4868995751603507e-14,2.4924506902834764e-14,0.06364020779131577,9.066764389880352e-86,9.720002580593246e-14,0.42805395378197364,0.40011360047642514,2.7755575615628914e-17,0.0,0.0,0.2219543767188425,0.07644844110987305,0.16109954615444969
N3:-----,3,-----,19,2.0650148258027912e-14,4.063416270128073e-14,0.02249966847231491,2.2179022645590923e-84,1.3108958363261536e-12,0.3064897715049764,0.3064897715049764,2.7755575615628914e-17,4.336808689942018e-19,0.0,0.014019846095480643,0.0062242530851556975,0.07317416479297967
N3:----+,3,----+,20,2.708944180085382e-14,4.657385588302532e-14,0.03926302706350318,2.5400779495265897e-84,3.9929171080643755e-13,0.30855215677389025,0.4253269049307526,3.469446951953614e-18,8.673617379884035e-19,0.0,0.029581683868040033,0.016891528901829475,0.19562943727986407
N3:---+-,3,---+-,3,0.0,2.7755575615628914e-16,0.06413534652132438,1.014401309763019e-99,9.103828801926284e-15,0.32501852771284523,0.3058840178625233,0.0,0.0,0.0,0.03429417373294234,0.005585046491946956,0.07321579909211447
N3:---++,3,---++,14,7.571721027943568e-14,7.588374373312945e-14,0.059332908395265976,4.43376777515417e-86,1.974975738505691e-12,0.3213867580238926,0.4247603128720448,6.938893903907228e-18,0.0,0.0,0.055503738661306846,0.016325468023677132,0.19566579390240232
N3:--+--,3,--+--,22,2.653433028854124e-14,4.807265696626928e-14,0.06103542994664288,6.545595940475267e-85,1.0502154701441668e-12,0.43503765507798214,0.4350376550779822,2.7755575615628914e-17,1.734723475976807e-18,0.0,0.06921555778777742,0.025741107637094095,0.20799361138153333
N3:--++-,3,--++-,3,0.0,1.6653345369377348e-16,0.07491495713052967,2.4288482064748343e-100,4.440892098500626e-15,0.4019202118355906,0.43564337962444927,2.7755575615628914e-17,0.0,0.0,0.10652275418007164,0.025102379956373672,0.2079519771134202
N3:-+---,3,-+---,3,0.0,2.7755575615628914e-16,0.06413534652132438,3.857582445577678e-100,8.881784197001252e-15,0.3058840178625232,0.32501852771284523,2.7755575615628914e-17,8.673617379884035e-19,0.0,0.03429417373294234,0.012185276685687177,0.08769324434346198
N3:-+--+,3,-+--+,15,7.66053886991358e-14,2.348121697082206e-14,0.03866586247229084,4.691064190531961e-85,3.1952218648712005e-13,0.30765906969978196,0.48117825323333097,2.7755575615628914e-17,8.673617379884035e-19,0.0,0.09171544214995933,0.04186237400070289,0.2852271555007922
N3:-++--,3,-++--,3,0.0,1.6653345369377348e-16,0.07491495713052967,7.143671195514219e-101,4.440892098500626e-15,0.43564337962444927,0.4019202118355907,5.551115123125783e-17,3.469446951953614e-18,0.0,0.10652275418007157,0.030094860901283237,0.16298290004295113
N3:+----,3,+----,20,2.7144952952085077e-14,4.6629367034256575e-14,0.03926302706350318,3.474487675345101e-84,5.461742169643458e-13,0.42532690493075254,0.3085521567738903,3.469446951953614e-18,0.0,0.0,0.02958168386804003,0.009423727081570037,0.07469471652335877
N3:+---+,3,+---+,21,4.907185768843192e-14,7.299716386910404e-14,0.07020115401169127,1.588582441582818e-84,1.2852496844573125e-12,0.43099266109882745,0.43099266109882745,6.938893903907228e-18,8.673617379884035e-19,0.0,0.06458652503615456,0.026225493099224426,0.20366576737890457
N3:+--+-,3,+--+-,15,7.66053886991358e-14,2.353672812205332e-14,0.03866586247229084,6.754746262612047e-85,4.495293026707259e-13,0.481178253233331,0.30765906969978196,6.938893903907228e-18,8.673617379884035e-19,0.0,0.09171544214995936,0.0076168119882824336,0.07477961556267751
N3:+--++,3,+--++,3,0.0,1.1102230246251565e-16,0.06017262252951347,7.143671195514219e-101,9.992007221626409e-16,0.4690489222750862,0.43017746129272755,1.734723475976807e-18,1.734723475976807e-18,0.0,0.1415296353688689,0.024698538230852544,0.2037362995676735
