variant,seed,s,theta,cutoff,degree,coefficient_real,coefficient_imag,coefficient_abs
maslov_action,,0.0,0.0,8,0,1.0,0.0,1.0
maslov_action,,0.0,0.0,8,1,0.0,0.43472087194499137,0.43472087194499137
maslov_action,,0.0,0.0,8,2,-0.023183239132145525,0.0,0.023183239132145525
maslov_action,,0.0,0.0,8,3,0.08641430117787054,-0.0001699587700991952,0.08641446831430054
maslov_action,,0.0,0.0,8,4,0.04166684047971693,0.0066509426772807245,0.04219431992648597
maslov_action,,0.0,0.0,8,5,-2.8250596046862365e-05,0.003111816578939966,0.003111944812676253
maslov_action,,0.0,0.0,8,6,-7.257069816522682e-05,-1.241113254728717e-06,7.258131022721703e-05
maslov_action,,0.0,0.0,8,7,-1.5091457977320811e-05,4.131303634746786e-07,1.5097111663442933e-05
maslov_action,,0.0,0.0,8,8,3.0564777543820414e-06,2.456913054857922e-07,3.066336654808731e-06
maslov_action,,0.0,0.0,12,0,1.0,0.0,1.0
maslov_action,,0.0,0.0,12,1,0.0,0.43472087194499137,0.43472087194499137
maslov_action,,0.0,0.0,12,2,-0.023183239132145525,0.0,0.023183239132145525
maslov_action,,0.0,0.0,12,3,0.08641430117787054,-0.0001699587700991952,0.08641446831430054
maslov_action,,0.0,0.0,12,4,0.04166684047971693,0.0066509426772807245,0.04219431992648597
maslov_action,,0.0,0.0,12,5,-2.8250596046862365e-05,0.003111816578939966,0.003111944812676253
maslov_action,,0.0,0.0,12,6,-7.257069816522682e-05,-1.241113254728717e-06,7.258131022721703e-05
maslov_action,,0.0,0.0,12,7,-1.5091457977320811e-05,4.131303634746786e-07,1.5097111663442933e-05
maslov_action,,0.0,0.0,12,8,3.0564777543820414e-06,2.456913054857922e-07,3.066336654808731e-06
maslov_action,,0.0,0.0,12,9,2.166137104312676e-08,2.0452717057492365e-08,2.9791418739325753e-08
maslov_action,,0.0,0.0,12,10,6.104652053133542e-09,2.0165259011217797e-10,6.1079817007688e-09
maslov_action,,0.0,0.0,12,11,-2.7758108185742134e-10,2.0829965885041127e-10,3.4704467274737726e-10
maslov_action,,0.0,0.0,12,12,1.9868081174769882e-11,-6.360295784332026e-11,6.663390200180701e-11
maslov_action,,0.0,0.0,16,0,1.0,0.0,1.0
maslov_action,,0.0,0.0,16,1,0.0,0.43472087194499137,0.43472087194499137
maslov_action,,0.0,0.0,16,2,-0.023183239132145525,0.0,0.023183239132145525
maslov_action,,0.0,0.0,16,3,0.08641430117787054,-0.0001699587700991952,0.08641446831430054
maslov_action,,0.0,0.0,16,4,0.04166684047971693,0.0066509426772807245,0.04219431992648597
maslov_action,,0.0,0.0,16,5,-2.8250596046862365e-05,0.003111816578939966,0.003111944812676253
maslov_action,,0.0,0.0,16,6,-7.257069816522682e-05,-1.241113254728717e-06,7.258131022721703e-05
maslov_action,,0.0,0.0,16,7,-1.5091457977320811e-05,4.131303634746786e-07,1.5097111663442933e-05
maslov_action,,0.0,0.0,16,8,3.0564777543820414e-06,2.456913054857922e-07,3.066336654808731e-06
maslov_action,,0.0,0.0,16,9,2.166137104312676e-08,2.0452717057492365e-08,2.9791418739325753e-08
maslov_action,,0.0,0.0,16,10,6.104652053133542e-09,2.0165259011217797e-10,6.1079817007688e-09
maslov_action,,0.0,0.0,16,11,-2.7758108185742134e-10,2.0829965885041127e-10,3.4704467274737726e-10
maslov_action,,0.0,0.0,16,12,1.9868081174769882e-11,-6.360295784332026e-11,6.663390200180701e-11
maslov_action,,0.0,0.0,16,13,-4.937402900391199e-13,1.7815841450345385e-12,1.848735118897881e-12
maslov_action,,0.0,0.0,16,14,-5.342183633704914e-13,1.6621349014407053e-13,5.594784929450991e-13
maslov_action,,0.0,0.0,16,15,4.0750345806084274e-14,-3.227343522635429e-14,5.1982355704846e-14
maslov_action,,0.0,0.0,16,16,-3.0511490483144978e-15,3.814890704766441e-15,4.884966899001861e-15
maslov_action,,0.0,0.0,20,0,1.0,0.0,1.0
maslov_action,,0.0,0.0,20,1,0.0,0.43472087194499137,0.43472087194499137
maslov_action,,0.0,0.0,20,2,-0.023183239132145525,0.0,0.023183239132145525
maslov_action,,0.0,0.0,20,3,0.08641430117787054,-0.0001699587700991952,0.08641446831430054
maslov_action,,0.0,0.0,20,4,0.04166684047971693,0.0066509426772807245,0.04219431992648597
maslov_action,,0.0,0.0,20,5,-2.8250596046862365e-05,0.003111816578939966,0.003111944812676253
maslov_action,,0.0,0.0,20,6,-7.257069816522682e-05,-1.241113254728717e-06,7.258131022721703e-05
maslov_action,,0.0,0.0,20,7,-1.5091457977320811e-05,4.131303634746786e-07,1.5097111663442933e-05
maslov_action,,0.0,0.0,20,8,3.0564777543820414e-06,2.456913054857922e-07,3.066336654808731e-06
maslov_action,,0.0,0.0,20,9,2.166137104312676e-08,2.0452717057492365e-08,2.9791418739325753e-08
maslov_action,,0.0,0.0,20,10,6.104652053133542e-09,2.0165259011217797e-10,6.1079817007688e-09
maslov_action,,0.0,0.0,20,11,-2.7758108185742134e-10,2.0829965885041127e-10,3.4704467274737726e-10
maslov_action,,0.0,0.0,20,12,1.9868081174769882e-11,-6.360295784332026e-11,6.663390200180701e-11
maslov_action,,0.0,0.0,20,13,-4.937402900391199e-13,1.7815841450345385e-12,1.848735118897881e-12
maslov_action,,0.0,0.0,20,14,-5.342183633704914e-13,1.6621349014407053e-13,5.594784929450991e-13
maslov_action,,0.0,0.0,20,15,4.0750345806084274e-14,-3.227343522635429e-14,5.1982355704846e-14
maslov_action,,0.0,0.0,20,16,-3.0511490483144978e-15,3.814890704766441e-15,4.884966899001861e-15
maslov_action,,0.0,0.0,20,17,-1.4806853404736962e-16,1.2753884702836468e-16,1.954237658941759e-16
maslov_action,,0.0,0.0,20,18,7.170792701911071e-17,-2.7571863580846646e-17,7.682600118904358e-17
maslov_action,,0.0,0.0,20,19,-6.1879769058255735e-18,1.4786520418174016e-18,6.362190664213185e-18
maslov_action,,0.0,0.0,20,20,1.7787691892340307e-19,1.0130514049161433e-19,2.0470205122496606e-19
maslov_action,,0.0,1.0,8,0,1.0,0.0,1.0
maslov_action,,0.0,1.0,8,1,-0.21907272759075014,0.3754855210664754,0.43472087194499137
maslov_action,,0.0,1.0,8,2,-0.011408270542578244,-0.02018202021318937,0.023183239132145508
maslov_action,,0.0,1.0,8,3,0.08647781540489588,0.004289814624495408,0.08658415020496409
maslov_action,,0.0,1.0,8,4,0.037158273492145164,0.005021122392269751,0.0374959859050967
maslov_action,,0.0,1.0,8,5,-0.0018873126997920092,0.0024773554051346182,0.0031143601317358775
maslov_action,,0.0,1.0,8,6,-5.943374454234901e-05,-2.10004330813314e-05,6.303481720389676e-05
maslov_action,,0.0,1.0,8,7,-1.4945968481487801e-05,3.0961422867717014e-06,1.5263291614509717e-05
maslov_action,,0.0,1.0,8,8,2.9396218420203474e-06,2.5691792248077466e-07,2.950827577642404e-06
maslov_action,,0.0,1.0,12,0,1.0,0.0,1.0
maslov_action,,0.0,1.0,12,1,-0.21907272759075014,0.3754855210664754,0.43472087194499137
maslov_action,,0.0,1.0,12,2,-0.011408270542578244,-0.02018202021318937,0.023183239132145508
maslov_action,,0.0,1.0,12,3,0.08647781540489588,0.004289814624495408,0.08658415020496409
maslov_action,,0.0,1.0,12,4,0.037158273492145164,0.005021122392269751,0.0374959859050967
maslov_action,,0.0,1.0,12,5,-0.0018873126997920092,0.0024773554051346182,0.0031143601317358775
maslov_action,,0.0,1.0,12,6,-5.943374454234901e-05,-2.10004330813314e-05,6.303481720389676e-05
maslov_action,,0.0,1.0,12,7,-1.4945968481487801e-05,3.0961422867717014e-06,1.5263291614509717e-05
