candidate,metric,value,unit,control_or_bound,decision
C02,projective_derivative_bound,0.0839724934,dimensionless,exact_upper_bound,retain_lemma_no_A2
C02,child_disk_gap,0.1871065114,dimensionless,exact_lower_bound,retain_lemma_no_A2
C02,memory_8_q_diameter_bound,0.0008939867,q_coordinate,uniform_source_locked_bound,retain_lemma_no_A2
C02B,minimum_self_map_margin,0.0094371766,q_coordinate,exact_algebraic_lower_bound,proved_sequence_polydisc_only
C02B,sup_norm_contraction,0.4850712501,dimensionless,2_over_sqrt_17,proved_sequence_polydisc_only
C03,good_primes,52,count,all_good_primes_p_le_251,reject_naive_global_product
C03,total_phase_points,995777,count,exact_enumeration,reject_naive_global_product
C03,symmetric_point_fraction,0.997706,fraction,matched_reversible_null,reject_naive_global_product
C03,matched_cycle_count_mean_z,-0.768,z_score,16_controls_per_prime,no_frozen_anomaly
C03,matched_largest_cycle_mean_z,-0.089,z_score,16_controls_per_prime,no_frozen_anomaly
C03,matched_short_mass_mean_z,-0.127,z_score,16_controls_per_prime,no_frozen_anomaly
C05,primitive_cycles,2170,count,certified_catalogue,retain_ledger
C05,phase_rows,2240,count,primitive_and_repeats,retain_ledger
C05,maslov_symbol_failures,0,count,2240_rows,proved_local_symbol_collapse
C05,gauge_coefficient_error,2.089e-17,absolute_error,exact_covariance_identity,reject_intrinsic_fixed_z_phase
C05,maslov_probe_drift,4.459e-14,absolute_drift,orientation_fallback_9.943e-15,finite_only_and_rejected
