level,period,reachable_residue_states,divisible_words,divisible_archimedean_mass,passed_nonnegative,direct_divisible_words,direct_divisible_archimedean_mass,passed_against_direct_enumeration
1,1,2,1,2,True,1,2,True
1,2,4,3,112,True,3,112,True
1,3,5,4,1496,True,4,1496,True
1,4,5,7,23968,True,7,23968,True
1,5,5,11,322462,True,11,322462,True
1,6,5,18,4404544,True,18,4404544,True
1,7,5,29,58234738,True,29,58234738,True
1,8,5,47,767236544,True,47,767236544,True
1,9,5,76,10025099912,True,76,10025099912,True
1,10,5,123,130624206672,True,123,130624206672,True
1,11,5,199,1697479452198,True,199,1697479452198,True
1,12,5,322,22029450353536,True,322,22029450353536,True
2,1,2,0,0,True,0,0,True
2,2,4,3,112,True,3,112,True
2,3,7,0,0,True,0,0,True
2,4,9,7,23968,True,7,23968,True
2,5,9,0,0,True,0,0,True
2,6,9,18,4404544,True,18,4404544,True
2,7,9,0,0,True,0,0,True
2,8,9,47,767236544,True,47,767236544,True
2,9,9,0,0,True,0,0,True
2,10,9,123,130624206672,True,123,130624206672,True
2,11,9,0,0,True,0,0,True
2,12,9,322,22029450353536,True,322,22029450353536,True
3,1,2,0,0,True,0,0,True
3,2,4,3,112,True,3,112,True
3,3,7,0,0,True,0,0,True
3,4,11,7,23968,True,7,23968,True
3,5,13,0,0,True,0,0,True
3,6,13,18,4404544,True,18,4404544,True
3,7,13,0,0,True,0,0,True
3,8,13,47,767236544,True,47,767236544,True
3,9,13,0,0,True,0,0,True
3,10,13,123,130624206672,True,123,130624206672,True
3,11,13,0,0,True,0,0,True
3,12,13,322,22029450353536,True,322,22029450353536,True
4,1,2,0,0,True,0,0,True
4,2,4,1,32,True,1,32,True
4,3,8,0,0,True,0,0,True
4,4,16,7,23968,True,7,23968,True
4,5,26,0,0,True,0,0,True
4,6,34,10,2419712,True,10,2419712,True
4,7,38,0,0,True,0,0,True
4,8,39,31,505204672,True,31,505204672,True
4,9,39,0,0,True,0,0,True
4,10,39,71,75327704272,True,71,75327704272,True
4,11,39,0,0,True,0,0,True
4,12,39,178,12173187814144,True,178,12173187814144,True
5,1,2,0,0,True,0,0,True
5,2,4,1,32,True,1,32,True
5,3,8,0,0,True,0,0,True
5,4,16,1,3136,True,1,3136,True
5,5,31,0,0,True,0,0,True
5,6,52,4,973664,True,4,973664,True
5,7,72,0,0,True,0,0,True
5,8,86,23,376214336,True,23,376214336,True
5,9,92,0,0,True,0,0,True
5,10,95,36,38162462432,True,36,38162462432,True
5,11,96,0,0,True,0,0,True
5,12,96,58,3961596450304,True,58,3961596450304,True
6,1,2,0,0,True,0,0,True
6,2,4,0,0,True,0,0,True
6,3,8,0,0,True,0,0,True
6,4,16,1,3136,True,1,3136,True
6,5,31,0,0,True,0,0,True
6,6,56,3,741120,True,3,741120,True
6,7,91,0,0,True,0,0,True
6,8,129,1,15861888,True,1,15861888,True
6,9,166,0,0,True,0,0,True
6,10,191,35,37117032000,True,35,37117032000,True
6,11,206,0,0,True,0,0,True
6,12,214,4,273319301824,True,4,273319301824,True
7,1,2,0,0,True,0,0,True
7,2,4,0,0,True,0,0,True
7,3,8,0,0,True,0,0,True
7,4,16,0,0,True,0,0,True
7,5,32,0,0,True,0,0,True
7,6,64,3,741120,True,3,741120,True
7,7,121,0,0,True,0,0,True
7,8,202,1,15861888,True,1,15861888,True
7,9,301,0,0,True,0,0,True
7,10,405,20,21227325440,True,20,21227325440,True
7,11,496,0,0,True,0,0,True
7,12,572,3,205475520000,True,3,205475520000,True
8,1,2,0,0,True,0,0,True
8,2,4,0,0,True,0,0,True
8,3,8,0,0,True,0,0,True
8,4,16,0,0,True,0,0,True
8,5,32,0,0,True,0,0,True
8,6,64,3,741120,True,3,741120,True
8,7,127,0,0,True,0,0,True
8,8,238,0,0,True,0,0,True
8,9,402,0,0,True,0,0,True
8,10,621,0,0,True,0,0,True
8,11,871,0,0,True,0,0,True
8,12,1125,3,205475520000,True,3,205475520000,True
