period,solenoid_fixed_points,archimedean_fixed_points,valuation_correction,active_even_words,lucas_number,exact_period_points,primitive_orbits,zeta_coefficient,valuation_identity_passed
1,4,5,1,1,1,4,4,4,True
2,56,157,101,3,3,52,26,36,True
3,2446,3194,748,4,4,2442,814,938,True
4,34504,57121,22617,7,7,34448,8612,12514,True
5,807804,969035,161231,11,11,807800,161560,227292,True
6,11965154,16021054,4055900,18,18,11962656,1993776,3390469,True
7,232113186,261230555,29117369,29,29,232113182,33159026,56902710,True
8,3511221904,4226257633,715035729,47,47,3511187400,438898425,879169592,True
9,63051464302,68064014258,5012549956,76,76,63051461856,7005717984,14402600088,True
10,972315505846,1093258037257,120942531411,123,123,972314697990,97231469799,226499951253,True
11,16683779908976,17532519635075,848739726099,199,199,16683779908972,1516707264452,3665988067604,True
12,260738208851098,280905681887614,20167473036516,322,322,260738196851496,21728183070958,58146763234664,True
13,4355361150522230,4498167786201731,142806635679501,521,521,4355361150522226,335027780809402,935763709401978,True
14,68600368075127868,72005766831939433,3405398756811565,843,843,68600367843014630,4900026274501045,14900306712468270,True
15,1128458753108618646,1152427001687655794,23968248579037148,1364,1364,1128458753107808400,75230583540520560,239177605385144332,True
16,17869064477057276544,18442025833557867073,572961356500590529,2207,2207,17869064473546054640,1116816529596628415,3816563438182191755,True
17,291084165579804552788,295102886653714596251,4018721073910043463,3571,3571,291084165579804552784,17122597975282620752,61176384063792014462,True
18,4626571820328157554446,4721936943961354539646,95365123633196985200,5778,5778,4626571820265094127436,257031767792505229302,977380628989352693482,True
19,74880225735557322864890,75553765331452607675243,673539595895284810353,9349,9349,74880225735557322864886,3941064512397753834994,15653789914522237874420,True
20,1192883874316716454628194,1208886715270600465162801,16002840953884010534607,15127,15127,1192883874315744139087900,59644193715787206954395,250247696973946775613393,True
