period,v2,word_count,archimedean_mass,solenoid_mass,correction_mass
1,0,1,3,3,0
1,1,1,2,1,1
2,0,1,45,45,0
2,3,2,80,10,70
2,5,1,32,1,31
3,0,4,1698,1698,0
3,1,4,1496,748,748
4,0,9,33153,33153,0
4,4,6,20832,1302,19530
4,6,1,3136,49,3087
5,0,21,646573,646573,0
5,1,11,322462,161231,161231
6,0,46,11616510,11616510,0
6,3,8,1984832,248104,1736728
6,4,6,1446048,90378,1355670
6,5,1,232544,7267,225277
6,8,3,741120,2895,738225
7,0,99,202995817,202995817,0
7,1,29,58234738,29117369,29117369
8,0,209,3459021089,3459021089,0
8,3,16,262031872,32753984,229277888
8,4,8,128990336,8061896,120928440
8,5,22,360352448,11261014,349091434
8,7,1,15861888,123921,15737967
9,0,436,58038914346,58038914346,0
9,1,76,10025099912,5012549956,5012549956
10,0,901,962633830585,962633830585,0
10,3,52,55296502400,6912062800,48384439600
10,4,35,37165241840,2322827615,34842414225
10,5,1,1045430432,32669701,1012760731
10,6,15,15889706560,248276665,15641429895
10,7,20,21227325440,165838480,21061486960
11,0,1849,15835040182877,15835040182877,0
11,1,199,1697479452198,848739726099,848739726099
12,0,3774,258876231534078,258876231534078,0
12,3,144,9856262539392,1232032817424,8624229721968
12,4,120,8211591363840,513224460240,7698366903600
12,5,54,3688277148480,115258660890,3573018487590
12,6,1,67843781824,1060059091,66783722733
12,9,3,205475520000,401319375,205074200625
13,0,7671,4212554514842729,4212554514842729,0
13,1,521,285613271359002,142806635679501,142806635679501
14,0,15541,68304885348520089,68304885348520089,0
14,3,380,1668463507135680,208557938391960,1459905568743720
14,4,231,1013901429740528,63368839358783,950532590381745
14,5,155,680874830230816,21277338444713,659597491786103
14,6,28,122813787860736,1918965435324,120894822425412
14,9,35,153448527995392,299704156241,153148823839151
14,10,14,61379400456192,59940820758,61319459635434
15,0,31404,1104490504529581498,1104490504529581498,0
15,1,1364,47936497158074296,23968248579037148,23968248579037148
16,0,63329,17821263741365147585,17821263741365147585,0
16,3,1056,297036890657230336,37129611332153792,259907279325076544
16,4,448,125986633355895040,7874164584743440,118112468771151600
16,5,104,29230939100816640,913466846900520,28317472253916120
16,6,310,87206241792988544,1362597528015446,85843644264973098
16,7,208,58518179770759168,457173279459056,58061006491300112
16,8,49,13780989059080448,53831988512033,13727157070568415
16,9,16,4501109089689600,8791228690800,4492317860998800
16,12,16,4501109366259712,1098903653872,4500010462605840
17,0,127501,287065444505894509325,287065444505894509325,0
17,1,3571,8037442147820086926,4018721073910043463,4018721073910043463
18,0,256366,4617880532029207292862,4617880532029207292862,0
18,3,2744,49417580195884387520,6177197524485548440,43240382671398839080
18,4,1518,27337758959061096768,1708609934941318548,25629149024119778220
18,5,1378,24816811219625508608,775525350613297144,24041285869012211464
18,6,99,1782118104119425728,27845595376866027,1754272508742559701
18,8,21,378122035557661440,1477039201397115,376644996356264325
18,9,18,324021417899166720,632854331834310,323388563567332410
19,0,514939,74206686139662038054537,74206686139662038054537,0
19,1,9349,1347079191790569620706,673539595895284810353,673539595895284810353
20,0,1033449,1191448562603293923935953,1191448562603293923935953,0
20,3,7400,8530645125875419525120,1066330640734427440640,7464314485140992084480
20,4,4376,5044600249555717072832,315287515597232317052,4729312733958484755780
20,5,715,824232032446834030560,25757251013963563455,798474781432870467105
20,6,1281,1476680640745510985536,23073135011648609149,1453607505733862376387
20,7,175,201724833444000115840,1575975261281250905,200148858182718864935
20,8,460,530273529775610122240,2071380975685977040,528202148799924145200
20,9,360,414998128707081441280,810543220131018440,414187585486950422840
20,10,360,414998126756367933440,405271608160515560,414592855148207417880
