candidate_id,system,prime_count,period,fixed_points,method,evidence_status,seed,precision,cutoff
SD-C02,SD-C02,,1,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,1,2,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,1,1,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,2,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,2,4,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,2,3,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,3,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,3,8,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,3,4,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,4,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,4,16,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,4,7,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,5,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,5,32,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,5,11,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,6,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,6,64,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,6,18,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,7,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,7,128,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,7,29,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,8,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,8,256,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,8,47,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,9,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,9,512,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,9,76,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,10,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,10,1024,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,10,123,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,11,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,11,2048,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,11,199,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,12,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,12,4096,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,12,322,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,13,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,13,8192,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,13,521,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,14,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,14,16384,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,14,843,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,15,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,15,32768,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,15,1364,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,16,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,16,65536,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,16,2207,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,17,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,17,131072,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,17,3571,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,18,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,18,262144,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,18,5778,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,19,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,19,524288,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,19,9349,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,20,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,20,1048576,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,20,15127,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,21,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,21,2097152,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,21,24476,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,22,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,22,4194304,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,22,39603,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,23,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,23,8388608,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,23,64079,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,24,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,24,16777216,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,24,103682,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,25,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,25,33554432,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,25,167761,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,26,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,26,67108864,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,26,271443,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,27,1,exact theorem,PROVED,20260812,exact_integer,30
