X01 scope=xF2[x]/(x^N),2<=N<=12; f->f+f^2 states=4094 image=4094 fixed=188 max_tail=0 periods=(1, 2, 4) max_fibre=1 assertions=12282
X02 scope=xF2[x]/(x^N),2<=N<=12; f->x+f^2 states=4094 image=125 fixed=11 max_tail=4 periods=(1,) max_fibre=64 assertions=12282
X03 scope=xF2[x]/(x^N),2<=N<=12; f->f^2 states=4094 image=125 fixed=11 max_tail=4 periods=(1,) max_fibre=64 assertions=12282
X04 scope=cyclic binary words 3<=n<=11; w->w xor shift(w) states=4088 image=2044 fixed=9 max_tail=8 periods=(1, 3, 6, 7, 15, 30, 63, 341) max_fibre=2 assertions=12264
X05 scope=cyclic binary words 3<=n<=11; w->w and shift(w) states=4088 image=1123 fixed=18 max_tail=10 periods=(1,) max_fibre=199 assertions=12264
X06 scope=cyclic binary words 3<=n<=11; w->w or shift(w) states=4088 image=1123 fixed=18 max_tail=10 periods=(1,) max_fibre=199 assertions=12264
X07 scope=cyclic binary words 3<=n<=11; synchronous radius-one majority states=4088 image=1332 fixed=512 max_tail=5 periods=(1, 2) max_fibre=67 assertions=12264
X08 scope=cyclic binary words 3<=n<=11; flip iff neighbours disagree states=4088 image=3650 fixed=26 max_tail=2 periods=(1, 2, 3, 4, 6, 7, 31) max_fibre=4 assertions=12264
X09 scope=simple graphs n<=6; odd common-neighbour graph states=33867 image=9903 fixed=128 max_tail=6 periods=(1, 2) max_fibre=272 assertions=101601
X10 scope=simple graphs n<=6; toggle edges of odd common-neighbour graph states=33867 image=14752 fixed=339 max_tail=5 periods=(1, 2, 4) max_fibre=97 assertions=101601
X11 scope=simple graphs n<=6; complete each current component states=33867 image=278 fixed=278 max_tail=1 periods=(1,) max_fibre=26704 assertions=101601
X12 scope=simple graphs n<=6; complement inside each current component states=33867 image=27476 fixed=6 max_tail=5 periods=(1, 2) max_fibre=203 assertions=101601
X13 scope=simple graphs n<=6; toggle induced graph on odd-degree vertices states=33867 image=1100 fixed=1100 max_tail=1 periods=(1,) max_fibre=32 assertions=101601
X14 scope=simple graphs n<=6; switch cut of vertices in an odd number of K4s states=33867 image=30902 fixed=28822 max_tail=2 periods=(1, 2) max_fibre=16 assertions=101601
X15 scope=permutations n<=8; inversion states=46233 image=46233 fixed=1115 max_tail=0 periods=(1, 2) max_fibre=1 assertions=138699
X16 scope=permutations n<=8; reverse-complement conjugation states=46233 image=46233 fixed=501 max_tail=0 periods=(1, 2) max_fibre=1 assertions=138699
X17 scope=permutations n<=8; squaring states=46233 image=16517 fixed=8 max_tail=3 periods=(1, 2, 3, 4) max_fibre=764 assertions=138699
X18 scope=permutations n<=8; reverse maximal excedance-position runs states=46233 image=31251 fixed=6819 max_tail=1 periods=(1, 2) max_fibre=6 assertions=138699
X19 scope=permutations n<=8; reverse maximal parity-agreement runs states=46233 image=14884 fixed=7574 max_tail=1 periods=(1, 2) max_fibre=34 assertions=138699
X20 scope=set partitions n<=8; cyclically shift elements states=5296 image=5296 fixed=21 max_tail=0 periods=(1, 2, 3, 4, 5, 6, 7, 8) max_fibre=1 assertions=15888
X21 scope=set partitions n<=8; meet with one-step cyclic shift states=5296 image=883 fixed=21 max_tail=6 periods=(1,) max_fibre=1433 assertions=15888
X22 scope=set partitions n<=8; join with reflected partition states=5296 image=280 fixed=280 max_tail=1 periods=(1,) max_fibre=1513 assertions=15888
X23 scope=set partitions n<=8; merge blocks with consecutive minima states=5296 image=439 fixed=439 max_tail=1 periods=(1,) max_fibre=733 assertions=15888
X24 scope=set partitions n<=8; reflect the ground-set order states=5296 image=5296 fixed=280 max_tail=0 periods=(1, 2) max_fibre=1 assertions=15888
X25 scope=integer partitions 1<=n<=18; Bulgarian solitaire states=1596 image=1008 fixed=5 max_tail=20 periods=(1, 2, 3, 4, 5, 6) max_fibre=4 assertions=4788
X26 scope=integer partitions of size<=18; delete every Ferrers corner states=1597 image=584 fixed=1 max_tail=18 periods=(1,) max_fibre=13 assertions=6388
X27 scope=perfect matchings through 7 chords; delete all adjacent chords and standardize states=146600 image=56486 fixed=51871 max_tail=7 periods=(1,) max_fibre=330 assertions=586400
X28 scope=endofunctions n<=6; restrict to current image and standardize states=50070 image=2325 fixed=874 max_tail=5 periods=(1,) max_fibre=643 assertions=200279
TOTAL_ASSERTIONS=2328763
SYSTEMS_AUDITED=28
scope_sentinel=finite breadth search is falsification evidence, never proof
release_sentinel=owner non-hit is not novelty or priority; external HOLD
